state,date,A5_1,A5_2,A5_3,A2,pos_RF,pos_XGB,pos_glm,pos_svm,pos_nn,count,symptomatic,infected,not_infected,vaccinated,unvaccinated,cli,cli_vaccinated,cli_unvaccinated,cli_local,count_local,reach,test_recent,tested_vaccinated,tested_unvaccinated,positive_recent,positive_vaccinated,positive_unvaccinated,positive_symptomatic,days_aggregated,p_infected,p_infected_CI,p_rf,p_rf_CI,p_XGB,p_XGB_CI,p_glm,p_glm_CI,p_nn,p_nn_CI,p_svm,p_svm_CI,p_cli,p_cli_CI,p_cli_local,p_cli_local_CI
Alabama,2020-04-06,0,0,0,933,27,25,15,1979,1955,1955,1857,0,0,0,0,27,0,0,77,1953,0,0,0,0,0,0,0,0,1,,,0.0138107416879795,0.00517324855702289,0.0127877237851662,0.00498054200557644,0.00767263427109975,0.0038678929243367,1,0,1,0,0.0138107416879795,0.00517324855702289,1,
Alabama,2020-04-07,0,0,0,2503,74,75,41,5297,5230,5230,4991,0,0,0,0,70,0,0,236,5225,0,0,0,0,0,0,0,0,1,,,0.0141491395793499,0.00320086879010296,0.01434034416826,0.00322211119788003,0.00783938814531549,0.0023901729187524,1,0,1,0,0.0133843212237094,0.00311436441563257,1,
Alabama,2020-04-08,0,0,0,2158,72,73,37,5009,4955,4955,4731,0,0,0,0,63,0,0,171,4947,0,0,0,0,0,0,0,0,1,,,0.0145307769929364,0.00333190195370802,0.0147325933400605,0.00335461682150631,0.00746720484359233,0.00239705349907911,1,0,1,0,0.0127144298688194,0.00311957981562947,1,
Alabama,2020-04-09,0,0,0,1777,62,56,41,3902,3853,3853,3696,0,0,0,0,52,0,0,156,3850,0,0,0,0,0,0,0,0,1,,,0.0160913573838567,0.00397303430036849,0.0145341292499351,0.00377888686220491,0.0106410589151311,0.00323979814073482,1,0,1,0,0.013495977160654,0.00364334404528405,1,
Alabama,2020-04-10,0,0,0,918,22,25,11,1942,1914,1914,1860,0,0,0,0,32,0,0,105,1910,0,0,0,0,0,0,0,0,1,,,0.0114942528735632,0.00477537077573532,0.0130616509926855,0.00508652489204352,0.00574712643678161,0.00338649881193527,1,0,1,0,0.0167189132706374,0.00574407351521713,1,
Alabama,2020-04-11,0,0,0,204,8,8,5,423,413,413,399,0,0,0,0,7,0,0,14,413,0,0,0,0,0,0,0,0,1,,,0.0193704600484262,0.0132921587244462,0.0193704600484262,0.0132921587244462,0.0121065375302663,0.010547222243496,1,0,1,0,0.0169491525423729,0.0124490167228574,1,
Alabama,2020-04-12,0,0,0,55,2,2,1,142,142,142,132,0,0,0,0,2,0,0,0,142,0,0,0,0,0,0,0,0,1,,,0.0140845070422535,0.0193818215253853,0.0140845070422535,0.0193818215253853,0.00704225352112676,0.0137538768295014,1,0,1,0,0.0140845070422535,0.0193818215253853,,
Alabama,2020-04-13,0,0,0,457,22,20,13,1183,1167,1167,1117,0,0,0,0,21,0,0,33,1167,0,0,0,0,0,0,0,0,1,,,0.0188517566409597,0.00780289729704321,0.0171379605826907,0.00744626544184193,0.0111396743787489,0.0060216621788679,1,0,1,0,0.0179948586118252,0.00762682467794045,1,
Alabama,2020-04-14,0,0,0,658,17,17,8,1534,1513,1513,1448,0,0,0,0,20,0,0,58,1511,0,0,0,0,0,0,0,0,1,,,0.0112359550561798,0.00531104469753006,0.0112359550561798,0.00531104469753006,0.00528750826173166,0.00365428943608464,1,0,1,0,0.0132187706543291,0.00575485785044301,1,
Alabama,2020-04-15,0,0,0,224,17,16,9,902,889,889,855,0,0,0,0,15,0,0,29,887,0,0,0,0,0,0,0,0,1,,,0.0191226096737908,0.00900281141079071,0.0179977502812149,0.00873901656867467,0.0101237345331834,0.00658048707368785,1,0,1,0,0.0168728908886389,0.00846636125049097,1,
