state,date,A5_1,A5_2,A5_3,A2,pos_RF,pos_XGB,pos_glm,pos_svm,pos_nn,count,symptomatic,infected,not_infected,vaccinated,unvaccinated,cli,cli_vaccinated,cli_unvaccinated,cli_local,count_local,reach,test_recent,tested_vaccinated,tested_unvaccinated,positive_recent,positive_vaccinated,positive_unvaccinated,positive_symptomatic,days_aggregated,p_infected,p_infected_CI,p_rf,p_rf_CI,p_XGB,p_XGB_CI,p_glm,p_glm_CI,p_nn,p_nn_CI,p_svm,p_svm_CI,p_cli,p_cli_CI,p_cli_local,p_cli_local_CI
Alaska,2020-04-06,0,0,0,161,8,7,4,400,399,399,380,0,0,0,0,6,0,0,16,399,0,0,0,0,0,0,0,0,1,,,0.0200501253132832,0.0137537814702237,0.0175438596491228,0.0128819260289918,0.0100250626566416,0.00977501181431995,1,0,1,0,0.0150375939849624,0.011941548528209,1,
Alaska,2020-04-07,0,0,0,370,10,9,6,855,851,851,807,0,0,0,0,13,0,0,22,851,0,0,0,0,0,0,0,0,1,,,0.0117508813160987,0.0072402197666348,0.0105757931844888,0.00687275798951003,0.00705052878965923,0.00562157139376163,1,0,1,0,0.0152761457109283,0.00824038373758932,1,
Alaska,2020-04-08,0,0,0,349,12,10,9,672,668,668,647,0,0,0,0,7,0,0,111,668,0,0,0,0,0,0,0,0,1,,,0.0179640718562874,0.0100722370890095,0.0149700598802395,0.00920865800192433,0.0134730538922156,0.00874273589751455,1,0,1,0,0.0104790419161677,0.00772205956100069,1,
Alaska,2020-04-09,0,0,0,187,6,3,5,509,506,506,489,0,0,0,0,6,0,0,17,506,0,0,0,0,0,0,0,0,1,,,0.0118577075098814,0.00943154721337109,0.00592885375494071,0.00668908840332808,0.00988142292490119,0.00861839075290568,1,0,1,0,0.0118577075098814,0.00943154721337109,1,
Alaska,2020-04-10,0,0,0,83,4,3,0,236,236,236,227,0,0,0,0,2,0,0,1,236,0,0,0,0,0,0,0,0,1,,,0.0169491525423729,0.0164685011579825,0.0127118644067797,0.0142928446855675,0,0,1,0,1,0,0.00847457627118644,0.0116950750494572,1,
Alaska,2020-04-11,0,0,0,101,5,4,0,293,293,293,282,0,0,0,0,2,0,0,3,293,0,0,0,0,0,0,0,0,2,,,0.0170648464163823,0.0148295477427727,0.0136518771331058,0.0132869584689217,0,0,1,0,1,0,0.0068259385665529,0.00942775206653917,1,
Alaska,2020-04-12,0,0,0,110,5,4,0,315,314,314,303,0,0,0,0,2,0,0,3,314,0,0,0,0,0,0,0,0,3,,,0.0159235668789809,0.0138457938397009,0.0127388535031847,0.0124040772277928,0,0,1,0,1,0,0.00636942675159236,0.00879925520532125,1,
Alaska,2020-04-13,0,0,0,138,6,4,1,268,267,267,253,0,0,0,0,3,0,0,12,267,0,0,0,0,0,0,0,0,1,,,0.0224719101123596,0.0177777615928689,0.0149812734082397,0.0145709902933539,0.00374531835205993,0.0073269295763923,1,0,1,0,0.0112359550561798,0.0126428151960676,1,
Alaska,2020-04-14,0,0,0,83,4,4,1,216,216,216,209,0,0,0,0,6,0,0,27,216,0,0,0,0,0,0,0,0,1,,,0.0185185185185185,0.0179789941217061,0.0185185185185185,0.0179789941217061,0.00462962962962963,0.00905287855360063,1,0,1,0,0.0277777777777778,0.0219155682939294,1,
Alaska,2020-04-15,0,0,0,19,0,0,0,131,131,131,126,0,0,0,0,2,0,0,1,131,0,0,0,0,0,0,0,0,1,,,0,0,0,0,0,0,1,0,1,0,0.0152671755725191,0.0209966979415278,1,
