state,date,A5_1,A5_2,A5_3,A2,pos_RF,pos_XGB,pos_glm,pos_svm,pos_nn,count,symptomatic,infected,not_infected,vaccinated,unvaccinated,cli,cli_vaccinated,cli_unvaccinated,cli_local,count_local,reach,test_recent,tested_vaccinated,tested_unvaccinated,positive_recent,positive_vaccinated,positive_unvaccinated,positive_symptomatic,days_aggregated,p_infected,p_infected_CI,p_rf,p_rf_CI,p_XGB,p_XGB_CI,p_glm,p_glm_CI,p_nn,p_nn_CI,p_svm,p_svm_CI,p_cli,p_cli_CI,p_cli_local,p_cli_local_CI
Arizona,2020-04-06,0,0,0,1314,50,42,17,3165,3056,3056,2896,0,0,0,0,53,0,0,138,3054,0,0,0,0,0,0,0,0,1,,,0.0163612565445026,0.00449777324230639,0.0137434554973822,0.00412775902243158,0.00556282722513089,0.00263698632061593,1,0,1,0,0.0173429319371728,0.00462842965026934,1,
Arizona,2020-04-07,0,0,0,2869,82,71,36,6979,6767,6767,6471,0,0,0,0,97,0,0,329,6760,0,0,0,0,0,0,0,0,1,,,0.0121176296734151,0.00260682248478133,0.010492093985518,0.00242767599016359,0.00531993497857248,0.00173318480132824,1,0,1,0,0.0143342692478203,0.00283206104540285,1,
Arizona,2020-04-08,0,0,0,2535,86,76,40,6452,6228,6228,5977,0,0,0,0,100,0,0,296,6224,0,0,0,0,0,0,0,0,1,,,0.0138086062941554,0.00289820643803295,0.0122029543994862,0.00272671749542345,0.00642260757867694,0.00198394822111479,1,0,1,0,0.0160565189466924,0.003121652553227,1,
Arizona,2020-04-09,0,0,0,2008,60,46,26,5345,5193,5193,4980,0,0,0,0,64,0,0,197,5187,0,0,0,0,0,0,0,0,1,,,0.0115540150202195,0.00290657721303087,0.0088580781821683,0.0025484528744085,0.00500673984209513,0.00191966970809776,1,0,1,0,0.0123242826882342,0.00300073016212456,1,
Arizona,2020-04-10,0,0,0,1047,21,19,9,2724,2645,2645,2562,0,0,0,0,40,0,0,71,2644,0,0,0,0,0,0,0,0,1,,,0.00793950850661626,0.0033822144384489,0.00718336483931947,0.00321835344857393,0.00340264650283554,0.00221923623158377,1,0,1,0,0.0151228733459357,0.00465096890487237,1,
Arizona,2020-04-11,0,0,0,253,11,9,5,654,634,634,613,0,0,0,0,10,0,0,53,634,0,0,0,0,0,0,0,0,1,,,0.0173501577287066,0.0101637639489254,0.0141955835962145,0.00920821535261053,0.00788643533123028,0.00688532633987851,1,0,1,0,0.0157728706624606,0.00969854307569981,1,
Arizona,2020-04-12,0,0,0,63,4,4,3,200,196,196,187,0,0,0,0,4,0,0,10,196,0,0,0,0,0,0,0,0,1,,,0.0204081632653061,0.019794502636901,0.0204081632653061,0.019794502636901,0.0153061224489796,0.0171871261988852,1,0,1,0,0.0204081632653061,0.019794502636901,1,
Arizona,2020-04-13,0,0,0,571,18,13,6,1893,1834,1834,1756,0,0,0,0,20,0,0,54,1834,0,0,0,0,0,0,0,0,1,,,0.00981461286804798,0.00451173173316084,0.00708833151581243,0.00383950946976433,0.00327153762268266,0.00261344169097399,1,0,1,0,0.0109051254089422,0.00475316327823651,1,
Arizona,2020-04-14,0,0,0,544,25,22,11,1654,1597,1597,1528,0,0,0,0,24,0,0,43,1594,0,0,0,0,0,0,0,0,1,,,0.0156543519098309,0.0060881731017603,0.0137758296806512,0.00571665964582534,0.00688791484032561,0.00405638016928009,1,0,1,0,0.0150281778334377,0.00596706404213614,1,
Arizona,2020-04-15,0,0,0,243,9,8,6,1102,1070,1070,1029,0,0,0,0,12,0,0,24,1069,0,0,0,0,0,0,0,0,1,,,0.00841121495327103,0.00547206655793857,0.00747663551401869,0.00516154450499074,0.00560747663551402,0.00447423575081869,1,0,1,0,0.011214953271028,0.00630965889180108,1,
Arizona,2020-04-16,0,0,0,121,12,7,4,1130,1104,1104,1069,0,0,0,0,15,0,0,24,1103,0,0,0,0,0,0,0,0,1,,,0.0108695652173913,0.00611640765443519,0.00634057971014493,0.00468216608360843,0.0036231884057971,0.00354422120132455,1,0,1,0,0.0135869565217391,0.00682895184618746,1,
Arizona,2020-04-17,0,0,0,74,4,3,1,692,675,675,649,0,0,0,0,9,0,0,16,675,0,0,0,0,0,0,0,0,1,,,0.00592592592592593,0.00579006831066754,0.00444444444444444,0.00501808132820637,0.00148148148148148,0.00290149869815499,1,0,1,0,0.0133333333333333,0.00865268315739416,1,
Arizona,2020-04-18,0,0,0,71,5,3,2,805,785,785,756,0,0,0,0,9,0,0,20,785,0,0,0,0,0,0,0,0,1,,,0.00636942675159236,0.00556513763238154,0.00382165605095541,0.00431626012175668,0.00254777070063694,0.00352646424413989,1,0,1,0,0.0114649681528662,0.00744724636705969,1,
Arizona,2020-04-19,0,0,0,131,8,6,4,1002,974,974,935,0,0,0,0,22,0,0,34,974,0,0,0,0,0,0,0,0,1,,,0.00821355236139631,0.00566817450609464,0.00616016427104723,0.0049138620438956,0.00410677618069815,0.00401629420396628,1,0,1,0,0.0225872689938398,0.00933124237755455,1,
Arizona,2020-04-20,0,0,0,105,13,9,7,1009,983,983,935,0,0,0,0,11,0,0,21,983,0,0,0,0,0,0,0,0,1,,,0.0132248219735504,0.00714126842461493,0.00915564598168871,0.0059541332192402,0.00712105798575789,0.0052564403826961,1,0,1,0,0.0111902339776195,0.00657578021715403,1,
Arizona,2020-04-21,0,0,0,91,11,4,4,973,942,942,908,0,0,0,0,13,0,0,20,942,0,0,0,0,0,0,0,0,1,,,0.0116772823779193,0.00686029703246969,0.00424628450106157,0.00415243795179158,0.00424628450106157,0.00415243795179158,1,0,1,0,0.0138004246284501,0.00744991418172973,1,
Arizona,2020-04-22,0,0,0,138,12,11,3,1119,1090,1090,1059,0,0,0,0,12,0,0,55,1090,0,0,0,0,0,0,0,0,1,,,0.0110091743119266,0.00619452981445485,0.0100917431192661,0.00593356096638182,0.00275229357798165,0.00311016724689215,1,0,1,0,0.0110091743119266,0.00619452981445485,1,
Arizona,2020-04-23,0,0,0,131,17,9,5,1152,1126,1126,1089,0,0,0,0,18,0,0,28,1126,0,0,0,0,0,0,0,0,1,,,0.0150976909413854,0.00712247180980607,0.00799289520426288,0.00520101787682154,0.0044404973357016,0.00388354474845814,1,0,1,0,0.0159857904085258,0.00732565797181864,1,
