state,date,A5_1,A5_2,A5_3,A2,pos_RF,pos_XGB,pos_glm,pos_svm,pos_nn,count,symptomatic,infected,not_infected,vaccinated,unvaccinated,cli,cli_vaccinated,cli_unvaccinated,cli_local,count_local,reach,test_recent,tested_vaccinated,tested_unvaccinated,positive_recent,positive_vaccinated,positive_unvaccinated,positive_symptomatic,days_aggregated,p_infected,p_infected_CI,p_rf,p_rf_CI,p_XGB,p_XGB_CI,p_glm,p_glm_CI,p_nn,p_nn_CI,p_svm,p_svm_CI,p_cli,p_cli_CI,p_cli_local,p_cli_local_CI
California,2020-04-06,0,0,0,1282,32,36,9,3032,3029,3029,2862,0,0,0,0,37,0,0,278,3029,0,0,0,0,0,0,0,0,1,,,0.010564542753384,0.00364097369803935,0.011885110597557,0.0038592577932029,0.00297127764938924,0.00193831299417937,1,0,1,0,0.0122152525586002,0.00391183778828095,1,
California,2020-04-07,0,0,0,2433,65,76,13,6328,6320,6320,6024,0,0,0,0,53,0,0,251,6310,0,0,0,0,0,0,0,0,1,,,0.0102848101265823,0.00248738384257501,0.0120253164556962,0.00268726636862573,0.00205696202531646,0.00111700615254816,1,0,1,0,0.00838607594936709,0.00224822750004392,1,
California,2020-04-08,0,0,0,2553,69,75,28,5995,5982,5982,5722,0,0,0,0,72,0,0,454,5978,0,0,0,0,0,0,0,0,1,,,0.0115346038114343,0.00270587021928427,0.0125376128385155,0.00281963306716686,0.0046807087930458,0.00172966464675308,1,0,1,0,0.0120361083249749,0.00276336636162365,1,
California,2020-04-09,0,0,0,1596,47,45,12,4736,4732,4732,4516,0,0,0,0,45,0,0,177,4730,0,0,0,0,0,0,0,0,1,,,0.0099323753169907,0.00282543105094796,0.00950972104818259,0.00276525203583294,0.00253592561284869,0.00143298818426358,1,0,1,0,0.00950972104818259,0.00276525203583294,1,
California,2020-04-10,0,0,0,891,26,27,6,2355,2352,2352,2255,0,0,0,0,27,0,0,139,2350,0,0,0,0,0,0,0,0,1,,,0.0110544217687075,0.00422555388324744,0.0114795918367347,0.00430512212350321,0.00255102040816327,0.00203859870500393,1,0,1,0,0.0114795918367347,0.00430512212350321,1,
California,2020-04-11,0,0,0,152,6,7,3,615,614,614,593,0,0,0,0,13,0,0,16,613,0,0,0,0,0,0,0,0,1,,,0.00977198697068404,0.00778077665397869,0.011400651465798,0.00839728512880766,0.00488599348534202,0.00551539685059599,1,0,1,0,0.0211726384364821,0.0113868722018001,1,
California,2020-04-12,0,0,0,56,0,0,0,187,187,187,175,0,0,0,0,1,0,0,3,187,0,0,0,0,0,0,0,0,1,,,0,0,0,0,0,0,1,0,1,0,0.0053475935828877,0.0104530289532322,1,
California,2020-04-13,0,0,0,1087,29,29,8,3094,3088,3088,2917,0,0,0,0,28,0,0,184,3087,0,0,0,0,0,0,0,0,1,,,0.00939119170984456,0.00340189489070708,0.00939119170984456,0.00340189489070708,0.00259067357512953,0.00179288529524771,1,0,1,0,0.00906735751295337,0.00334327331889608,1,
California,2020-04-14,0,0,0,2651,62,70,18,8344,8336,8336,7920,0,0,0,0,82,0,0,266,8333,0,0,0,0,0,0,0,0,1,,,0.00743761996161228,0.00184444256096937,0.00839731285988484,0.00195888189629156,0.00215930902111324,0.000996453971990778,1,0,1,0,0.00983685220729367,0.00211860840331535,1,
California,2020-04-15,0,0,0,1320.6,47,53,11,5721,5710,5711,5481,0,0,0,0,49,0,0,232,5708,0,0,0,0,0,0,0,0,1,,,0.00822973209595518,0.00234309772350685,0.00928033619331115,0.0024868480904957,0.0019261075118193,0.00113713917432212,0.999824899317107,0.000343160984330491,1,0,0.0085799334617405,0.00239200907676411,1,
California,2020-04-16,0,0,0,684,51,65,15,5531,5524,5524,5331,0,0,0,0,71,0,0,191,5522,0,0,0,0,0,0,0,0,1,,,0.00923244026068067,0.00252211798045344,0.0117668356263577,0.00284368057680201,0.00271542360608255,0.0013723017016823,1,0,1,0,0.0128530050687907,0.00297039708048513,1,
California,2020-04-17,0,0,0,528,39,41,13,3629,3621,3621,3461,0,0,0,0,43,0,0,205,3620,0,0,0,0,0,0,0,0,1,,,0.0107705053852527,0.00336202081609365,0.0113228389947528,0.00344618625139623,0.0035901684617509,0.00194809550552344,1,0,1,0,0.011875172604253,0.00352825283933119,1,
