state,date,A5_1,A5_2,A5_3,A2,pos_RF,pos_XGB,pos_glm,pos_svm,pos_nn,count,symptomatic,infected,not_infected,vaccinated,unvaccinated,cli,cli_vaccinated,cli_unvaccinated,cli_local,count_local,reach,test_recent,tested_vaccinated,tested_unvaccinated,positive_recent,positive_vaccinated,positive_unvaccinated,positive_symptomatic,days_aggregated,p_infected,p_infected_CI,p_rf,p_rf_CI,p_XGB,p_XGB_CI,p_glm,p_glm_CI,p_nn,p_nn_CI,p_svm,p_svm_CI,p_cli,p_cli_CI,p_cli_local,p_cli_local_CI
Colorado,2020-04-06,0,0,0,1333,56,50,34,2962,2920,2920,2783,0,0,0,0,64,0,0,241,2920,0,0,0,0,0,0,0,0,1,,,0.0191780821917808,0.00497455611410986,0.0171232876712329,0.00470543484669479,0.0116438356164384,0.00389100183616392,1,0,1,0,0.0219178082191781,0.00531059157801325,1,
Colorado,2020-04-07,0,0,0,2990,116,98,68,6928,6828,6828,6557,0,0,0,0,144,0,0,361,6822,0,0,0,0,0,0,0,0,1,,,0.0169888693614528,0.00306522804812495,0.0143526654950205,0.00282116438328678,0.00995899238429994,0.00235524248466712,1,0,1,0,0.0210896309314587,0.00340806044696478,1,
Colorado,2020-04-08,0,0,0,2714,93,70,48,6436,6346,6346,6100,0,0,0,0,108,0,0,325,6343,0,0,0,0,0,0,0,0,1,,,0.0146549007248661,0.00295653944791991,0.0110305704380712,0.00256973581154128,0.00756381972896313,0.00213166981839805,1,0,1,0,0.017018594390167,0.00318223722960525,1,
Colorado,2020-04-09,0,0,0,2101,71,61,47,5391,5338,5338,5099,0,0,0,0,76,0,0,225,5335,0,0,0,0,0,0,0,0,1,,,0.0133008617459723,0.003073201739817,0.0114275009366804,0.00285127234261767,0.00880479580367179,0.00250609798077061,1,0,1,0,0.0142375421506182,0.00317806265394413,1,
Colorado,2020-04-10,0,0,0,1094,43,32,27,2693,2652,2652,2566,0,0,0,0,48,0,0,108,2651,0,0,0,0,0,0,0,0,1,,,0.0162141779788839,0.00480683349496899,0.0120663650075415,0.00415540584420573,0.0101809954751131,0.00382062442146807,1,0,1,0,0.0180995475113122,0.00507374831454947,1,
Colorado,2020-04-11,0,0,0,267,6,4,3,706,692,692,669,0,0,0,0,11,0,0,31,692,0,0,0,0,0,0,0,0,1,,,0.00867052023121387,0.00690759127669558,0.00578034682080925,0.00564824028645159,0.00433526011560694,0.00489507316735014,1,0,1,0,0.0158959537572254,0.00931877547132453,1,
Colorado,2020-04-12,0,0,0,80,2,2,1,196,193,193,182,0,0,0,0,1,0,0,3,193,0,0,0,0,0,0,0,0,1,,,0.0103626943005181,0.0142870909353872,0.0103626943005181,0.0142870909353872,0.00518134715025907,0.0101289106907012,1,0,1,0,0.00518134715025907,0.0101289106907012,1,
Colorado,2020-04-13,0,0,0,669,27,26,18,1947,1922,1922,1818,0,0,0,0,35,0,0,87,1921,0,0,0,0,0,0,0,0,1,,,0.014047866805411,0.00526143858332887,0.0135275754422477,0.0051644473764889,0.00936524453694069,0.00430613598651977,1,0,1,0,0.018210197710718,0.00597775330554197,1,
Colorado,2020-04-14,0,0,0,735,30,24,22,2060,2039,2039,1954,0,0,0,0,32,0,0,93,2038,0,0,0,0,0,0,0,0,1,,,0.0147130946542423,0.00522604142718624,0.0117704757233938,0.00468128841000276,0.0107896027464443,0.00448421618515458,1,0,1,0,0.0156939676311918,0.00539474508173804,1,
Colorado,2020-04-15,0,0,0,254,12,9,3,1206,1197,1197,1151,0,0,0,0,18,0,0,20,1197,0,0,0,0,0,0,0,0,1,,,0.0100250626566416,0.0056436057023294,0.0075187969924812,0.00489368871280358,0.0025062656641604,0.0028324982888148,1,0,1,0,0.0150375939849624,0.00689445625730247,1,
Colorado,2020-04-16,0,0,0,151,14,8,9,1149,1134,1134,1092,0,0,0,0,19,0,0,48,1134,0,0,0,0,0,0,0,0,1,,,0.0123456790123457,0.00642689993851113,0.00705467372134039,0.00487127556394125,0.00793650793650794,0.00516447316487501,1,0,1,0,0.0167548500881834,0.00747038085103854,1,
Colorado,2020-04-17,0,0,0,89,15,13,5,724,722,722,694,0,0,0,0,5,0,0,20,722,0,0,0,0,0,0,0,0,1,,,0.0207756232686981,0.0104039350209266,0.018005540166205,0.0096992262130673,0.00692520775623269,0.00604904582663489,1,0,1,0,0.00692520775623269,0.00604904582663489,1,
Colorado,2020-04-18,0,0,0,114,8,6,4,784,778,778,742,0,0,0,0,9,0,0,18,778,0,0,0,0,0,0,0,0,1,,,0.0102827763496144,0.00708874006491943,0.0077120822622108,0.0061469965715426,0.0051413881748072,0.00502549877591717,1,0,1,0,0.0115681233933162,0.00751386036730271,1,
Colorado,2020-04-19,0,0,0,136,16,14,7,971,961,961,931,0,0,0,0,21,0,0,44,960,0,0,0,0,0,0,0,0,1,,,0.0166493236212279,0.00808982086642379,0.0145681581685744,0.00757533802957627,0.0072840790842872,0.00537633370080839,1,0,1,0,0.0218522372528616,0.00924350293988644,1,
