state,date,A5_1,A5_2,A5_3,A2,pos_RF,pos_XGB,pos_glm,pos_svm,pos_nn,count,symptomatic,infected,not_infected,vaccinated,unvaccinated,cli,cli_vaccinated,cli_unvaccinated,cli_local,count_local,reach,test_recent,tested_vaccinated,tested_unvaccinated,positive_recent,positive_vaccinated,positive_unvaccinated,positive_symptomatic,days_aggregated,p_infected,p_infected_CI,p_rf,p_rf_CI,p_XGB,p_XGB_CI,p_glm,p_glm_CI,p_nn,p_nn_CI,p_svm,p_svm_CI,p_cli,p_cli_CI,p_cli_local,p_cli_local_CI
Connecticut,2020-04-06,0,0,0,522,27,22,12,1421,1369,1369,1306,0,0,0,0,23,0,0,63,1369,0,0,0,0,0,0,0,0,1,,,0.0197224251278305,0.00736548007180876,0.0160701241782323,0.00666097888693949,0.00876552227903579,0.00493768596689798,1,0,1,0,0.0168005843681519,0.00680815393527856,1,
Connecticut,2020-04-07,0,0,0,1364,58,64,21,3899,3779,3779,3587,0,0,0,0,67,0,0,138,3776,0,0,0,0,0,0,0,0,1,,,0.0153479756549352,0.00391946314353412,0.0169356972744112,0.00411388501868786,0.00555702566816618,0.00237012247409519,1,0,1,0,0.0177295580841492,0.00420750013195789,1,
Connecticut,2020-04-08,0,0,0,1235,52,48,24,3578,3475,3475,3337,0,0,0,0,46,0,0,120,3474,0,0,0,0,0,0,0,0,1,,,0.0149640287769784,0.00403664910511244,0.0138129496402878,0.00388055236732026,0.00690647482014389,0.00275355641105132,1,0,1,0,0.0132374100719424,0.00379995572101029,1,
Connecticut,2020-04-09,0,0,0,958,31,38,15,3019,2924,2924,2784,0,0,0,0,36,0,0,84,2923,0,0,0,0,0,0,0,0,1,,,0.0106019151846785,0.00371224902907292,0.0129958960328317,0.00410508354639421,0.00512995896032832,0.00258940229595173,1,0,1,0,0.012311901504788,0.00399697915578646,1,
Connecticut,2020-04-10,0,0,0,430,19,23,9,1439,1387,1387,1332,0,0,0,0,16,0,0,45,1386,0,0,0,0,0,0,0,0,1,,,0.0136986301369863,0.00611720801067109,0.0165825522710887,0.00672054514165626,0.00648882480173035,0.00422551125590753,1,0,1,0,0.0115356885364095,0.00561968688111785,1,
Connecticut,2020-04-11,0,0,0,72,1,2,0,338,327,327,310,0,0,0,0,1,0,0,1,326,0,0,0,0,0,0,0,0,1,,,0.00305810397553517,0.00598460184405379,0.00611620795107034,0.00845051428730526,0,0,1,0,1,0,0.00305810397553517,0.00598460184405379,1,
Connecticut,2020-04-12,0,0,0,101,2,4,0,432,417,417,393,0,0,0,0,3,0,0,8,416,0,0,0,0,0,0,0,0,2,,,0.00479616306954436,0.00663106148378875,0.00959232613908873,0.00935511283542619,0,0,1,0,1,0,0.00719424460431655,0.00811156787327046,1,
Connecticut,2020-04-13,0,0,0,336,13,13,3,1111,1073,1073,1025,0,0,0,0,14,0,0,33,1073,0,0,0,0,0,0,0,0,1,,,0.0121155638397018,0.0065459565286811,0.0121155638397018,0.0065459565286811,0.00279589934762349,0.00315937388698509,1,0,1,0,0.0130475302889096,0.00678985509556379,1,
Connecticut,2020-04-14,0,0,0,410,19,23,7,1390,1348,1348,1270,0,0,0,0,16,0,0,37,1347,0,0,0,0,0,0,0,0,1,,,0.0140949554896142,0.00629292482431972,0.0170623145400593,0.00691329532845353,0.00519287833827893,0.00383686626184009,1,0,1,0,0.0118694362017804,0.00578129800772333,1,
Connecticut,2020-04-15,0,0,0,205,8,7,6,888,860,860,829,0,0,0,0,8,0,0,17,857,0,0,0,0,0,0,0,0,1,,,0.00930232558139535,0.00641601255381518,0.00813953488372093,0.00600515124198075,0.00697674418604651,0.00556294767113504,1,0,1,0,0.00930232558139535,0.00641601255381518,1,
Connecticut,2020-04-16,0,0,0,103,18,15,9,934,914,914,875,0,0,0,0,12,0,0,18,914,0,0,0,0,0,0,0,0,1,,,0.0196936542669584,0.00900780663344739,0.0164113785557987,0.00823671943169948,0.00984682713347921,0.00640139080576914,1,0,1,0,0.013129102844639,0.00737942782091345,1,
Connecticut,2020-04-17,0,0,0,72,9,10,4,645,631,631,613,0,0,0,0,4,0,0,14,630,0,0,0,0,0,0,0,0,1,,,0.0142630744849445,0.00925167779247729,0.0158478605388273,0.00974428218550727,0.0063391442155309,0.00619252570824361,1,0,1,0,0.0063391442155309,0.00619252570824361,1,
Connecticut,2020-04-18,0,0,0,114,5,3,2,688,670,670,641,0,0,0,0,3,0,0,85,669,0,0,0,0,0,0,0,0,1,,,0.00746268656716418,0.00651675977111306,0.00447761194029851,0.0050554454817117,0.00298507462686567,0.00413084706031097,1,0,1,0,0.00447761194029851,0.0050554454817117,1,
Connecticut,2020-04-19,0,0,0,105,15,14,8,790,767,767,733,0,0,0,0,12,0,0,37,767,0,0,0,0,0,0,0,0,1,,,0.0195567144719687,0.00979962811292921,0.0182529335071708,0.00947363287991372,0.0104302477183833,0.00718986815512284,1,0,1,0,0.015645371577575,0.00878251992866433,1,
Connecticut,2020-04-20,0,0,0,100,9,7,3,840,826,826,792,0,0,0,0,10,0,0,22,826,0,0,0,0,0,0,0,0,1,,,0.0108958837772397,0.00707962579600854,0.00847457627118644,0.00625128056395388,0.0036319612590799,0.00410240530402934,1,0,1,0,0.0121065375302663,0.00745801237105763,1,
Connecticut,2020-04-21,0,0,0,95,7,11,4,775,754,754,719,0,0,0,0,6,0,0,21,754,0,0,0,0,0,0,0,0,1,,,0.00928381962864722,0.00684542463016973,0.0145888594164456,0.00855818798343467,0.00530503978779841,0.00518503508676882,1,0,1,0,0.00795755968169761,0.00634187235137475,1,
Connecticut,2020-04-22,0,0,0,123,6,7,6,858,830,830,795,0,0,0,0,8,0,0,39,830,0,0,0,0,0,0,0,0,1,,,0.0072289156626506,0.00576328615589859,0.00843373493975904,0.00622128203523148,0.0072289156626506,0.00576328615589859,1,0,1,0,0.00963855421686747,0.00664678842233595,1,
Connecticut,2020-04-23,0,0,0,81,6,6,3,889,865,865,829,0,0,0,0,7,0,0,10,864,0,0,0,0,0,0,0,0,1,,,0.0069364161849711,0.00553090420953378,0.0069364161849711,0.00553090420953378,0.00346820809248555,0.00391776326814088,1,0,1,0,0.00809248554913295,0.00597058098861205,1,
Connecticut,2020-04-24,0,0,0,108,12,13,3,1076,1053,1053,1007,0,0,0,0,12,0,0,31,1053,0,0,0,0,0,0,0,0,1,,,0.0113960113960114,0.00641093719056407,0.0123456790123457,0.0066695092627389,0.00284900284900285,0.00321929526734561,1,0,1,0,0.0113960113960114,0.00641093719056407,1,
