state,date,A5_1,A5_2,A5_3,A2,pos_RF,pos_XGB,pos_glm,pos_svm,pos_nn,count,symptomatic,infected,not_infected,vaccinated,unvaccinated,cli,cli_vaccinated,cli_unvaccinated,cli_local,count_local,reach,test_recent,tested_vaccinated,tested_unvaccinated,positive_recent,positive_vaccinated,positive_unvaccinated,positive_symptomatic,days_aggregated,p_infected,p_infected_CI,p_rf,p_rf_CI,p_XGB,p_XGB_CI,p_glm,p_glm_CI,p_nn,p_nn_CI,p_svm,p_svm_CI,p_cli,p_cli_CI,p_cli_local,p_cli_local_CI
District of Columbia,2020-04-06,0,0,0,68,2,2,0,230,225,225,213,0,0,0,0,3,0,0,6,225,0,0,0,0,0,0,0,0,1,,,0.00888888888888889,0.0122642711349567,0.00888888888888889,0.0122642711349567,0,0,1,0,1,0,0.0133333333333333,0.0149868868504022,1,
District of Columbia,2020-04-07,0,0,0,246,5,5,0,707,690,690,650,0,0,0,0,3,0,0,8,689,0,0,0,0,0,0,0,0,1,,,0.0072463768115942,0.00632855768157806,0.0072463768115942,0.00632855768157806,0,0,1,0,1,0,0.00434782608695652,0.00490923080600474,1,
District of Columbia,2020-04-08,0,0,0,213,7,7,3,666,647,647,617,0,0,0,0,6,0,0,26,647,0,0,0,0,0,0,0,0,1,,,0.0108191653786708,0.00797132795224637,0.0108191653786708,0.00797132795224637,0.00463678516228748,0.00523474138761663,1,0,1,0,0.00927357032457496,0.00738577902684305,1,
District of Columbia,2020-04-09,0,0,0,163,2,0,0,532,523,523,501,0,0,0,0,5,0,0,24,523,0,0,0,0,0,0,0,0,1,,,0.00382409177820268,0.00528968020806005,0,0,0,0,1,0,1,0,0.00956022944550669,0.00833960420716842,1,
District of Columbia,2020-04-10,0,0,0,57,2,1,1,275,274,274,260,0,0,0,0,1,0,0,5,274,0,0,0,0,0,0,0,0,1,,,0.0072992700729927,0.0100790986667791,0.00364963503649635,0.00714008809729034,0.00364963503649635,0.00714008809729034,1,0,1,0,0.00364963503649635,0.00714008809729034,1,
District of Columbia,2020-04-11,0,0,0,79,2,1,1,352,351,351,335,0,0,0,0,1,0,0,5,350,0,0,0,0,0,0,0,0,2,,,0.0056980056980057,0.00787435749150965,0.00284900284900285,0.00557598296760863,0.00284900284900285,0.00557598296760863,1,0,1,0,0.00284900284900285,0.00557598296760863,1,
District of Columbia,2020-04-12,0,0,0,31,0,1,0,114,112,112,107,0,0,0,0,1,0,0,2,111,0,0,0,0,0,0,0,0,2,,,0,0,0.00892857142857143,0.0174213797031353,0,0,1,0,1,0,0.00892857142857143,0.0174213797031353,1,
District of Columbia,2020-04-13,0,0,0,79,3,2,1,296,287,287,271,0,0,0,0,2,0,0,3,287,0,0,0,0,0,0,0,0,1,,,0.0104529616724739,0.0117664388817975,0.00696864111498258,0.00962415643865577,0.00348432055749129,0.00681723496020889,1,0,1,0,0.00696864111498258,0.00962415643865577,1,
District of Columbia,2020-04-14,0,0,0,23,0,0,0,102,101,101,96,0,0,0,0,1,0,0,0,101,0,0,0,0,0,0,0,0,1,,,0,0,0,0,0,0,1,0,1,0,0.0099009900990099,0.0193092777830645,,
District of Columbia,2020-04-15,0,0,0,30,0,0,1,184,182,182,172,0,0,0,0,2,0,0,1,182,0,0,0,0,0,0,0,0,2,,,0,0,0,0,0.0054945054945055,0.0107394068758001,1,0,1,0,0.010989010989011,0.0151458014560121,1,
District of Columbia,2020-04-16,0,0,0,24,1,0,2,159,158,158,152,0,0,0,0,2,0,0,16,158,0,0,0,0,0,0,0,0,2,,,0.00632911392405063,0.0123655172261724,0,0,0.0126582278481013,0.0174317005825738,1,0,1,0,0.0126582278481013,0.0174317005825738,1,
District of Columbia,2020-04-17,0,0,0,18,1,0,1,112,112,112,110,0,0,0,0,1,0,0,15,112,0,0,0,0,0,0,0,0,2,,,0.00892857142857143,0.0174213797031353,0,0,0.00892857142857143,0.0174213797031353,1,0,1,0,0.00892857142857143,0.0174213797031353,1,
District of Columbia,2020-04-18,0,0,0,22,1,0,1,157,157,157,151,0,0,0,0,1,0,0,16,157,0,0,0,0,0,0,0,0,3,,,0.00636942675159236,0.0124440260501474,0,0,0.00636942675159236,0.0124440260501474,1,0,1,0,0.00636942675159236,0.0124440260501474,1,
District of Columbia,2020-04-19,0,0,0,6,0,0,0,130,130,130,122,0,0,0,0,1,0,0,1,130,0,0,0,0,0,0,0,0,3,,,0,0,0,0,0,0,1,0,1,0,0.00769230769230769,0.0150185469901632,1,
District of Columbia,2020-04-20,0,0,0,10,1,0,0,107,107,107,101,0,0,0,0,2,0,0,1,107,0,0,0,0,0,0,0,0,2,,,0.00934579439252336,0.0182316240644272,0,0,0,0,1,0,1,0,0.0186915887850467,0.0256615019570993,1,
District of Columbia,2020-04-21,0,0,0,114,3,1,1,116,115,115,108,0,0,0,0,3,0,0,100,115,0,0,0,0,0,0,0,0,2,,,0.0260869565217391,0.0291320448021993,0.00869565217391304,0.0169689025724735,0.00869565217391304,0.0169689025724735,1,0,1,0,0.0260869565217391,0.0291320448021993,1,
District of Columbia,2020-04-22,0,0,0,115,3,1,2,128,126,126,119,0,0,0,0,3,0,0,103,126,0,0,0,0,0,0,0,0,2,,,0.0238095238095238,0.0266198409578783,0.00793650793650794,0.015493419494625,0.0158730158730159,0.0218231839682176,1,0,1,0,0.0238095238095238,0.0266198409578783,1,
District of Columbia,2020-04-23,0,0,0,19,2,2,1,147,143,143,137,0,0,0,0,2,0,0,9,143,0,0,0,0,0,0,0,0,2,,,0.013986013986014,0.0192472456407752,0.013986013986014,0.0192472456407752,0.00699300699300699,0.0136580345505899,1,0,1,0,0.013986013986014,0.0192472456407752,1,
District of Columbia,2020-04-24,0,0,0,14,1,2,0,151,147,147,140,0,0,0,0,1,0,0,5,147,0,0,0,0,0,0,0,0,2,,,0.00680272108843537,0.0132876602992285,0.0136054421768707,0.0187271240736186,0,0,1,0,1,0,0.00680272108843537,0.0132876602992285,1,
District of Columbia,2020-04-25,0,0,0,5,0,0,0,108,107,107,104,0,0,0,0,0,0,0,0,107,0,0,0,0,0,0,0,0,1,,,0,0,0,0,0,0,1,0,1,0,0,0,,
District of Columbia,2020-04-26,0,0,0,9,0,0,0,198,195,195,190,0,0,0,0,0,0,0,1,195,0,0,0,0,0,0,0,0,2,,,0,0,0,0,0,0,1,0,1,0,0,0,1,
District of Columbia,2020-04-27,0,0,0,6,0,0,0,105,104,104,102,0,0,0,0,0,0,0,0,104,0,0,0,0,0,0,0,0,1,,,0,0,0,0,0,0,1,0,1,0,0,0,,
District of Columbia,2020-04-28,0,0,0,7,1,1,0,112,111,111,106,0,0,0,0,0,0,0,2,111,0,0,0,0,0,0,0,0,1,,,0.00900900900900901,0.0175776157070447,0.00900900900900901,0.0175776157070447,0,0,1,0,1,0,0,0,1,
District of Columbia,2020-04-29,0,0,0,14,1,1,0,180,178,178,170,0,0,0,0,0,0,0,2,178,0,0,0,0,0,0,0,0,2,,,0.00561797752808989,0.0109800601880064,0.00561797752808989,0.0109800601880064,0,0,1,0,1,0,0,0,1,
District of Columbia,2020-04-30,0,0,0,19,1,1,0,117,116,116,113,0,0,0,0,4,0,0,3,116,0,0,0,0,0,0,0,0,1,,,0.00862068965517241,0.0168232549815172,0.00862068965517241,0.0168232549815172,0,0,1,0,1,0,0.0344827586206897,0.0332047423094912,1,
District of Columbia,2020-05-01,0,0,0,40,3,2,2,204,202,202,198,0,0,0,0,5,0,0,18,202,0,0,0,0,0,0,0,0,2,,,0.0148514851485149,0.0166804668878234,0.0099009900990099,0.0136537212602196,0.0099009900990099,0.0136537212602196,1,0,1,0,0.0247524752475248,0.0214259038717155,1,
District of Columbia,2020-05-02,0,0,0,25,2,1,2,164,162,162,159,0,0,0,0,1,0,0,15,162,0,0,0,0,0,0,0,0,2,,,0.0123456790123457,0.0170039789383968,0.00617283950617284,0.0120611441281663,0.0123456790123457,0.0170039789383968,1,0,1,0,0.00617283950617284,0.0120611441281663,1,
District of Columbia,2020-05-03,0,0,0,12,0,1,0,102,101,101,97,0,0,0,0,0,0,0,0,101,0,0,0,0,0,0,0,0,1,,,0,0,0.0099009900990099,0.0193092777830645,0,0,1,0,1,0,0,0,,
