state,date,A5_1,A5_2,A5_3,A2,pos_RF,pos_XGB,pos_glm,pos_svm,pos_nn,count,symptomatic,infected,not_infected,vaccinated,unvaccinated,cli,cli_vaccinated,cli_unvaccinated,cli_local,count_local,reach,test_recent,tested_vaccinated,tested_unvaccinated,positive_recent,positive_vaccinated,positive_unvaccinated,positive_symptomatic,days_aggregated,p_infected,p_infected_CI,p_rf,p_rf_CI,p_XGB,p_XGB_CI,p_glm,p_glm_CI,p_nn,p_nn_CI,p_svm,p_svm_CI,p_cli,p_cli_CI,p_cli_local,p_cli_local_CI
Florida,2020-04-06,0,0,0,979,29,27,5,2802,0,2585,2459,0,0,0,0,28,0,0,51,2585,0,0,0,0,0,0,0,0,1,,,0.0112185686653772,0.00406009965609752,0.0104448742746615,0.00391912776642585,0.00193423597678917,0.00169376098559021,0,0,1,0,0.0108317214700193,0.00399026417961774,1,
Florida,2020-04-07,0,0,0,2536,75,67,22,8184,0,7570,7199,0,0,0,0,90,0,0,225,7564,0,0,0,0,0,0,0,0,1,,,0.00990752972258917,0.00223110866073449,0.00885072655217966,0.0021098867575543,0.00290620871862616,0.00121263907356234,0,0,1,0,0.011889035667107,0.00244161017103147,1,
Florida,2020-04-08,0,0,0,2412,56,54,12,7836,0,7250,6888,0,0,0,0,70,0,0,206,7246,0,0,0,0,0,0,0,0,1,,,0.00772413793103448,0.00201521000848963,0.00744827586206897,0.0019791720008698,0.0016551724137931,0.000935709402619671,0,0,1,0,0.0096551724137931,0.00225087990147983,1,
Florida,2020-04-09,0,0,0,2162,58,60,15,6855,0,6340,6042,0,0,0,0,56,0,0,145,6336,0,0,0,0,0,0,0,0,1,,,0.00914826498422713,0.00234356588284176,0.00946372239747634,0.00238325027198791,0.00236593059936909,0.00119588687271423,0,0,1,0,0.00883280757097792,0.00230317164873525,1,
Florida,2020-04-10,0,0,0,1036,24,25,9,3579,0,3321,3181,0,0,0,0,36,0,0,104,3317,0,0,0,0,0,0,0,0,1,,,0.00722673893405601,0.00288077853268466,0.00752785305630834,0.00293973635660294,0.002710027100271,0.00176811780039167,0,0,1,0,0.010840108401084,0.00352179210025512,1,
Florida,2020-04-11,0,0,0,232,6,6,1,866,0,810,778,0,0,0,0,9,0,0,14,808,0,0,0,0,0,0,0,0,1,,,0.00740740740740741,0.00590505860668083,0.00740740740740741,0.00590505860668083,0.00123456790123457,0.00241821451430383,0,0,1,0,0.0111111111111111,0.00721868474136253,1,
Florida,2020-04-12,0,0,0,68,1,0,0,313,0,294,281,0,0,0,0,3,0,0,12,293,0,0,0,0,0,0,0,0,1,,,0.00340136054421769,0.00665519684765905,0,0,0,0,0,0,1,0,0.0102040816326531,0.0114877299366876,1,
Florida,2020-04-13,0,0,0,943.1,25,24,5,3202,0,2970,2817,0,0,0,0,26,0,0,80,2969,0,0,0,0,0,0,0,0,1,,,0.00841750841750842,0.00328568610337349,0.00808080808080808,0.00321984828765489,0.00168350168350168,0.00147438453905887,0,0,1,0,0.00875420875420875,0.00335018657414606,1,
Florida,2020-04-14,0,0,0,2257,85,80,22,7889,0,7282,6939,0,0,0,0,79,0,0,237,7274,0,0,0,0,0,0,0,0,1,,,0.0116726174127987,0.0024669326522383,0.0109859928591046,0.00239410741166998,0.00302114803625378,0.00126052577327935,0,0,1,0,0.0108486679483658,0.00237926234935282,1,
Florida,2020-04-15,0,0,0,1057,40,37,10,5156,0,4789,4584,0,0,0,0,46,0,0,112,4786,0,0,0,0,0,0,0,0,1,,,0.00835247442054709,0.00257757859105396,0.00772603883900606,0.00247981860200901,0.00208811860513677,0.00129285360487662,0,0,1,0,0.00960534558362915,0.00276239839890472,1,
