state,date,A5_1,A5_2,A5_3,A2,pos_RF,pos_XGB,pos_glm,pos_svm,pos_nn,count,symptomatic,infected,not_infected,vaccinated,unvaccinated,cli,cli_vaccinated,cli_unvaccinated,cli_local,count_local,reach,test_recent,tested_vaccinated,tested_unvaccinated,positive_recent,positive_vaccinated,positive_unvaccinated,positive_symptomatic,days_aggregated,p_infected,p_infected_CI,p_rf,p_rf_CI,p_XGB,p_XGB_CI,p_glm,p_glm_CI,p_nn,p_nn_CI,p_svm,p_svm_CI,p_cli,p_cli_CI,p_cli_local,p_cli_local_CI
Georgia,2020-04-06,0,0,0,902,54,41,16,2329,2259,2259,2160,0,0,0,0,29,0,0,59,2259,0,0,0,0,0,0,0,0,1,,,0.0239043824701195,0.00629904805337645,0.018149623727313,0.00550486209735807,0.00708277999114653,0.00345818619492949,1,0,1,0,0.0128375387339531,0.00464221419372487,1,
Georgia,2020-04-07,0,0,0,2782,102,93,40,6911,6729,6729,6399,0,0,0,0,94,0,0,220,6720,0,0,0,0,0,0,0,0,1,,,0.0151582701738743,0.00291931440155818,0.0138207757467677,0.00278943959672877,0.00594441967602913,0.0018366774427119,1,0,1,0,0.0139693862386685,0.00280418517494004,1,
Georgia,2020-04-08,0,0,0,2621,99,90,31,6409,6236,6236,5956,0,0,0,0,76,0,0,228,6227,0,0,0,0,0,0,0,0,1,,,0.0158755612572162,0.00310230569564037,0.0144323284156511,0.00296010055210554,0.0049711353431687,0.00174558367264137,1,0,1,0,0.0121872995509942,0.00272324104047077,1,
Georgia,2020-04-09,0,0,0,2093,66,59,24,5276,5129,5129,4916,0,0,0,0,68,0,0,175,5125,0,0,0,0,0,0,0,0,1,,,0.0128680054591538,0.00308443039308297,0.0115032170013648,0.00291829390374395,0.00467927471241958,0.00186768029376425,1,0,1,0,0.0132579450185221,0.00313019697515772,1,
Georgia,2020-04-10,0,0,0,1014,39,30,13,2536,2454,2454,2368,0,0,0,0,28,0,0,70,2454,0,0,0,0,0,0,0,0,1,,,0.0158924205378973,0.00494797075984429,0.0122249388753056,0.0043477362325873,0.00529747351263244,0.00287204882917128,1,0,1,0,0.0114099429502852,0.00420204469410297,1,
Georgia,2020-04-11,0,0,0,249,8,5,1,616,593,593,571,0,0,0,0,6,0,0,18,593,0,0,0,0,0,0,0,0,1,,,0.0134907251264755,0.00928515114223413,0.00843170320404722,0.00735935437783922,0.00168634064080944,0.00330237892712732,1,0,1,0,0.0101180438448567,0.00805491064012693,1,
Georgia,2020-04-12,0,0,0,76,2,2,0,208,202,202,195,0,0,0,0,1,0,0,0,202,0,0,0,0,0,0,0,0,1,,,0.0099009900990099,0.0136537212602196,0.0099009900990099,0.0136537212602196,0,0,1,0,1,0,0.00495049504950495,0.0096787453932065,,
Georgia,2020-04-13,0,0,0,675,22,26,8,1791,1745,1745,1641,0,0,0,0,15,0,0,93,1745,0,0,0,0,0,0,0,0,1,,,0.0126074498567335,0.00523490642776021,0.0148997134670487,0.00568433358290841,0.00458452722063037,0.00316956634493671,1,0,1,0,0.00859598853868195,0.00433135345403928,1,
Georgia,2020-04-14,0,0,0,935,28,31,10,2529,2451,2451,2339,0,0,0,0,36,0,0,93,2447,0,0,0,0,0,0,0,0,1,,,0.0114239086087311,0.00420715823841157,0.0126478988168095,0.00442406657783796,0.00407996736026112,0.002523579633893,1,0,1,0,0.01468788249694,0.00476258721811597,1,
Georgia,2020-04-15,0,0,0,419,23,24,6,1676,1629,1629,1563,0,0,0,0,25,0,0,52,1625,0,0,0,0,0,0,0,0,1,,,0.0141190914671578,0.00572932096882251,0.0147329650092081,0.00585072389822215,0.00368324125230203,0.00294172011175833,1,0,1,0,0.0153468385512584,0.00596950954381755,1,
