state,date,A5_1,A5_2,A5_3,A2,pos_RF,pos_XGB,pos_glm,pos_svm,pos_nn,count,symptomatic,infected,not_infected,vaccinated,unvaccinated,cli,cli_vaccinated,cli_unvaccinated,cli_local,count_local,reach,test_recent,tested_vaccinated,tested_unvaccinated,positive_recent,positive_vaccinated,positive_unvaccinated,positive_symptomatic,days_aggregated,p_infected,p_infected_CI,p_rf,p_rf_CI,p_XGB,p_XGB_CI,p_glm,p_glm_CI,p_nn,p_nn_CI,p_svm,p_svm_CI,p_cli,p_cli_CI,p_cli_local,p_cli_local_CI
Idaho,2020-04-06,0,0,0,424,19,17,4,940,925,925,879,0,0,0,0,19,0,0,49,925,0,0,0,0,0,0,0,0,1,,,0.0205405405405405,0.00914063550518885,0.0183783783783784,0.00865571357576919,0.00432432432432432,0.00422858731519752,1,0,1,0,0.0205405405405405,0.00914063550518885,1,
Idaho,2020-04-07,0,0,0,855,40,35,9,1917,1877,1877,1808,0,0,0,0,46,0,0,99,1874,0,0,0,0,0,0,0,0,1,,,0.0213106020245072,0.00653335498508072,0.0186467767714438,0.00611970541825472,0.00479488545551412,0.00312508167861567,1,0,1,0,0.0245071923281833,0.00699479144302677,1,
Idaho,2020-04-08,0,0,0,788,36,32,7,1850,1807,1807,1752,0,0,0,0,33,0,0,91,1805,0,0,0,0,0,0,0,0,1,,,0.0199225235196458,0.00644275168445016,0.0177089097952407,0.006081140394576,0.00387382401770891,0.00286415247856179,1,0,1,0,0.018262313226342,0.00617368746163706,1,
Idaho,2020-04-09,0,0,0,662,27,22,3,1623,1585,1585,1530,0,0,0,0,26,0,0,60,1584,0,0,0,0,0,0,0,0,1,,,0.0170347003154574,0.00637044543137297,0.0138801261829653,0.00575963577524399,0.00189274447949527,0.00213977474864626,1,0,1,0,0.016403785488959,0.00625336707630885,1,
Idaho,2020-04-10,0,0,0,379,12,9,3,855,842,842,813,0,0,0,0,18,0,0,25,842,0,0,0,0,0,0,0,0,1,,,0.0142517814726841,0.00800589007978781,0.0106888361045131,0.00694582295487906,0.00356294536817102,0.0040245892381338,1,0,1,0,0.0213776722090261,0.00976966815103269,1,
Idaho,2020-04-11,0,0,0,67,1,0,0,211,209,209,203,0,0,0,0,4,0,0,3,208,0,0,0,0,0,0,0,0,1,,,0.00478468899521531,0.00935535623581309,0,0,0,0,1,0,1,0,0.0191387559808612,0.0185752893710187,1,
Idaho,2020-04-12,0,0,0,83,1,0,0,254,252,252,244,0,0,0,0,4,0,0,4,251,0,0,0,0,0,0,0,0,2,,,0.00396825396825397,0.00776218770429724,0,0,0,0,1,0,1,0,0.0158730158730159,0.0154313213710082,1,
Idaho,2020-04-13,0,0,0,251,7,8,3,618,607,607,589,0,0,0,0,8,0,0,20,605,0,0,0,0,0,0,0,0,1,,,0.0115321252059308,0.00849355883714415,0.0131795716639209,0.00907242651326878,0.00494233937397035,0.00557884314677834,1,0,1,0,0.0131795716639209,0.00907242651326878,1,
Idaho,2020-04-14,0,0,0,234,10,12,4,607,601,601,579,0,0,0,0,10,0,0,30,601,0,0,0,0,0,0,0,0,1,,,0.0166389351081531,0.0102265730152438,0.0199667221297837,0.0111836779752981,0.00665557404326123,0.00650060150775388,1,0,1,0,0.0166389351081531,0.0102265730152438,1,
Idaho,2020-04-15,0,0,0,103,13,10,2,422,414,414,393,0,0,0,0,11,0,0,25,414,0,0,0,0,0,0,0,0,1,,,0.0314009661835749,0.0167993099047473,0.0241545893719807,0.0147889813714333,0.00483091787439614,0.00667899602796205,1,0,1,0,0.0265700483091787,0.0154916060713824,1,
Idaho,2020-04-16,0,0,0,58,6,2,1,424,417,417,406,0,0,0,0,7,0,0,16,417,0,0,0,0,0,0,0,0,1,,,0.0143884892086331,0.0114298503614574,0.00479616306954436,0.00663106148378875,0.00239808153477218,0.00469451438179664,1,0,1,0,0.0167865707434053,0.0123306212173669,1,
Idaho,2020-04-17,0,0,0,63,6,6,0,256,251,251,244,0,0,0,0,2,0,0,2,251,0,0,0,0,0,0,0,0,1,,,0.0239043824701195,0.0188971441601294,0.0239043824701195,0.0188971441601294,0,0,1,0,1,0,0.00796812749003984,0.0109989741200515,1,
Idaho,2020-04-18,0,0,0,25,3,2,0,262,259,259,248,0,0,0,0,6,0,0,7,259,0,0,0,0,0,0,0,0,1,,,0.0115830115830116,0.0130310393104533,0.00772200772200772,0.0106605596461593,0,0,1,0,1,0,0.0231660231660232,0.0183203738051589,1,
Idaho,2020-04-19,0,0,0,47,6,4,0,341,333,333,323,0,0,0,0,1,0,0,8,333,0,0,0,0,0,0,0,0,1,,,0.018018018018018,0.0142866775321914,0.012012012012012,0.0117006418326791,0,0,1,0,1,0,0.003003003003003,0.0058769335825067,1,
Idaho,2020-04-20,0,0,0,28,2,1,0,347,344,344,332,0,0,0,0,0,0,0,4,343,0,0,0,0,0,0,0,0,1,,,0.00581395348837209,0.00803412303068687,0.00290697674418605,0.00568928234397174,0,0,1,0,1,0,0,0,1,
Idaho,2020-04-21,0,0,0,52,5,4,3,346,341,341,337,0,0,0,0,7,0,0,16,341,0,0,0,0,0,0,0,0,1,,,0.0146627565982405,0.0127576641025443,0.0117302052785924,0.0114277694111525,0.00879765395894428,0.00991141133036557,1,0,1,0,0.0205278592375367,0.0150500788729963,1,
Idaho,2020-04-22,0,0,0,52,8,7,3,354,345,345,335,0,0,0,0,4,0,0,17,345,0,0,0,0,0,0,0,0,1,,,0.0231884057971015,0.0158810565549084,0.0202898550724638,0.0148773924212806,0.00869565217391304,0.00979700046807013,1,0,1,0,0.0115942028985507,0.0112960507160457,1,
Idaho,2020-04-23,0,0,0,43,6,3,2,359,354,354,342,0,0,0,0,4,0,0,13,354,0,0,0,0,0,0,0,0,1,,,0.0169491525423729,0.013446474888497,0.00847457627118644,0.00954898879157496,0.00564971751412429,0.00780781523436623,1,0,1,0,0.0112994350282486,0.0110105044257592,1,
Idaho,2020-04-24,0,0,0,73,9,7,1,467,459,459,445,0,0,0,0,7,0,0,15,459,0,0,0,0,0,0,0,0,1,,,0.0196078431372549,0.0126840099582687,0.0152505446623094,0.011211076089344,0.00217864923747277,0.00426542000735771,1,0,1,0,0.0152505446623094,0.011211076089344,1,
Idaho,2020-04-25,0,0,0,56,3,3,1,540,530,530,509,0,0,0,0,9,0,0,12,530,0,0,0,0,0,0,0,0,1,,,0.00566037735849057,0.0063870486118151,0.00566037735849057,0.0063870486118151,0.00188679245283019,0.0036945548847337,1,0,1,0,0.0169811320754717,0.010999536950977,1,
Idaho,2020-04-26,0,0,0,61,1,0,0,531,526,526,501,0,0,0,0,3,0,0,15,526,0,0,0,0,0,0,0,0,1,,,0.00190114068441065,0.00372262360183614,0,0,0,0,1,0,1,0,0.00570342205323194,0.00643548002406992,1,
Idaho,2020-04-27,0,0,0,89,4,3,1,500,495,495,481,0,0,0,0,3,0,0,38,495,0,0,0,0,0,0,0,0,1,,,0.00808080808080808,0.00788698535392863,0.00606060606060606,0.00683728166706943,0.00202020202020202,0.00395552166070435,1,0,1,0,0.00606060606060606,0.00683728166706943,1,
Idaho,2020-04-28,0,0,0,94,13,10,0,658,646,646,627,0,0,0,0,8,0,0,32,644,0,0,0,0,0,0,0,0,1,,,0.0201238390092879,0.010828613306604,0.0154798761609907,0.0095198010389436,0,0,1,0,1,0,0.0123839009287926,0.00852814639491706,1,
Idaho,2020-04-29,0,0,0,45,10,8,1,486,473,473,464,0,0,0,0,6,0,0,8,473,0,0,0,0,0,0,0,0,1,,,0.0211416490486258,0.0129642344216272,0.0169133192389006,0.0116205812038594,0.00211416490486258,0.0041393045344414,1,0,1,0,0.0126849894291755,0.0100853377132297,1,
