state,date,A5_1,A5_2,A5_3,A2,pos_RF,pos_XGB,pos_glm,pos_svm,pos_nn,count,symptomatic,infected,not_infected,vaccinated,unvaccinated,cli,cli_vaccinated,cli_unvaccinated,cli_local,count_local,reach,test_recent,tested_vaccinated,tested_unvaccinated,positive_recent,positive_vaccinated,positive_unvaccinated,positive_symptomatic,days_aggregated,p_infected,p_infected_CI,p_rf,p_rf_CI,p_XGB,p_XGB_CI,p_glm,p_glm_CI,p_nn,p_nn_CI,p_svm,p_svm_CI,p_cli,p_cli_CI,p_cli_local,p_cli_local_CI
Illinois,2020-04-06,0,0,0,1359,47,44,17,3074,3062,3062,2917,0,0,0,0,56,0,0,167,3059,0,0,0,0,0,0,0,0,1,,,0.0153494448073155,0.00435444589471408,0.0143696930111039,0.00421527844224959,0.00555192684519922,0.00263183356056131,1,0,1,0,0.0182887001959504,0.0047460117938488,1,
Illinois,2020-04-07,0,0,0,2850,105,97,25,7164,7132,7132,6742,0,0,0,0,93,0,0,334,7131,0,0,0,0,0,0,0,0,1,,,0.0147223780145822,0.00279518602018801,0.013600673022995,0.0026881221984822,0.00350532809871004,0.00137165297987892,1,0,1,0,0.0130398205272013,0.00263286169533647,1,
Illinois,2020-04-08,0,0,0,2428,82,69,26,6527,6500,6500,6206,0,0,0,0,85,0,0,222,6493,0,0,0,0,0,0,0,0,1,,,0.0126153846153846,0.0027132189310737,0.0106153846153846,0.00249139079900693,0.004,0.00153444412092886,1,0,1,0,0.0130769230769231,0.00276175945347333,1,
Illinois,2020-04-09,0,0,0,1912,73,63,24,5494,5459,5459,5228,0,0,0,0,61,0,0,166,5453,0,0,0,0,0,0,0,0,1,,,0.0133724125297674,0.00304700420914342,0.0115405751969225,0.00283324867794098,0.00439640959882762,0.00175502717144015,1,0,1,0,0.0111742077303535,0.00278843038924731,1,
Illinois,2020-04-10,0,0,0,1011,36,41,17,2623,2604,2604,2513,0,0,0,0,40,0,0,112,2603,0,0,0,0,0,0,0,0,1,,,0.0138248847926267,0.00448472049431822,0.0157450076804916,0.00478137550835942,0.0065284178187404,0.00309320922145156,1,0,1,0,0.0153609831029186,0.00472362733631109,1,
Illinois,2020-04-11,0,0,0,234,8,9,2,614,609,609,586,0,0,0,0,8,0,0,31,609,0,0,0,0,0,0,0,0,1,,,0.013136288998358,0.00904283031517168,0.0147783251231527,0.00958338712432372,0.00328407224958949,0.00454392856727788,1,0,1,0,0.013136288998358,0.00904283031517168,1,
Illinois,2020-04-12,0,0,0,76,5,4,2,169,169,169,165,0,0,0,0,2,0,0,28,169,0,0,0,0,0,0,0,0,1,,,0.029585798816568,0.0255461207292769,0.0236686390532544,0.0229187011626984,0.0118343195266272,0.0163038911621054,1,0,1,0,0.0118343195266272,0.0163038911621054,1,
Illinois,2020-04-13,0,0,0,983,34,29,11,3177,3159,3159,2991,0,0,0,0,41,0,0,89,3159,0,0,0,0,0,0,0,0,1,,,0.0107628996517885,0.00359822338330573,0.0091801202912314,0.00332578997507812,0.0034821145932257,0.00205417460826511,1,0,1,0,0.0129787907565685,0.003946877396631,1,
Illinois,2020-04-14,0,0,0,1754,56,50,21,4920,4896,4896,4643,0,0,0,0,63,0,0,241,4891,0,0,0,0,0,0,0,0,1,,,0.011437908496732,0.00297853475235526,0.0102124183006536,0.0028161947490143,0.00428921568627451,0.00183055564352869,1,0,1,0,0.0128676470588235,0.00315692780047326,1,
Illinois,2020-04-15,0,0,0,704,37,30,13,2963,2950,2950,2821,0,0,0,0,32,0,0,123,2949,0,0,0,0,0,0,0,0,1,,,0.0125423728813559,0.0040159303440185,0.0101694915254237,0.00362048806480889,0.00440677966101695,0.00239022462563969,1,0,1,0,0.0108474576271186,0.00373794321919501,1,
