state,date,A5_1,A5_2,A5_3,A2,pos_RF,pos_XGB,pos_glm,pos_svm,pos_nn,count,symptomatic,infected,not_infected,vaccinated,unvaccinated,cli,cli_vaccinated,cli_unvaccinated,cli_local,count_local,reach,test_recent,tested_vaccinated,tested_unvaccinated,positive_recent,positive_vaccinated,positive_unvaccinated,positive_symptomatic,days_aggregated,p_infected,p_infected_CI,p_rf,p_rf_CI,p_XGB,p_XGB_CI,p_glm,p_glm_CI,p_nn,p_nn_CI,p_svm,p_svm_CI,p_cli,p_cli_CI,p_cli_local,p_cli_local_CI
Iowa,2020-04-06,0,0,0,623,21,19,17,1540,1535,1535,1469,0,0,0,0,15,0,0,44,1535,0,0,0,0,0,0,0,0,1,,,0.0136807817589577,0.00581109675137862,0.0123778501628664,0.00553110524741892,0.0110749185667752,0.00523535176964682,1,0,1,0,0.00977198697068404,0.0049209952383273,1,
Iowa,2020-04-07,0,0,0,1614,60,51,42,3681,3664,3664,3501,0,0,0,0,70,0,0,159,3661,0,0,0,0,0,0,0,0,1,,,0.0163755458515284,0.00410944251671105,0.0139192139737991,0.00379344649029075,0.0114628820960699,0.00344678156694179,1,0,1,0,0.0191048034934498,0.00443254292391837,1,
Iowa,2020-04-08,0,0,0,1432,60,58,41,3495,3477,3477,3327,0,0,0,0,63,0,0,205,3475,0,0,0,0,0,0,0,0,1,,,0.0172562553925798,0.00432851741923614,0.0166810468794938,0.00425700933159314,0.0117917745182629,0.00358805887782991,1,0,1,0,0.0181190681622088,0.00443346299747317,1,
Iowa,2020-04-09,0,0,0,1199,39,34,21,2865,2861,2861,2776,0,0,0,0,45,0,0,172,2860,0,0,0,0,0,0,0,0,1,,,0.0136315973435862,0.00424895481375872,0.011883956658511,0.00397076026308235,0.00734009087731563,0.00312780825635591,1,0,1,0,0.0157287661656763,0.00455925503549027,1,
Iowa,2020-04-10,0,0,0,512,18,17,11,1411,1407,1407,1359,0,0,0,0,24,0,0,48,1406,0,0,0,0,0,0,0,0,1,,,0.0127931769722814,0.00587211186361986,0.0120824449182658,0.00570872083248882,0.007818052594172,0.00460199345410447,1,0,1,0,0.0170575692963753,0.00676587010620754,1,
Iowa,2020-04-11,0,0,0,105,5,4,5,286,285,285,278,0,0,0,0,3,0,0,9,285,0,0,0,0,0,0,0,0,1,,,0.0175438596491228,0.0152421004295007,0.0140350877192982,0.0136572719265325,0.0175438596491228,0.0152421004295007,1,0,1,0,0.0105263157894737,0.01184857119703,1,
Iowa,2020-04-12,0,0,0,127,7,6,6,362,360,360,349,0,0,0,0,3,0,0,12,360,0,0,0,0,0,0,0,0,2,,,0.0194444444444444,0.0142636512791219,0.0166666666666667,0.0132242666026007,0.0166666666666667,0.0132242666026007,1,0,1,0,0.00833333333333333,0.00939050774651639,1,
Iowa,2020-04-13,0,0,0,395,17,14,13,1101,1096,1096,1041,0,0,0,0,19,0,0,67,1096,0,0,0,0,0,0,0,0,1,,,0.0155109489051095,0.00731589464807365,0.0127737226277372,0.0066482892775054,0.0118613138686131,0.00640941163296303,1,0,1,0,0.0173357664233577,0.00772710674745815,1,
Iowa,2020-04-14,0,0,0,678,26,26,20,1805,1801,1801,1741,0,0,0,0,25,0,0,65,1801,0,0,0,0,0,0,0,0,1,,,0.0144364242087729,0.00550888078946092,0.0144364242087729,0.00550888078946092,0.0111049416990561,0.00483976728266699,1,0,1,0,0.0138811771238201,0.00540342349512041,1,
Iowa,2020-04-15,0,0,0,283,11,11,9,1107,1104,1104,1054,0,0,0,0,13,0,0,25,1104,0,0,0,0,0,0,0,0,1,,,0.00996376811594203,0.00585869520218513,0.00996376811594203,0.00585869520218513,0.00815217391304348,0.00530423546821988,1,0,1,0,0.0117753623188406,0.00636324335098453,1,
