state,date,A5_1,A5_2,A5_3,A2,pos_RF,pos_XGB,pos_glm,pos_svm,pos_nn,count,symptomatic,infected,not_infected,vaccinated,unvaccinated,cli,cli_vaccinated,cli_unvaccinated,cli_local,count_local,reach,test_recent,tested_vaccinated,tested_unvaccinated,positive_recent,positive_vaccinated,positive_unvaccinated,positive_symptomatic,days_aggregated,p_infected,p_infected_CI,p_rf,p_rf_CI,p_XGB,p_XGB_CI,p_glm,p_glm_CI,p_nn,p_nn_CI,p_svm,p_svm_CI,p_cli,p_cli_CI,p_cli_local,p_cli_local_CI
Kentucky,2020-04-06,0,0,0,973,40,38,29,2224,2168,2168,2051,0,0,0,0,31,0,0,63,2167,0,0,0,0,0,0,0,0,1,,,0.018450184501845,0.00566467478615792,0.0175276752767528,0.00552383597636787,0.0133763837638376,0.00483574693759852,1,0,1,0,0.0142988929889299,0.00499737893948506,1,
Kentucky,2020-04-07,0,0,0,2475,96,88,57,5678,5547,5547,5303,0,0,0,0,76,0,0,179,5540,0,0,0,0,0,0,0,0,1,,,0.0173066522444565,0.00343189940742144,0.0158644312240851,0.0032882037889081,0.010275824770146,0.00265389931445066,1,0,1,0,0.013701099693528,0.00305915157336462,1,
Kentucky,2020-04-08,0,0,0,2228,85,77,59,5261,5139,5139,4911,0,0,0,0,81,0,0,206,5135,0,0,0,0,0,0,0,0,1,,,0.016540182914964,0.00348704254465292,0.014983459817085,0.00332151790190007,0.0114808328468574,0.00291264816171152,1,0,1,0,0.0157618213660245,0.0034053525981137,1,
Kentucky,2020-04-09,0,0,0,1773,63,60,34,4068,3972,3972,3803,0,0,0,0,61,0,0,119,3969,0,0,0,0,0,0,0,0,1,,,0.0158610271903323,0.0038854143625754,0.0151057401812689,0.00379323089852574,0.00855991943605237,0.00286491370983272,1,0,1,0,0.0153575025176234,0.00382422165826952,1,
Kentucky,2020-04-10,0,0,0,870,53,48,35,2050,2002,2002,1927,0,0,0,0,33,0,0,72,2000,0,0,0,0,0,0,0,0,1,,,0.0264735264735265,0.00703227483811871,0.023976023976024,0.00670092689096499,0.0174825174825175,0.00574100841494614,1,0,1,0,0.0164835164835165,0.0055774002179483,1,
Kentucky,2020-04-11,0,0,0,193,9,6,4,464,453,453,439,0,0,0,0,5,0,0,23,452,0,0,0,0,0,0,0,0,1,,,0.0198675496688742,0.0128503077244273,0.0132450331125828,0.0105276193768776,0.00883002207505519,0.00861497366439617,1,0,1,0,0.011037527593819,0.00962110151788264,1,
Kentucky,2020-04-12,0,0,0,75,1,2,1,125,122,122,119,0,0,0,0,4,0,0,13,122,0,0,0,0,0,0,0,0,1,,,0.00819672131147541,0.0159993017797116,0.0163934426229508,0.0225327379431889,0.00819672131147541,0.0159993017797116,1,0,1,0,0.0327868852459016,0.0315994369537229,1,
Kentucky,2020-04-13,0,0,0,549,23,21,17,1517,1491,1491,1404,0,0,0,0,16,0,0,37,1491,0,0,0,0,0,0,0,0,1,,,0.0154258886653253,0.00625545020923595,0.0140845070422535,0.00598135997946867,0.01140174379611,0.00538895836542235,1,0,1,0,0.0107310529845741,0.00522983066634517,1,
Kentucky,2020-04-14,0,0,0,640,21,16,13,1544,1511,1511,1450,0,0,0,0,16,0,0,46,1508,0,0,0,0,0,0,0,0,1,,,0.013898080741231,0.00590274709424505,0.0105890138980807,0.00516097769563917,0.0086035737921906,0.00465670769012746,1,0,1,0,0.0105890138980807,0.00516097769563917,1,
Kentucky,2020-04-15,0,0,0,255,13,13,9,891,876,876,831,0,0,0,0,12,0,0,43,875,0,0,0,0,0,0,0,0,1,,,0.0148401826484018,0.0080069848315413,0.0148401826484018,0.0080069848315413,0.0102739726027397,0.00667763589834305,1,0,1,0,0.0136986301369863,0.00769731794777978,1,
