state,date,A5_1,A5_2,A5_3,A2,pos_RF,pos_XGB,pos_glm,pos_svm,pos_nn,count,symptomatic,infected,not_infected,vaccinated,unvaccinated,cli,cli_vaccinated,cli_unvaccinated,cli_local,count_local,reach,test_recent,tested_vaccinated,tested_unvaccinated,positive_recent,positive_vaccinated,positive_unvaccinated,positive_symptomatic,days_aggregated,p_infected,p_infected_CI,p_rf,p_rf_CI,p_XGB,p_XGB_CI,p_glm,p_glm_CI,p_nn,p_nn_CI,p_svm,p_svm_CI,p_cli,p_cli_CI,p_cli_local,p_cli_local_CI
Louisiana,2020-04-06,0,0,0,745,28,31,4,1832,1828,1828,1723,0,0,0,0,27,0,0,58,1827,0,0,0,0,0,0,0,0,1,,,0.0153172866520788,0.00562987914590462,0.0169584245076586,0.00591886847373871,0.00218818380743982,0.00214203329261814,1,0,1,0,0.0147702407002188,0.00552996703497097,1,
Louisiana,2020-04-07,0,0,0,1848,85,80,13,4653,4642,4642,4425,0,0,0,0,72,0,0,170,4636,0,0,0,0,0,0,0,0,1,,,0.0183110728134425,0.00385690874916693,0.01723395088324,0.00374380328310256,0.0028005170185265,0.00152021724017836,1,0,1,0,0.015510555794916,0.00355479642792357,1,
Louisiana,2020-04-08,0,0,0,1721,84,86,15,4198,4193,4193,4009,0,0,0,0,60,0,0,155,4186,0,0,0,0,0,0,0,0,1,,,0.0200333889816361,0.00424100233015801,0.0205103744335798,0.00429014898669385,0.00357739088957787,0.00180713519768542,1,0,1,0,0.0143095635583115,0.00359475358291114,1,
Louisiana,2020-04-09,0,0,0,1396,59,52,8,3342,3334,3334,3184,0,0,0,0,39,0,0,130,3330,0,0,0,0,0,0,0,0,1,,,0.0176964607078584,0.00447539482928453,0.0155968806238752,0.00420601345791845,0.0023995200959808,0.00166075593720532,1,0,1,0,0.0116976604679064,0.0036497213725322,1,
Louisiana,2020-04-10,0,0,0,647,40,28,7,1638,1637,1637,1558,0,0,0,0,25,0,0,125,1634,0,0,0,0,0,0,0,0,1,,,0.0244349419670128,0.00747924096768354,0.017104459376909,0.00628104796111975,0.00427611484422724,0.00316095194987444,1,0,1,0,0.015271838729383,0.00594056284972674,1,
Louisiana,2020-04-11,0,0,0,180,12,13,5,410,408,408,393,0,0,0,0,12,0,0,28,408,0,0,0,0,0,0,0,0,1,,,0.0294117647058824,0.016394420208282,0.0318627450980392,0.0170422946756059,0.0122549019607843,0.0106756756772591,1,0,1,0,0.0294117647058824,0.016394420208282,1,
Louisiana,2020-04-12,0,0,0,77,5,5,0,145,143,143,139,0,0,0,0,2,0,0,15,143,0,0,0,0,0,0,0,0,1,,,0.034965034965035,0.0301070760916232,0.034965034965035,0.0301070760916232,0,0,1,0,1,0,0.013986013986014,0.0192472456407752,1,
Louisiana,2020-04-13,0,0,0,477,23,22,4,1244,1243,1243,1192,0,0,0,0,17,0,0,53,1241,0,0,0,0,0,0,0,0,1,,,0.0185036202735318,0.00749178372257778,0.0176991150442478,0.00733011132442105,0.00321802091713596,0.00314852428127166,1,0,1,0,0.0136765888978278,0.00645670722163645,1,
Louisiana,2020-04-14,0,0,0,719,30,27,3,1950,1948,1948,1849,0,0,0,0,24,0,0,44,1947,0,0,0,0,0,0,0,0,1,,,0.0154004106776181,0.00546826547898409,0.0138603696098563,0.005191707623359,0.00154004106776181,0.00174134607919409,1,0,1,0,0.0123203285420945,0.0048986094606625,1,
Louisiana,2020-04-15,0,0,0,336,21,20,6,1127,1118,1118,1072,0,0,0,0,20,0,0,30,1117,0,0,0,0,0,0,0,0,1,,,0.018783542039356,0.00795789760700727,0.0178890876565295,0.0077696517539232,0.00536672629695886,0.004282658100192,1,0,1,0,0.0178890876565295,0.0077696517539232,1,
Louisiana,2020-04-16,0,0,0,154,15,13,3,1024,1019,1019,976,0,0,0,0,9,0,0,14,1018,0,0,0,0,0,0,0,0,1,,,0.014720314033366,0.00739433804033035,0.0127576054955839,0.00689060700832888,0.00294406280667321,0.00332655184454002,1,0,1,0,0.00883218842001963,0.00574471855516194,1,
Louisiana,2020-04-17,0,0,0,89,8,6,2,650,650,650,620,0,0,0,0,12,0,0,19,649,0,0,0,0,0,0,0,0,1,,,0.0123076923076923,0.00847599249675478,0.00923076923076923,0.00735184961710856,0.00307692307692308,0.0042577539137505,1,0,1,0,0.0184615384615385,0.0103485384693868,1,
Louisiana,2020-04-18,0,0,0,104,13,8,4,679,678,678,652,0,0,0,0,9,0,0,45,678,0,0,0,0,0,0,0,0,1,,,0.0191740412979351,0.0103225275114714,0.0117994100294985,0.00812804211214495,0.00589970501474926,0.00576452456394555,1,0,1,0,0.0132743362831858,0.00861465449083369,1,
Louisiana,2020-04-19,0,0,0,95,19,18,8,752,751,751,715,0,0,0,0,12,0,0,35,750,0,0,0,0,0,0,0,0,1,,,0.0252996005326232,0.0112310542880656,0.0239680426098535,0.0109389698513767,0.0106524633821571,0.00734222325378368,1,0,1,0,0.0159786950732357,0.00896811208969774,1,
