state,date,A5_1,A5_2,A5_3,A2,pos_RF,pos_XGB,pos_glm,pos_svm,pos_nn,count,symptomatic,infected,not_infected,vaccinated,unvaccinated,cli,cli_vaccinated,cli_unvaccinated,cli_local,count_local,reach,test_recent,tested_vaccinated,tested_unvaccinated,positive_recent,positive_vaccinated,positive_unvaccinated,positive_symptomatic,days_aggregated,p_infected,p_infected_CI,p_rf,p_rf_CI,p_XGB,p_XGB_CI,p_glm,p_glm_CI,p_nn,p_nn_CI,p_svm,p_svm_CI,p_cli,p_cli_CI,p_cli_local,p_cli_local_CI
Maine,2020-04-06,0,0,0,230,7,8,5,565,551,551,521,0,0,0,0,7,0,0,25,551,0,0,0,0,0,0,0,0,1,,,0.0127041742286751,0.00935123912303301,0.014519056261343,0.00998770257658123,0.00907441016333938,0.00791775421719607,1,0,1,0,0.0127041742286751,0.00935123912303301,1,
Maine,2020-04-07,0,0,0,739,18,22,12,1815,1782,1782,1714,0,0,0,0,19,0,0,68,1781,0,0,0,0,0,0,0,0,1,,,0.0101010101010101,0.00464271563874146,0.0123456790123457,0.00512689255288798,0.00673400673400673,0.00379720284572667,1,0,1,0,0.010662177328844,0.00476858466795003,1,
Maine,2020-04-08,0,0,0,558,17,18,7,1712,1675,1675,1614,0,0,0,0,26,0,0,44,1673,0,0,0,0,0,0,0,0,1,,,0.0101492537313433,0.00480001503551572,0.0107462686567164,0.00493768500105634,0.00417910447761194,0.00308939128518966,1,0,1,0,0.0155223880597015,0.00592001593563697,1,
Maine,2020-04-09,0,0,0,484,20,16,9,1382,1352,1352,1303,0,0,0,0,22,0,0,51,1350,0,0,0,0,0,0,0,0,1,,,0.014792899408284,0.0064350238944592,0.0118343195266272,0.00576429600022609,0.00665680473372781,0.0043345330095966,1,0,1,0,0.0162721893491124,0.00674404119587821,1,
Maine,2020-04-10,0,0,0,227,8,8,3,630,618,618,589,0,0,0,0,8,0,0,21,618,0,0,0,0,0,0,0,0,1,,,0.0129449838187702,0.00891200228925427,0.0129449838187702,0.00891200228925427,0.00485436893203884,0.0054797855603531,1,0,1,0,0.0129449838187702,0.00891200228925427,1,
Maine,2020-04-11,0,0,0,78,1,2,1,173,171,171,163,0,0,0,0,6,0,0,9,170,0,0,0,0,0,0,0,0,1,,,0.00584795321637427,0.0114282145766987,0.0116959064327485,0.0161143308311251,0.00584795321637427,0.0114282145766987,1,0,1,0,0.0350877192982456,0.0275785559839267,1,
Maine,2020-04-12,0,0,0,97,1,2,1,209,207,207,198,0,0,0,0,6,0,0,9,206,0,0,0,0,0,0,0,0,2,,,0.00483091787439614,0.00944552676577995,0.00966183574879227,0.0133255303018499,0.00483091787439614,0.00944552676577995,1,0,1,0,0.0289855072463768,0.0228542106883876,1,
Maine,2020-04-13,0,0,0,233,3,3,1,646,631,631,608,0,0,0,0,6,0,0,13,630,0,0,0,0,0,0,0,0,1,,,0.00475435816164818,0.0053671594955629,0.00475435816164818,0.0053671594955629,0.00158478605388273,0.00310366134221858,1,0,1,0,0.00950871632329635,0.00757215832569663,1,
Maine,2020-04-14,0,0,0,209,3,4,4,720,709,709,672,0,0,0,0,7,0,0,13,709,0,0,0,0,0,0,0,0,1,,,0.00423131170662906,0.00477795127038179,0.00564174894217207,0.00551319422300088,0.00564174894217207,0.00551319422300088,1,0,1,0,0.00987306064880113,0.00727773628188816,1,
Maine,2020-04-15,0,0,0,83,5,5,1,467,462,462,444,0,0,0,0,7,0,0,6,462,0,0,0,0,0,0,0,0,1,,,0.0108225108225108,0.00943470292522923,0.0108225108225108,0.00943470292522923,0.00216450216450216,0.00423775251586955,1,0,1,0,0.0151515151515152,0.0111388369300047,1,
