state,date,A5_1,A5_2,A5_3,A2,pos_RF,pos_XGB,pos_glm,pos_svm,pos_nn,count,symptomatic,infected,not_infected,vaccinated,unvaccinated,cli,cli_vaccinated,cli_unvaccinated,cli_local,count_local,reach,test_recent,tested_vaccinated,tested_unvaccinated,positive_recent,positive_vaccinated,positive_unvaccinated,positive_symptomatic,days_aggregated,p_infected,p_infected_CI,p_rf,p_rf_CI,p_XGB,p_XGB_CI,p_glm,p_glm_CI,p_nn,p_nn_CI,p_svm,p_svm_CI,p_cli,p_cli_CI,p_cli_local,p_cli_local_CI
Maryland,2020-04-06,0,0,0,825,12,13,4,2125,2091,2091,1968,0,0,0,0,25,0,0,42,2089,0,0,0,0,0,0,0,0,1,,,0.00573888091822095,0.00323768735784793,0.00621712099473936,0.0033690812875862,0.00191296030607365,0.00187287271208886,1,0,1,0,0.0119560019129603,0.0046585654851982,1,
Maryland,2020-04-07,0,0,0,2204,42,46,9,6277,6153,6153,5863,0,0,0,0,69,0,0,167,6148,0,0,0,0,0,0,0,0,1,,,0.0068259385665529,0.0020573041656282,0.00747602795384365,0.00215233859921748,0.00146270112140419,0.000954914694895547,1,0,1,0,0.0112140419307655,0.00263109704264752,1,
Maryland,2020-04-08,0,0,0,2128,39,41,5,5859,5750,5750,5478,0,0,0,0,49,0,0,172,5748,0,0,0,0,0,0,0,0,1,,,0.00678260869565217,0.0021214593161109,0.0071304347826087,0.00217479473955365,0.000869565217391304,0.000761862052988389,1,0,1,0,0.00852173913043478,0.00237585474103877,1,
Maryland,2020-04-09,0,0,0,1636,39,39,6,4847,4762,4762,4542,0,0,0,0,49,0,0,99,4759,0,0,0,0,0,0,0,0,1,,,0.00818983620327593,0.00255979555574101,0.00818983620327593,0.00255979555574101,0.00125997480050399,0.00100753595321,1,0,1,0,0.0102897942041159,0.00286622819817603,1,
Maryland,2020-04-10,0,0,0,897,18,17,4,2401,2356,2356,2276,0,0,0,0,15,0,0,74,2352,0,0,0,0,0,0,0,0,1,,,0.00764006791171477,0.00351595791304632,0.00721561969439728,0.00341762756182606,0.00169779286926995,0.00166239343913562,1,0,1,0,0.00636672325976231,0.00321167431289035,1,
Maryland,2020-04-11,0,0,0,243,7,7,0,611,598,598,571,0,0,0,0,4,0,0,12,598,0,0,0,0,0,0,0,0,1,,,0.0117056856187291,0.00862063139028358,0.0117056856187291,0.00862063139028358,0,0,1,0,1,0,0.00668896321070234,0.0065331034200233,1,
Maryland,2020-04-12,0,0,0,77,3,3,0,194,193,193,183,0,0,0,0,1,0,0,3,192,0,0,0,0,0,0,0,0,1,,,0.0155440414507772,0.0174521748457741,0.0155440414507772,0.0174521748457741,0,0,1,0,1,0,0.00518134715025907,0.0101289106907012,1,
Maryland,2020-04-13,0,0,0,786,25,23,1,2662,2607,2607,2488,0,0,0,0,32,0,0,65,2606,0,0,0,0,0,0,0,0,1,,,0.00958956655159187,0.00374097380819922,0.00882240122746452,0.00358960545855452,0.000383582662063675,0.00075166399861304,1,0,1,0,0.0122746451860376,0.00422668760363286,1,
Maryland,2020-04-14,0,0,0,368,8,9,1,1161,1139,1139,1086,0,0,0,0,5,0,0,19,1139,0,0,0,0,0,0,0,0,1,,,0.00702370500438982,0.00484996719276554,0.00790166812993854,0.00514189236532661,0.000877963125548727,0.00172002055097186,1,0,1,0,0.00438981562774364,0.00383931755215016,1,
Maryland,2020-04-15,0,0,0,151,9,9,2,737,724,724,701,0,0,0,0,10,0,0,18,723,0,0,0,0,0,0,0,0,1,,,0.0124309392265193,0.00807076156935687,0.0124309392265193,0.00807076156935687,0.00276243093922652,0.00382317201308204,1,0,1,0,0.0138121546961326,0.00850137840726385,1,
