state,date,A5_1,A5_2,A5_3,A2,pos_RF,pos_XGB,pos_glm,pos_svm,pos_nn,count,symptomatic,infected,not_infected,vaccinated,unvaccinated,cli,cli_vaccinated,cli_unvaccinated,cli_local,count_local,reach,test_recent,tested_vaccinated,tested_unvaccinated,positive_recent,positive_vaccinated,positive_unvaccinated,positive_symptomatic,days_aggregated,p_infected,p_infected_CI,p_rf,p_rf_CI,p_XGB,p_XGB_CI,p_glm,p_glm_CI,p_nn,p_nn_CI,p_svm,p_svm_CI,p_cli,p_cli_CI,p_cli_local,p_cli_local_CI
Michigan,2020-04-06,0,0,0,1420,87,80,53,3684,3357,3357,3177,0,0,0,0,55,0,0,174,3355,0,0,0,0,0,0,0,0,1,,,0.0259159964253798,0.00537470437565995,0.0238308013106941,0.00515946051689021,0.0157879058683348,0.00421676145393785,1,0,1,0,0.0163836759011022,0.00429428593302708,1,
Michigan,2020-04-07,0,0,0,3776,169,158,98,10326,9386,9386,8955,0,0,0,0,130,0,0,381,9377,0,0,0,0,0,0,0,0,1,,,0.018005540166205,0.00269008134181066,0.0168335819305348,0.00260261304709894,0.0104410824632431,0.00205637070085691,1,0,1,0,0.0138504155124654,0.00236434373264522,1,
Michigan,2020-04-08,0,0,0,3117,147,141,91,9089,8268,8268,7889,0,0,0,0,111,0,0,288,8263,0,0,0,0,0,0,0,0,1,,,0.0177793904208999,0.00284846450281476,0.0170537010159652,0.00279075733764926,0.0110062893081761,0.00224887379636498,1,0,1,0,0.0134252539912917,0.00248069921736642,1,
Michigan,2020-04-09,0,0,0,2741,129,121,83,7815,7138,7138,6851,0,0,0,0,87,0,0,344,7133,0,0,0,0,0,0,0,0,1,,,0.0180722891566265,0.00309033927054978,0.0169515270383861,0.00299468880452953,0.0116279069767442,0.00248697162838227,1,0,1,0,0.0121882880358644,0.00254547161929044,1,
Michigan,2020-04-10,0,0,0,1282,62,50,39,3871,3541,3541,3412,0,0,0,0,43,0,0,97,3537,0,0,0,0,0,0,0,0,1,,,0.0175091781982491,0.00431998521048679,0.014120304998588,0.00388614613175382,0.0110138378988986,0.00343755436500199,1,0,1,0,0.0121434622987857,0.0036074750095754,1,
Michigan,2020-04-11,0,0,0,286,12,8,6,849,782,782,747,0,0,0,0,8,0,0,48,781,0,0,0,0,0,0,0,0,1,,,0.0153452685421995,0.00861537026636502,0.010230179028133,0.00705266792021771,0.00767263427109975,0.00611567569327665,1,0,1,0,0.010230179028133,0.00705266792021771,1,
Michigan,2020-04-12,0,0,0,159,3,4,3,230,208,208,200,0,0,0,0,6,0,0,34,208,0,0,0,0,0,0,0,0,1,,,0.0144230769230769,0.0162028214584009,0.0192307692307692,0.0186637181763253,0.0144230769230769,0.0162028214584009,1,0,1,0,0.0288461538461538,0.0227459666730736,1,
Michigan,2020-04-13,0,0,0,1261,46,41,24,3768,3435,3435,3249,0,0,0,0,39,0,0,130,3434,0,0,0,0,0,0,0,0,1,,,0.013391557496361,0.0038439052956792,0.0119359534206696,0.00363166538235399,0.00698689956331878,0.00278550831679385,1,0,1,0,0.011353711790393,0.0035430242368017,1,
Michigan,2020-04-14,0,0,0,1970,91,91,51,6533,5987,5987,5730,0,0,0,0,64,0,0,163,5981,0,0,0,0,0,0,0,0,1,,,0.0151995991314515,0.00309908606606665,0.0151995991314515,0.00309908606606665,0.00851845665608819,0.00232791027909488,1,0,1,0,0.0106898279605813,0.00260492400035356,1,
Michigan,2020-04-15,0,0,0,889,56,51,35,4113,3802,3802,3660,0,0,0,0,44,0,0,132,3800,0,0,0,0,0,0,0,0,1,,,0.0147290899526565,0.00382919798977789,0.013413992635455,0.00365669335323653,0.00920568122041031,0.00303572029802561,1,0,1,0,0.011572856391373,0.00339965344740835,1,
Michigan,2020-04-16,0,0,0,371,49,54,33,3776,3461,3461,3356,0,0,0,0,42,0,0,90,3458,0,0,0,0,0,0,0,0,1,,,0.014157757873447,0.00393593795157115,0.0156024270442069,0.00412884556415351,0.00953481652701531,0.00323759908499159,1,0,1,0,0.0121352210343831,0.00364770650509892,1,
Michigan,2020-04-17,0,0,0,294,25,28,15,2288,2118,2118,2024,0,0,0,0,21,0,0,72,2118,0,0,0,0,0,0,0,0,1,,,0.0118035882908404,0.00459953338927645,0.0132200188857413,0.00486419879808791,0.00708215297450425,0.00357128428923097,1,0,1,0,0.00991501416430595,0.00421956829010447,1,
Michigan,2020-04-18,0,0,0,318,29,32,19,2522,2330,2330,2251,0,0,0,0,18,0,0,129,2328,0,0,0,0,0,0,0,0,1,,,0.0124463519313305,0.00450164784260827,0.0137339055793991,0.00472567892089517,0.00815450643776824,0.00365166545183968,1,0,1,0,0.00772532188841202,0.00355503906102759,1,
