state,date,A5_1,A5_2,A5_3,A2,pos_RF,pos_XGB,pos_glm,pos_svm,pos_nn,count,symptomatic,infected,not_infected,vaccinated,unvaccinated,cli,cli_vaccinated,cli_unvaccinated,cli_local,count_local,reach,test_recent,tested_vaccinated,tested_unvaccinated,positive_recent,positive_vaccinated,positive_unvaccinated,positive_symptomatic,days_aggregated,p_infected,p_infected_CI,p_rf,p_rf_CI,p_XGB,p_XGB_CI,p_glm,p_glm_CI,p_nn,p_nn_CI,p_svm,p_svm_CI,p_cli,p_cli_CI,p_cli_local,p_cli_local_CI
Minnesota,2020-04-06,0,0,0,870,34,32,9,2449,2324,2324,2229,0,0,0,0,29,0,0,90,2324,0,0,0,0,0,0,0,0,1,,,0.0146299483648881,0.00488147540102169,0.0137693631669535,0.00473779430156073,0.00387263339070568,0.00252517021362432,1,0,1,0,0.0124784853700516,0.00451319656916493,1,
Minnesota,2020-04-07,0,0,0,2097,76,82,32,6092,5743,5743,5508,0,0,0,0,84,0,0,178,5737,0,0,0,0,0,0,0,0,1,,,0.0132335016541877,0.00295544763630489,0.0142782517847815,0.00306826856198558,0.00557200069650009,0.00192517820264341,1,0,1,0,0.0146265018283127,0.00310491243443494,1,
Minnesota,2020-04-08,0,0,0,1959,69,69,22,5954,5632,5632,5393,0,0,0,0,56,0,0,143,5628,0,0,0,0,0,0,0,0,1,,,0.0122514204545455,0.00287298393251483,0.0122514204545455,0.00287298393251483,0.00390625,0.00162909680845253,1,0,1,0,0.00994318181818182,0.00259125120981385,1,
Minnesota,2020-04-09,0,0,0,1692,59,60,18,4934,4671,4671,4464,0,0,0,0,63,0,0,167,4668,0,0,0,0,0,0,0,0,1,,,0.0126311282380647,0.00320260918766089,0.0128452151573539,0.00322928575171654,0.00385356454720617,0.00177678986754302,1,0,1,0,0.0134874759152216,0.00330795657712863,1,
Minnesota,2020-04-10,0,0,0,806,36,37,15,2426,2279,2279,2189,0,0,0,0,44,0,0,116,2277,0,0,0,0,0,0,0,0,1,,,0.0157964019306713,0.00511914569887358,0.01623519087319,0.00518860093301497,0.00658183413777973,0.00331982693369713,1,0,1,0,0.0193067134708205,0.00564932688936453,1,
Minnesota,2020-04-11,0,0,0,171,8,9,3,569,528,528,519,0,0,0,0,8,0,0,22,528,0,0,0,0,0,0,0,0,1,,,0.0151515151515152,0.0104194278698056,0.0170454545454545,0.0110408406249306,0.00568181818181818,0.0064111728549841,1,0,1,0,0.0151515151515152,0.0104194278698056,1,
Minnesota,2020-04-12,0,0,0,49,4,5,0,148,144,144,141,0,0,0,0,0,0,0,0,143,0,0,0,0,0,0,0,0,1,,,0.0277777777777778,0.0268409798716222,0.0347222222222222,0.0299017602601131,0,0,1,0,1,0,0,0,,
Minnesota,2020-04-13,0,0,0,483,21,25,7,1631,1549,1549,1484,0,0,0,0,24,0,0,46,1548,0,0,0,0,0,0,0,0,1,,,0.013557133634603,0.00575893648662081,0.0161394448030988,0.00627528496510943,0.00451904454486766,0.00334012077924387,1,0,1,0,0.0154938670109748,0.00615051535513478,1,
Minnesota,2020-04-14,0,0,0,579,24,21,10,1680,1587,1587,1522,0,0,0,0,18,0,0,137,1587,0,0,0,0,0,0,0,0,1,,,0.0151228733459357,0.00600437503743308,0.0132325141776938,0.00562196615950843,0.00630119722747322,0.00389312678688143,1,0,1,0,0.0113421550094518,0.00520991244971148,1,
Minnesota,2020-04-15,0,0,0,180,13,11,3,968,924,924,890,0,0,0,0,11,0,0,23,923,0,0,0,0,0,0,0,0,1,,,0.0140692640692641,0.00759400709970743,0.0119047619047619,0.00699313424824165,0.00324675324675325,0.00366801055441388,1,0,1,0,0.0119047619047619,0.00699313424824165,1,
