state,date,A5_1,A5_2,A5_3,A2,pos_RF,pos_XGB,pos_glm,pos_svm,pos_nn,count,symptomatic,infected,not_infected,vaccinated,unvaccinated,cli,cli_vaccinated,cli_unvaccinated,cli_local,count_local,reach,test_recent,tested_vaccinated,tested_unvaccinated,positive_recent,positive_vaccinated,positive_unvaccinated,positive_symptomatic,days_aggregated,p_infected,p_infected_CI,p_rf,p_rf_CI,p_XGB,p_XGB_CI,p_glm,p_glm_CI,p_nn,p_nn_CI,p_svm,p_svm_CI,p_cli,p_cli_CI,p_cli_local,p_cli_local_CI
Missouri,2020-04-06,0,0,0,1246,27,26,11,2944,2778,2778,2642,0,0,0,0,32,0,0,92,2776,0,0,0,0,0,0,0,0,1,,,0.00971922246220302,0.00364818544386941,0.00935925125989921,0.0035806396598474,0.00395968322534197,0.00233534286626542,1,0,1,0,0.0115190784737221,0.00396803034337564,1,
Missouri,2020-04-07,0,0,0,3017,91,79,33,7409,6984,6984,6645,0,0,0,0,77,0,0,276,6978,0,0,0,0,0,0,0,0,1,,,0.0130297823596793,0.00265960156835861,0.01131156930126,0.00248020244947298,0.00472508591065292,0.00160831961704677,1,0,1,0,0.0110252004581902,0.00244896081152137,1,
Missouri,2020-04-08,0,0,0,2577,70,65,32,6983,6569,6569,6282,0,0,0,0,93,0,0,201,6564,0,0,0,0,0,0,0,0,1,,,0.0106561120414066,0.00248297008233492,0.00989496118130613,0.0023935700544465,0.00487136550464302,0.00168369502973667,1,0,1,0,0.0141574059978688,0.0028568937735983,1,
Missouri,2020-04-09,0,0,0,2327,67,63,21,5869,5534,5534,5311,0,0,0,0,61,0,0,249,5530,0,0,0,0,0,0,0,0,1,,,0.0121069750632454,0.00288138504067016,0.0113841705818576,0.00279507194400617,0.00379472352728587,0.00161991789272591,1,0,1,0,0.0110227683411637,0.00275085057528686,1,
Missouri,2020-04-10,0,0,0,1271,30,27,11,3030,2858,2858,2746,0,0,0,0,32,0,0,109,2856,0,0,0,0,0,0,0,0,1,,,0.0104968509447166,0.00373641480517471,0.00944716585024493,0.00354655395325978,0.00384884534639608,0.00227009917308923,1,0,1,0,0.0111966410076977,0.00385758782413623,1,
Missouri,2020-04-11,0,0,0,284,8,7,2,722,679,679,658,0,0,0,0,7,0,0,25,678,0,0,0,0,0,0,0,0,1,,,0.0117820324005891,0.00811614286594919,0.0103092783505155,0.00759761156603017,0.00294550810014728,0.00407617444372868,1,0,1,0,0.0103092783505155,0.00759761156603017,1,
Missouri,2020-04-12,0,0,0,64,4,4,3,211,201,201,193,0,0,0,0,2,0,0,7,200,0,0,0,0,0,0,0,0,1,,,0.0199004975124378,0.0193071030071302,0.0199004975124378,0.0193071030071302,0.0149253731343284,0.0167628256282356,1,0,1,0,0.0099502487562189,0.0137213088828851,1,
Missouri,2020-04-13,0,0,0,933,34,29,7,2845,2691,2691,2564,0,0,0,0,30,0,0,55,2689,0,0,0,0,0,0,0,0,1,,,0.0126347082868822,0.0042200031982159,0.010776662950576,0.0039010414860954,0.00260126347082869,0.00192449957769256,1,0,1,0,0.0111482720178372,0.00396698546302829,1,
Missouri,2020-04-14,0,0,0,508,14,10,7,1550,1466,1466,1402,0,0,0,0,16,0,0,28,1464,0,0,0,0,0,0,0,0,1,,,0.00954979536152797,0.00497845357473401,0.00682128240109141,0.00421335277359669,0.00477489768076398,0.0035287736474845,1,0,1,0,0.0109140518417462,0.00531852405705948,1,
Missouri,2020-04-15,0,0,0,235,9,8,4,1023,971,971,942,0,0,0,0,16,0,0,33,971,0,0,0,0,0,0,0,0,1,,,0.00926879505664264,0.00602737256379439,0.0082389289392379,0.00568561414915921,0.00411946446961895,0.00402867727576909,1,0,1,0,0.0164778578784758,0.00800720455467014,1,
