state,date,A5_1,A5_2,A5_3,A2,pos_RF,pos_XGB,pos_glm,pos_svm,pos_nn,count,symptomatic,infected,not_infected,vaccinated,unvaccinated,cli,cli_vaccinated,cli_unvaccinated,cli_local,count_local,reach,test_recent,tested_vaccinated,tested_unvaccinated,positive_recent,positive_vaccinated,positive_unvaccinated,positive_symptomatic,days_aggregated,p_infected,p_infected_CI,p_rf,p_rf_CI,p_XGB,p_XGB_CI,p_glm,p_glm_CI,p_nn,p_nn_CI,p_svm,p_svm_CI,p_cli,p_cli_CI,p_cli_local,p_cli_local_CI
New Hampshire,2020-04-06,0,0,0,221,5,5,6,615,589,589,568,0,0,0,0,11,0,0,17,589,0,0,0,0,0,0,0,0,1,,,0.00848896434634975,0.00740911907499919,0.00848896434634975,0.00740911907499919,0.0101867572156197,0.00810933144731354,1,0,1,0,0.0186757215619694,0.0109329008777902,1,
New Hampshire,2020-04-07,0,0,0,577,22,19,20,1861,1743,1743,1672,0,0,0,0,31,0,0,46,1743,0,0,0,0,0,0,0,0,1,,,0.0126219162363741,0.00524087481237977,0.0109007458405049,0.00487469492856645,0.0114744693057946,0.0049998807571614,1,0,1,0,0.0177854274239816,0.00620489929663246,1,
New Hampshire,2020-04-08,0,0,0,587,18,21,19,1759,1654,1654,1575,0,0,0,0,12,0,0,41,1651,0,0,0,0,0,0,0,0,1,,,0.0108827085852479,0.00500003144280358,0.0126964933494559,0.00539569724134618,0.0114873035066505,0.00513547373234822,1,0,1,0,0.00725513905683192,0.0040899879888782,1,
New Hampshire,2020-04-09,0,0,0,566,12,12,20,1429,1355,1355,1295,0,0,0,0,13,0,0,63,1353,0,0,0,0,0,0,0,0,1,,,0.00885608856088561,0.00498847474146546,0.00885608856088561,0.00498847474146546,0.014760147601476,0.00642088333298361,1,0,1,0,0.00959409594095941,0.00519023572046074,1,
New Hampshire,2020-04-10,0,0,0,257,11,11,10,680,637,637,617,0,0,0,0,7,0,0,32,637,0,0,0,0,0,0,0,0,1,,,0.0172684458398744,0.0101163175118723,0.0172684458398744,0.0101163175118723,0.0156985871271586,0.00965323131191347,1,0,1,0,0.010989010989011,0.00809577141378562,1,
New Hampshire,2020-04-11,0,0,0,70,2,2,4,164,155,155,148,0,0,0,0,5,0,0,35,155,0,0,0,0,0,0,0,0,1,,,0.0129032258064516,0.0177668835974755,0.0129032258064516,0.0177668835974755,0.0258064516129032,0.0249614042119311,1,0,1,0,0.032258064516129,0.0278151352140537,1,
New Hampshire,2020-04-12,0,0,0,92,2,2,5,212,200,200,192,0,0,0,0,5,0,0,35,200,0,0,0,0,0,0,0,0,2,,,0.01,0.0137895689426595,0.01,0.0137895689426595,0.025,0.0216374165225911,1,0,1,0,0.025,0.0216374165225911,1,
New Hampshire,2020-04-13,0,0,0,234,11,12,12,716,672,673,638,0,0,0,0,9,0,0,30,673,0,0,0,0,0,0,0,0,1,,,0.0163447251114413,0.00957967624686934,0.0178306092124814,0.00999808552508186,0.0178306092124814,0.00999808552508186,0.99851411589896,0.00291011486413447,1,0,0.0133729569093611,0.00867822266631423,1,
New Hampshire,2020-04-14,0,0,0,188,6,6,6,674,636,636,600,0,0,0,0,4,0,0,10,635,0,0,0,0,0,0,0,0,1,,,0.00943396226415094,0.00751291226918783,0.00943396226415094,0.00751291226918783,0.00943396226415094,0.00751291226918783,1,0,1,0,0.00628930817610063,0.00614399639715263,1,
New Hampshire,2020-04-15,0,0,0,126,4,5,4,418,394,394,377,0,0,0,0,6,0,0,42,393,0,0,0,0,0,0,0,0,1,,,0.0101522842639594,0.0098984241034087,0.0126903553299492,0.0110525773034689,0.0101522842639594,0.0098984241034087,1,0,1,0,0.0152284263959391,0.0120919194721748,1,
New Hampshire,2020-04-16,0,0,0,28,5,7,6,418,398,398,383,0,0,0,0,3,0,0,7,398,0,0,0,0,0,0,0,0,1,,,0.0125628140703518,0.0109422028162752,0.0175879396984925,0.0129140029600244,0.0150753768844221,0.0119713228039766,1,0,1,0,0.00753768844221106,0.00849733339192322,1,
New Hampshire,2020-04-17,0,0,0,18,5,5,4,263,255,255,246,0,0,0,0,2,0,0,3,255,0,0,0,0,0,0,0,0,1,,,0.0196078431372549,0.0170173850963838,0.0196078431372549,0.0170173850963838,0.0156862745098039,0.0152512231929298,1,0,1,0,0.00784313725490196,0.0108271232054475,1,
New Hampshire,2020-04-18,0,0,0,23,2,1,1,304,296,296,280,0,0,0,0,1,0,0,0,296,0,0,0,0,0,0,0,0,1,,,0.00675675675675676,0.00933252554754552,0.00337837837837838,0.00661030551888939,0.00337837837837838,0.00661030551888939,1,0,1,0,0.00337837837837838,0.00661030551888939,,
New Hampshire,2020-04-19,0,0,0,34,3,4,4,333,314,314,304,0,0,0,0,4,0,0,15,314,0,0,0,0,0,0,0,0,1,,,0.00955414012738853,0.0107595582427288,0.0127388535031847,0.0124040772277928,0.0127388535031847,0.0124040772277928,1,0,1,0,0.0127388535031847,0.0124040772277928,1,
New Hampshire,2020-04-20,0,0,0,22,5,4,4,364,352,352,342,0,0,0,0,5,0,0,8,352,0,0,0,0,0,0,0,0,1,,,0.0142045454545455,0.0123618604137485,0.0113636363636364,0.0110727045890914,0.0113636363636364,0.0110727045890914,1,0,1,0,0.0142045454545455,0.0123618604137485,1,
New Hampshire,2020-04-21,0,0,0,35,5,6,8,380,370,370,353,0,0,0,0,4,0,0,7,370,0,0,0,0,0,0,0,0,1,,,0.0135135135135135,0.0117645938697114,0.0162162162162162,0.0128698007120129,0.0216216216216216,0.0148198832966427,1,0,1,0,0.0108108108108108,0.0105369772717882,1,
New Hampshire,2020-04-22,0,0,0,26,3,4,4,384,364,364,360,0,0,0,0,3,0,0,7,364,0,0,0,0,0,0,0,0,1,,,0.00824175824175824,0.00928774416064901,0.010989010989011,0.0107096989160513,0.010989010989011,0.0107096989160513,1,0,1,0,0.00824175824175824,0.00928774416064901,1,
New Hampshire,2020-04-23,0,0,0,38,1,2,2,405,389,389,378,0,0,0,0,3,0,0,9,389,0,0,0,0,0,0,0,0,1,,,0.0025706940874036,0.00503198747942788,0.0051413881748072,0.00710712852659145,0.0051413881748072,0.00710712852659145,1,0,1,0,0.0077120822622108,0.00869316591933646,1,
New Hampshire,2020-04-24,0,0,0,61,8,10,9,463,431,431,410,0,0,0,0,3,0,0,16,431,0,0,0,0,0,0,0,0,1,,,0.0185614849187935,0.0127422864221536,0.0232018561484919,0.0142125901917738,0.0208816705336427,0.0134992507965368,1,0,1,0,0.00696055684454756,0.00784900666102312,1,
New Hampshire,2020-04-25,0,0,0,36,8,7,8,526,499,499,477,0,0,0,0,1,0,0,11,499,0,0,0,0,0,0,0,0,1,,,0.0160320641282565,0.0110200359716111,0.0140280561122245,0.0103187916597805,0.0160320641282565,0.0110200359716111,1,0,1,0,0.00200400801603206,0.0039238459075574,1,
New Hampshire,2020-04-26,0,0,0,87,2,2,4,569,540,540,519,0,0,0,0,7,0,0,18,540,0,0,0,0,0,0,0,0,1,,,0.0037037037037037,0.00512346279628464,0.0037037037037037,0.00512346279628464,0.00740740740740741,0.0072321902437991,1,0,1,0,0.012962962962963,0.00954047671267835,1,
New Hampshire,2020-04-27,0,0,0,52,2,3,7,550,527,527,512,0,0,0,0,4,0,0,6,527,0,0,0,0,0,0,0,0,1,,,0.00379506641366224,0.00524960730933873,0.00569259962049336,0.00642330344399773,0.0132827324478178,0.00977423688041733,1,0,1,0,0.00759013282732448,0.00740991128277547,1,
New Hampshire,2020-04-28,0,0,0,58,6,7,11,703,663,663,641,0,0,0,0,11,0,0,17,662,0,0,0,0,0,0,0,0,1,,,0.00904977375565611,0.0072083540302813,0.0105580693815988,0.00777998461391126,0.0165912518853695,0.00972294745780124,1,0,1,0,0.0165912518853695,0.00972294745780124,1,
New Hampshire,2020-04-29,0,0,0,76,5,5,7,415,397,397,384,0,0,0,0,3,0,0,5,397,0,0,0,0,0,0,0,0,1,,,0.0125944584382872,0.0109695892647307,0.0125944584382872,0.0109695892647307,0.017632241813602,0.0129462400179122,1,0,1,0,0.00755667506297229,0.0085186557687546,1,
New Hampshire,2020-04-30,0,0,0,54,10,10,12,774,733,733,707,0,0,0,0,9,0,0,14,733,0,0,0,0,0,0,0,0,1,,,0.0136425648021828,0.0083977178261082,0.0136425648021828,0.0083977178261082,0.0163710777626194,0.00918650645305841,1,0,1,0,0.0122783083219645,0.00797228226562704,1,
New Hampshire,2020-05-01,0,0,0,70,9,8,9,520,489,489,476,0,0,0,0,4,0,0,20,489,0,0,0,0,0,0,0,0,1,,,0.0184049079754601,0.0119131518013048,0.016359918200409,0.0112435209647262,0.0184049079754601,0.0119131518013048,1,0,1,0,0.0081799591002045,0.00798335914707333,1,
New Hampshire,2020-05-02,0,0,0,28,3,3,4,448,432,432,421,0,0,0,0,2,0,0,2,432,0,0,0,0,0,0,0,0,1,,,0.00694444444444444,0.00783090119285686,0.00694444444444444,0.00783090119285686,0.00925925925925926,0.00903180081009263,1,0,1,0,0.00462962962962963,0.00640135181450927,1,
