state,date,A5_1,A5_2,A5_3,A2,pos_RF,pos_XGB,pos_glm,pos_svm,pos_nn,count,symptomatic,infected,not_infected,vaccinated,unvaccinated,cli,cli_vaccinated,cli_unvaccinated,cli_local,count_local,reach,test_recent,tested_vaccinated,tested_unvaccinated,positive_recent,positive_vaccinated,positive_unvaccinated,positive_symptomatic,days_aggregated,p_infected,p_infected_CI,p_rf,p_rf_CI,p_XGB,p_XGB_CI,p_glm,p_glm_CI,p_nn,p_nn_CI,p_svm,p_svm_CI,p_cli,p_cli_CI,p_cli_local,p_cli_local_CI
New Jersey,2020-04-06,0,0,0,1068,27,21,11,2683,2668,2668,2501,0,0,0,0,41,0,0,147,2664,0,0,0,0,0,0,0,0,1,,,0.010119940029985,0.00379782925726006,0.00787106446776612,0.00335317308216593,0.00412293853073463,0.00243142833182826,1,0,1,0,0.0153673163418291,0.00466757513815506,1,
New Jersey,2020-04-07,0,0,0,2808,119,94,47,7451,7390,7390,6981,0,0,0,0,130,0,0,362,7386,0,0,0,0,0,0,0,0,1,,,0.0161028416779432,0.00286980234708503,0.0127198917456022,0.00255498157663624,0.00635994587280108,0.00181245455710177,1,0,1,0,0.0175913396481732,0.00299723931014496,1,
New Jersey,2020-04-08,0,0,0,2711,105,83,36,7000,6941,6941,6575,0,0,0,0,121,0,0,391,6936,0,0,0,0,0,0,0,0,1,,,0.0151275032416078,0.00287151243272021,0.0119579311338424,0.00255713002141758,0.00518657253997983,0.00168984984514567,1,0,1,0,0.01743264659271,0.00307893057883582,1,
New Jersey,2020-04-09,0,0,0,2027,91,64,30,5752,5705,5705,5403,0,0,0,0,72,0,0,234,5700,0,0,0,0,0,0,0,0,1,,,0.0159509202453988,0.00325103405041882,0.0112182296231376,0.00273295609465492,0.00525854513584575,0.0018767575781661,1,0,1,0,0.0126205083260298,0.00289668147366213,1,
New Jersey,2020-04-10,0,0,0,1077,29,22,19,2791,2768,2768,2627,0,0,0,0,43,0,0,169,2766,0,0,0,0,0,0,0,0,1,,,0.0104768786127168,0.00379309724858065,0.00794797687861272,0.00330796243587658,0.00686416184971098,0.00307583569596384,1,0,1,0,0.0155346820809249,0.00460698123644776,1,
New Jersey,2020-04-11,0,0,0,282,14,13,4,730,721,721,687,0,0,0,0,13,0,0,28,720,0,0,0,0,0,0,0,0,1,,,0.0194174757281553,0.0100720742501262,0.0180305131761442,0.00971255517470827,0.00554785020804438,0.00542169106691179,1,0,1,0,0.0180305131761442,0.00971255517470827,1,
New Jersey,2020-04-12,0,0,0,68,2,1,1,223,220,220,213,0,0,0,0,3,0,0,6,219,0,0,0,0,0,0,0,0,1,,,0.00909090909090909,0.0125417261715745,0.00454545454545455,0.00888865657959676,0.00454545454545455,0.00888865657959676,1,0,1,0,0.0136363636363636,0.0153251440031813,1,
New Jersey,2020-04-13,0,0,0,723,30,19,10,2144,2129,2129,2003,0,0,0,0,29,0,0,68,2126,0,0,0,0,0,0,0,0,1,,,0.0140911225927666,0.00500669857202385,0.00892437764208549,0.00399486977743059,0.00469704086425552,0.00290435752807293,1,0,1,0,0.013621418506341,0.00492371883781714,1,
New Jersey,2020-04-14,0,0,0,748,36,29,12,2260,2236,2236,2116,0,0,0,0,31,0,0,97,2233,0,0,0,0,0,0,0,0,1,,,0.0161001788908766,0.00521678553494477,0.0129695885509839,0.00468965136338649,0.00536672629695886,0.00302829658414926,1,0,1,0,0.0138640429338104,0.00484647008090847,1,
New Jersey,2020-04-15,0,0,0,442,21,16,9,1374,1357,1357,1286,0,0,0,0,20,0,0,130,1356,0,0,0,0,0,0,0,0,1,,,0.0154753131908622,0.00656736563295953,0.0117907148120855,0.00574318359485611,0.00663227708179808,0.00431861531298125,1,0,1,0,0.0147383935151069,0.00641149076411075,1,
New Jersey,2020-04-16,0,0,0,169,16,12,7,1400,1391,1391,1347,0,0,0,0,18,0,0,49,1391,0,0,0,0,0,0,0,0,1,,,0.0115025161754134,0.00560362077127419,0.00862688713156003,0.00485993154647888,0.00503235082674335,0.00371855715523875,1,0,1,0,0.01294033069734,0.00593921322422725,1,
New Jersey,2020-04-17,0,0,0,160,21,17,10,948,931,931,887,0,0,0,0,14,0,0,43,931,0,0,0,0,0,0,0,0,1,,,0.0225563909774436,0.00953792521900239,0.0182599355531686,0.00860044906417417,0.0107411385606874,0.00662145427966221,1,0,1,0,0.0150375939849624,0.00781757857792949,1,
New Jersey,2020-04-18,0,0,0,119,13,10,5,1050,1040,1040,989,0,0,0,0,11,0,0,37,1040,0,0,0,0,0,0,0,0,1,,,0.0125,0.00675235053930959,0.00961538461538462,0.00593084664334594,0.00480769230769231,0.00420390854158763,1,0,1,0,0.0105769230769231,0.00621730412844966,1,
New Jersey,2020-04-19,0,0,0,149,9,6,5,1193,1187,1187,1129,0,0,0,0,16,0,0,41,1186,0,0,0,0,0,0,0,0,1,,,0.0075821398483572,0.00493475859949769,0.0050547598989048,0.00403434083934222,0.004212299915754,0.00368439134157694,1,0,1,0,0.0134793597304128,0.00656009987590303,1,
New Jersey,2020-04-20,0,0,0,217,16,12,9,1109,1101,1101,1051,0,0,0,0,16,0,0,127,1101,0,0,0,0,0,0,0,0,1,,,0.0145322434150772,0.00706873943195752,0.0108991825613079,0.00613298179393246,0.00817438692098093,0.00531862886800782,1,0,1,0,0.0145322434150772,0.00706873943195752,1,
New Jersey,2020-04-21,0,0,0,137,13,13,3,1139,1129,1129,1093,0,0,0,0,8,0,0,43,1128,0,0,0,0,0,0,0,0,1,,,0.0115146147032772,0.00622315977888855,0.0115146147032772,0.00622315977888855,0.00265721877767936,0.00300287324688373,1,0,1,0,0.0070859167404783,0.00489277199476921,1,
New Jersey,2020-04-22,0,0,0,155,17,13,4,1237,1227,1227,1178,0,0,0,0,19,0,0,49,1226,0,0,0,0,0,0,0,0,1,,,0.0138549307253464,0.00654031089027261,0.0105949470252649,0.00572878160820178,0.0032599837000815,0.00318951369401484,1,0,1,0,0.0154849225753871,0.00690862332522278,1,
New Jersey,2020-04-23,0,0,0,138,15,15,8,1246,1232,1232,1181,0,0,0,0,18,0,0,38,1231,0,0,0,0,0,0,0,0,1,,,0.0121753246753247,0.00612382748892301,0.0121753246753247,0.00612382748892301,0.00649350649350649,0.00448505457177656,1,0,1,0,0.0146103896103896,0.00670004354372126,1,
New Jersey,2020-04-24,0,0,0,229,15,10,5,1578,1569,1569,1492,0,0,0,0,16,0,0,43,1569,0,0,0,0,0,0,0,0,1,,,0.00956022944550669,0.00481487273394362,0.00637348629700446,0.00393764657457356,0.00318674314850223,0.00278879796057244,1,0,1,0,0.0101975780752071,0.00497117892593035,1,
New Jersey,2020-04-25,0,0,0,244,17,12,4,1824,1816,1816,1741,0,0,0,0,22,0,0,46,1815,0,0,0,0,0,0,0,0,1,,,0.00936123348017621,0.00442908859037081,0.0066079295154185,0.00372634631465079,0.00220264317180617,0.00215617207484164,1,0,1,0,0.0121145374449339,0.00503149313541094,1,
New Jersey,2020-04-26,0,0,0,302,19,14,9,1917,1908,1908,1822,0,0,0,0,16,0,0,100,1907,0,0,0,0,0,0,0,0,1,,,0.009958071278826,0.00445526267997865,0.00733752620545073,0.00382943357453574,0.00471698113207547,0.00307442761627398,1,0,1,0,0.00838574423480084,0.00409167464428716,1,
New Jersey,2020-04-27,0,0,0,194,18,15,8,1738,1722,1722,1651,0,0,0,0,19,0,0,53,1722,0,0,0,0,0,0,0,0,1,,,0.0104529616724739,0.00480362855834134,0.00871080139372822,0.0043889512849238,0.00464576074332172,0.00321180206233946,1,0,1,0,0.0110336817653891,0.00493381083972519,1,
New Jersey,2020-04-28,0,0,0,255,24,20,10,2145,2131,2131,2057,0,0,0,0,21,0,0,82,2129,0,0,0,0,0,0,0,0,1,,,0.011262318160488,0.00448033827213433,0.00938526513374003,0.00409385098985336,0.00469263256687001,0.00290163813733144,1,0,1,0,0.00985452839042703,0.00419395524308785,1,
New Jersey,2020-04-29,0,0,0,200,17,13,7,1512,1500,1500,1447,0,0,0,0,19,0,0,66,1500,0,0,0,0,0,0,0,0,1,,,0.0113333333333333,0.00535680994978167,0.00866666666666667,0.00469070761345397,0.00466666666666667,0.00344897563472271,1,0,1,0,0.0126666666666667,0.00565933669076253,1,
New Jersey,2020-04-30,0,0,0,212,22,16,12,2235,2223,2223,2119,0,0,0,0,29,0,0,57,2223,0,0,0,0,0,0,0,0,1,,,0.00989653621232569,0.00411490922076049,0.00719748088169141,0.00351398622640546,0.00539811066126856,0.00304595786413435,1,0,1,0,0.0130454340980657,0.00471689498652001,1,
New Jersey,2020-05-01,0,0,0,177,19,11,2,1617,1609,1609,1544,0,0,0,0,12,0,0,36,1609,0,0,0,0,0,0,0,0,1,,,0.0118085767557489,0.00527824308621908,0.00683654443753884,0.00402623161711662,0.00124300807955252,0.00172161865965566,1,0,1,0,0.0074580484773151,0.00420394577849999,1,
New Jersey,2020-05-02,0,0,0,179,16,11,8,1702,1694,1694,1621,0,0,0,0,18,0,0,57,1694,0,0,0,0,0,0,0,0,1,,,0.00944510035419126,0.00460610624892386,0.00649350649350649,0.00382486739038707,0.00472255017709563,0.00326476375770347,1,0,1,0,0.0106257378984652,0.00488260106734822,1,
