state,date,A5_1,A5_2,A5_3,A2,pos_RF,pos_XGB,pos_glm,pos_svm,pos_nn,count,symptomatic,infected,not_infected,vaccinated,unvaccinated,cli,cli_vaccinated,cli_unvaccinated,cli_local,count_local,reach,test_recent,tested_vaccinated,tested_unvaccinated,positive_recent,positive_vaccinated,positive_unvaccinated,positive_symptomatic,days_aggregated,p_infected,p_infected_CI,p_rf,p_rf_CI,p_XGB,p_XGB_CI,p_glm,p_glm_CI,p_nn,p_nn_CI,p_svm,p_svm_CI,p_cli,p_cli_CI,p_cli_local,p_cli_local_CI
New Mexico,2020-04-06,0,0,0,393,13,13,14,907,853,853,820,0,0,0,0,10,0,0,19,853,0,0,0,0,0,0,0,0,1,,,0.0152403282532239,0.00822121230236319,0.0152403282532239,0.00822121230236319,0.0164126611957796,0.00852647538278476,1,0,1,0,0.0117233294255569,0.00722334455985643,1,
New Mexico,2020-04-07,0,0,0,843,20,29,18,2210,2079,2079,1999,0,0,0,0,23,0,0,57,2079,0,0,0,0,0,0,0,0,1,,,0.00962000962000962,0.00419574927463372,0.0139490139490139,0.00504129702947637,0.00865800865800866,0.00398236997997022,1,0,1,0,0.0110630110630111,0.00449616075148537,1,
New Mexico,2020-04-08,0,0,0,783,23,29,23,2170,2031,2031,1959,0,0,0,0,24,0,0,49,2030,0,0,0,0,0,0,0,0,1,,,0.0113244707040867,0.00460181312213232,0.0142786804529788,0.00515957870262098,0.0113244707040867,0.00460181312213232,1,0,1,0,0.0118168389955687,0.00469961750750585,1,
New Mexico,2020-04-09,0,0,0,596,23,23,15,1775,1673,1673,1610,0,0,0,0,19,0,0,51,1671,0,0,0,0,0,0,0,0,1,,,0.013747758517633,0.00557968998581824,0.013747758517633,0.00557968998581824,0.00896592946802152,0.00451691660370193,1,0,1,0,0.0113568439928273,0.00507748597720058,1,
New Mexico,2020-04-10,0,0,0,372.22,12,15,11,1013,946,946,904,0,0,0,0,8,0,0,11,946,0,0,0,0,0,0,0,0,1,,,0.0126849894291755,0.00713141068758115,0.0158562367864693,0.00796034437755901,0.0116279069767442,0.00683146007334918,1,0,1,0,0.00845665961945032,0.00583522758605492,1,
New Mexico,2020-04-11,0,0,0,101,7,8,5,261,238,238,229,0,0,0,0,2,0,0,9,238,0,0,0,0,0,0,0,0,1,,,0.0294117647058824,0.0214653347369617,0.0336134453781513,0.0228976844932364,0.0210084033613445,0.0182198844396875,1,0,1,0,0.00840336134453782,0.011597213562253,1,
New Mexico,2020-04-12,0,0,0,121,7,8,5,347,319,319,306,0,0,0,0,4,0,0,9,319,0,0,0,0,0,0,0,0,2,,,0.0219435736677116,0.0160763844539261,0.0250783699059561,0.0171588135216317,0.0156739811912226,0.0136305033121247,1,0,1,0,0.0125391849529781,0.0122108905626471,1,
New Mexico,2020-04-13,0,0,0,246,9,14,10,718,671,671,636,0,0,0,0,7,0,0,19,670,0,0,0,0,0,0,0,0,1,,,0.0134128166915052,0.00870391337723578,0.0208643815201192,0.0108146137600786,0.014903129657228,0.00916779810282214,1,0,1,0,0.0104321907600596,0.00768771669443555,1,
New Mexico,2020-04-14,0,0,0,140,2,3,6,500,477,477,464,0,0,0,0,5,0,0,12,477,0,0,0,0,0,0,0,0,1,,,0.00419287211740042,0.00579872248906744,0.00628930817610063,0.00709447594759233,0.0125786163522013,0.0100013033760996,1,0,1,0,0.010482180293501,0.00913958600423171,1,
New Mexico,2020-04-15,0,0,0,45,0,0,0,354,336,336,325,0,0,0,0,1,0,0,2,336,0,0,0,0,0,0,0,0,1,,,0,0,0,0,0,0,1,0,1,0,0.00297619047619048,0.00582453928015915,1,
