state,date,A5_1,A5_2,A5_3,A2,pos_RF,pos_XGB,pos_glm,pos_svm,pos_nn,count,symptomatic,infected,not_infected,vaccinated,unvaccinated,cli,cli_vaccinated,cli_unvaccinated,cli_local,count_local,reach,test_recent,tested_vaccinated,tested_unvaccinated,positive_recent,positive_vaccinated,positive_unvaccinated,positive_symptomatic,days_aggregated,p_infected,p_infected_CI,p_rf,p_rf_CI,p_XGB,p_XGB_CI,p_glm,p_glm_CI,p_nn,p_nn_CI,p_svm,p_svm_CI,p_cli,p_cli_CI,p_cli_local,p_cli_local_CI
New York,2020-04-06,0,0,0,1107,77,70,24,2395,2348,2348,2199,0,0,0,0,51,0,0,222,2344,0,0,0,0,0,0,0,0,1,,,0.032793867120954,0.00720368778587398,0.0298126064735945,0.00687902411701457,0.010221465076661,0.00406840926697,1,0,1,0,0.0217206132879046,0.00589612304030165,1,
New York,2020-04-07,0,0,0,2582,173,154,58,6261,6137,6137,5774,0,0,0,0,135,0,0,428,6134,0,0,0,0,0,0,0,0,1,,,0.0281896692194883,0.00414100519225904,0.0250936939872902,0.00391321552580096,0.00945087176144696,0.00242071674608425,1,0,1,0,0.0219977187550921,0.00366968499316221,1,
New York,2020-04-08,0,0,0,2468,183,170,57,6148,6019,6019,5733,0,0,0,0,127,0,0,462,6013,0,0,0,0,0,0,0,0,1,,,0.03040372154843,0.00433755268128947,0.0282438943346071,0.00418530244750566,0.00947001162983884,0.00244678038200186,1,0,1,0,0.0210998504735006,0.00363073712180412,1,
New York,2020-04-09,0,0,0,2038,134,109,39,5009,4917,4917,4689,0,0,0,0,102,0,0,315,4914,0,0,0,0,0,0,0,0,1,,,0.0272523896684971,0.00455093222921647,0.0221679886109416,0.00411522189005864,0.00793166564978646,0.00247942502405098,1,0,1,0,0.0207443563148261,0.0039837860838236,1,
New York,2020-04-10,0,0,0,993,63,57,17,2593,2547,2547,2432,0,0,0,0,51,0,0,153,2542,0,0,0,0,0,0,0,0,1,,,0.0247349823321555,0.00603185293179277,0.0223792697290931,0.0057443616608202,0.00667451904201021,0.00316220044064269,1,0,1,0,0.0200235571260306,0.00544016475066894,1,
New York,2020-04-11,0,0,0,254,14,11,3,634,624,624,590,0,0,0,0,12,0,0,48,621,0,0,0,0,0,0,0,0,1,,,0.0224358974358974,0.0116198398337484,0.0176282051282051,0.0103251836811859,0.00480769230769231,0.00542722259018267,1,0,1,0,0.0192307692307692,0.0107755027131807,1,
New York,2020-04-12,0,0,0,67,4,3,0,193,191,191,178,0,0,0,0,3,0,0,9,191,0,0,0,0,0,0,0,0,1,,,0.0209424083769634,0.0203071435617331,0.0157068062827225,0.0176334622388319,0,0,1,0,1,0,0.0157068062827225,0.0176334622388319,1,
New York,2020-04-13,0,0,0,874,44,33,6,2730,2686,2686,2514,0,0,0,0,33,0,0,132,2684,0,0,0,0,0,0,0,0,1,,,0.0163812360387193,0.0048004485943179,0.0122859270290395,0.00416595594961389,0.00223380491437081,0.00178538590039417,1,0,1,0,0.0122859270290395,0.00416595594961389,1,
New York,2020-04-14,0,0,0,1770,100,88,24,5202,5123,5123,4869,0,0,0,0,68,0,0,252,5121,0,0,0,0,0,0,0,0,1,,,0.0195198126097989,0.00378828937810574,0.0171774350966231,0.0035579728578438,0.00468475502635175,0.00186986255209906,1,0,1,0,0.0132734725746633,0.00313383836903877,1,
New York,2020-04-15,0,0,0,922,61,53,26,3434,3388,3388,3230,0,0,0,0,56,0,0,195,3384,0,0,0,0,0,0,0,0,1,,,0.0180047225501771,0.00447738362370395,0.0156434474616293,0.00417848495180585,0.0076741440377804,0.00293845143313078,1,0,1,0,0.0165289256198347,0.00429318396299112,1,
New York,2020-04-16,0,0,0,433,49,48,19,3674,3626,3626,3488,0,0,0,0,45,0,0,125,3623,0,0,0,0,0,0,0,0,1,,,0.0135135135135135,0.00375806166005027,0.0132377275234418,0.00372003630385095,0.00523993381136238,0.00234993723639848,1,0,1,0,0.0124103695532267,0.00360341937025052,1,
