state,date,A5_1,A5_2,A5_3,A2,pos_RF,pos_XGB,pos_glm,pos_svm,pos_nn,count,symptomatic,infected,not_infected,vaccinated,unvaccinated,cli,cli_vaccinated,cli_unvaccinated,cli_local,count_local,reach,test_recent,tested_vaccinated,tested_unvaccinated,positive_recent,positive_vaccinated,positive_unvaccinated,positive_symptomatic,days_aggregated,p_infected,p_infected_CI,p_rf,p_rf_CI,p_XGB,p_XGB_CI,p_glm,p_glm_CI,p_nn,p_nn_CI,p_svm,p_svm_CI,p_cli,p_cli_CI,p_cli_local,p_cli_local_CI
North Carolina,2020-04-06,0,0,0,977,24,27,10,2618,2475,2475,2358,0,0,0,0,32,0,0,73,2474,0,0,0,0,0,0,0,0,1,,,0.0096969696969697,0.0038606689487824,0.0109090909090909,0.0040923509901715,0.00404040404040404,0.00249915819720358,1,0,1,0,0.0129292929292929,0.00445063530584075,1,
North Carolina,2020-04-07,0,0,0,2621,79,77,28,7466,7032,7032,6705,0,0,0,0,82,0,0,175,7027,0,0,0,0,0,0,0,0,1,,,0.0112343572241183,0.00246336892325049,0.0109499431171786,0.00243233689612974,0.00398179749715586,0.00147191212312999,1,0,1,0,0.0116609783845279,0.00250916445353109,1,
North Carolina,2020-04-08,0,0,0,2366,46,49,17,7014,6564,6564,6274,0,0,0,0,75,0,0,198,6558,0,0,0,0,0,0,0,0,1,,,0.00700792199878123,0.00201804723086999,0.00746496039000609,0.00208233444217105,0.00258988421694089,0.00122953490855871,1,0,1,0,0.0114259597806216,0.00257107503393299,1,
North Carolina,2020-04-09,0,0,0,1753,70,66,18,5814,5456,5456,5227,0,0,0,0,57,0,0,152,5450,0,0,0,0,0,0,0,0,1,,,0.0128299120234604,0.00298619898211254,0.0120967741935484,0.00290070056077899,0.00329912023460411,0.00152157163196704,1,0,1,0,0.0104472140762463,0.00269792976867439,1,
North Carolina,2020-04-10,0,0,0,970,17,19,8,2885,2699,2699,2602,0,0,0,0,29,0,0,60,2697,0,0,0,0,0,0,0,0,1,,,0.006298629121897,0.00298467887425384,0.00703964431270841,0.00315419080728175,0.00296406076324565,0.00205090529604567,1,0,1,0,0.0107447202667655,0.00388954135851708,1,
North Carolina,2020-04-11,0,0,0,250,5,4,1,705,661,661,636,0,0,0,0,8,0,0,20,660,0,0,0,0,0,0,0,0,1,,,0.0075642965204236,0.00660515211330544,0.00605143721633888,0.00591232885350361,0.00151285930408472,0.00296290597353836,1,0,1,0,0.0121028744326778,0.00833580383547701,1,
North Carolina,2020-04-12,0,0,0,69,1,2,0,224,207,207,196,0,0,0,0,1,0,0,4,207,0,0,0,0,0,0,0,0,1,,,0.00483091787439614,0.00944552676577995,0.00966183574879227,0.0133255303018499,0,0,1,0,1,0,0.00483091787439614,0.00944552676577995,1,
North Carolina,2020-04-13,0,0,0,800,23,19,10,2340,2192,2192,2077,0,0,0,0,23,0,0,130,2189,0,0,0,0,0,0,0,0,1,,,0.010492700729927,0.00426560817756814,0.00866788321167883,0.00388055577528752,0.00456204379562044,0.00282107504634852,1,0,1,0,0.010492700729927,0.00426560817756814,1,
North Carolina,2020-04-14,0,0,0,1052,26,23,8,3453,3244,3244,3070,0,0,0,0,28,0,0,58,3242,0,0,0,0,0,0,0,0,1,,,0.00801479654747226,0.00306836144166011,0.00709001233045623,0.00288726138902616,0.00246609124537608,0.00170677421311882,1,0,1,0,0.00863131935881628,0.00318319950365819,1,
North Carolina,2020-04-15,0,0,0,476,22,21,6,2324,2184,2184,2096,0,0,0,0,16,0,0,58,2184,0,0,0,0,0,0,0,0,1,,,0.0100732600732601,0.00418801593241492,0.00961538461538462,0.00409267300631424,0.00274725274725275,0.00219519802286092,1,0,1,0,0.00732600732600733,0.00357650445402292,1,
