state,date,A5_1,A5_2,A5_3,A2,pos_RF,pos_XGB,pos_glm,pos_svm,pos_nn,count,symptomatic,infected,not_infected,vaccinated,unvaccinated,cli,cli_vaccinated,cli_unvaccinated,cli_local,count_local,reach,test_recent,tested_vaccinated,tested_unvaccinated,positive_recent,positive_vaccinated,positive_unvaccinated,positive_symptomatic,days_aggregated,p_infected,p_infected_CI,p_rf,p_rf_CI,p_XGB,p_XGB_CI,p_glm,p_glm_CI,p_nn,p_nn_CI,p_svm,p_svm_CI,p_cli,p_cli_CI,p_cli_local,p_cli_local_CI
Ohio,2020-04-06,0,0,0,1305,54,54,27,3115,3071,3071,2935,0,0,0,0,45,0,0,77,3064,0,0,0,0,0,0,0,0,1,,,0.0175838489091501,0.00464850070707283,0.0175838489091501,0.00464850070707283,0.00879192445457506,0.00330166170482795,1,0,1,0,0.0146532074242918,0.00424980580188894,1,
Ohio,2020-04-07,0,0,0,3618,130,130,62,8597,8492,8493,8122,0,0,0,0,115,0,0,336,8489,0,0,0,0,0,0,0,0,1,,,0.0153067231837984,0.00261101357293396,0.0153067231837984,0.00261101357293396,0.00730012951842694,0.0018104719237285,0.999882255975509,0.000230760460864158,1,0,0.0135405628164371,0.00245796391668309,1,
Ohio,2020-04-08,0,0,0,3062,110,102,48,7779,7695,7695,7378,0,0,0,0,84,0,0,233,7692,0,0,0,0,0,0,0,0,1,,,0.0142949967511371,0.00265221843799343,0.0132553606237817,0.00255530026847965,0.00623781676413255,0.00175914370496892,1,0,1,0,0.010916179337232,0.00232164417540526,1,
Ohio,2020-04-09,0,0,0,2642,105,92,46,6354,6286,6286,6033,0,0,0,0,87,0,0,189,6280,0,0,0,0,0,0,0,0,1,,,0.0167037861915368,0.00316818510132293,0.0146356983773465,0.00296869813869151,0.00731784918867324,0.00210696701493938,1,0,1,0,0.0138402799872733,0.0028880650469615,1,
Ohio,2020-04-10,0,0,0,1241,53,47,22,3111,3083,3083,2960,0,0,0,0,30,0,0,83,3079,0,0,0,0,0,0,0,0,1,,,0.0171910476808304,0.00458824978555974,0.0152448913396043,0.00432501498494338,0.00713590658449562,0.00297119263002896,1,0,1,0,0.00973078170613039,0.00346506857146403,1,
Ohio,2020-04-11,0,0,0,286,12,9,9,663,656,656,640,0,0,0,0,10,0,0,22,654,0,0,0,0,0,0,0,0,1,,,0.0182926829268293,0.0102547691607716,0.013719512195122,0.00890155187329271,0.013719512195122,0.00890155187329271,1,0,1,0,0.0152439024390244,0.00937580553401258,1,
Ohio,2020-04-12,0,0,0,79,4,3,2,188,187,187,181,0,0,0,0,2,0,0,12,187,0,0,0,0,0,0,0,0,1,,,0.0213903743315508,0.0207367752993187,0.0160427807486631,0.0180075744953152,0.0106951871657754,0.0147430230063315,1,0,1,0,0.0106951871657754,0.0147430230063315,1,
Ohio,2020-04-13,0,0,0,1009,38,39,22,2819,2790,2790,2667,0,0,0,0,31,0,0,91,2787,0,0,0,0,0,0,0,0,1,,,0.0136200716845878,0.00430088469253638,0.0139784946236559,0.00435631609613306,0.00788530465949821,0.00328198180785219,1,0,1,0,0.0111111111111111,0.00388954215962546,1,
Ohio,2020-04-14,0,0,0,1471,64,67,40,4116,4070,4070,3893,0,0,0,0,44,0,0,142,4067,0,0,0,0,0,0,0,0,1,,,0.0157248157248157,0.00382209904130716,0.0164619164619165,0.0039091890498588,0.00982800982800983,0.00303067241394126,1,0,1,0,0.0108108108108108,0.00317701818500221,1,
Ohio,2020-04-15,0,0,0,637,40,37,14,2613,2591,2591,2504,0,0,0,0,37,0,0,110,2589,0,0,0,0,0,0,0,0,1,,,0.0154380548050946,0.00474714171210645,0.0142802006947125,0.00456833853899608,0.0054033191817831,0.00282272258850162,1,0,1,0,0.0142802006947125,0.00456833853899608,1,
