state,date,A5_1,A5_2,A5_3,A2,pos_RF,pos_XGB,pos_glm,pos_svm,pos_nn,count,symptomatic,infected,not_infected,vaccinated,unvaccinated,cli,cli_vaccinated,cli_unvaccinated,cli_local,count_local,reach,test_recent,tested_vaccinated,tested_unvaccinated,positive_recent,positive_vaccinated,positive_unvaccinated,positive_symptomatic,days_aggregated,p_infected,p_infected_CI,p_rf,p_rf_CI,p_XGB,p_XGB_CI,p_glm,p_glm_CI,p_nn,p_nn_CI,p_svm,p_svm_CI,p_cli,p_cli_CI,p_cli_local,p_cli_local_CI
Oregon,2020-04-06,0,0,0,915,26,29,24,2221,2138,2138,2054,0,0,0,0,36,0,0,98,2138,0,0,0,0,0,0,0,0,1,,,0.0121608980355472,0.00464590334803348,0.0135640785781104,0.00490313474613241,0.0112254443405051,0.00446575252085313,1,0,1,0,0.0168381665107577,0.00545386201536385,1,
Oregon,2020-04-07,0,0,0,2012,81,78,62,4954,4767,4767,4557,0,0,0,0,83,0,0,188,4766,0,0,0,0,0,0,0,0,1,,,0.0169918187539333,0.00366879980835077,0.0163624921334172,0.00360137031792428,0.013006083490665,0.00321629608254239,1,0,1,0,0.0174113698342773,0.00371302482177012,1,
Oregon,2020-04-08,0,0,0,1857,73,70,59,4732,4571,4571,4411,0,0,0,0,72,0,0,200,4569,0,0,0,0,0,0,0,0,1,,,0.015970247210676,0.00363414636659764,0.0153139356814701,0.0035598753029691,0.012907460074382,0.00327221484370936,1,0,1,0,0.0157514767009407,0.00360957029445166,1,
Oregon,2020-04-09,0,0,0,1438,48,50,40,3794,3680,3680,3546,0,0,0,0,61,0,0,140,3676,0,0,0,0,0,0,0,0,1,,,0.0130434782608696,0.00366580957814501,0.0135869565217391,0.00374037097027342,0.0108695652173913,0.00335009444323142,1,0,1,0,0.0165760869565217,0.00412511036238008,1,
Oregon,2020-04-10,0,0,0,788,27,28,22,1955,1895,1895,1834,0,0,0,0,27,0,0,59,1895,0,0,0,0,0,0,0,0,1,,,0.0142480211081794,0.00533586198256726,0.0147757255936675,0.00543232124248841,0.0116094986807388,0.00482296931308803,1,0,1,0,0.0142480211081794,0.00533586198256726,1,
Oregon,2020-04-11,0,0,0,196,6,6,6,501,485,485,468,0,0,0,0,6,0,0,12,485,0,0,0,0,0,0,0,0,1,,,0.0123711340206186,0.00983736680106134,0.0123711340206186,0.00983736680106134,0.0123711340206186,0.00983736680106134,1,0,1,0,0.0123711340206186,0.00983736680106134,1,
Oregon,2020-04-12,0,0,0,82,4,5,4,133,129,129,123,0,0,0,0,2,0,0,11,129,0,0,0,0,0,0,0,0,1,,,0.0310077519379845,0.0299122118319957,0.0387596899224806,0.0333088294103217,0.0310077519379845,0.0299122118319957,1,0,1,0,0.0155038759689922,0.0213196653743568,1,
Oregon,2020-04-13,0,0,0,464,20,20,16,1407,1369,1369,1315,0,0,0,0,20,0,0,50,1368,0,0,0,0,0,0,0,0,1,,,0.014609203798393,0.00635570734532023,0.014609203798393,0.00635570734532023,0.0116873630387144,0.00569313927596575,1,0,1,0,0.014609203798393,0.00635570734532023,1,
Oregon,2020-04-14,0,0,0,447,16,15,11,1321,1281,1281,1239,0,0,0,0,18,0,0,52,1279,0,0,0,0,0,0,0,0,1,,,0.0124902419984387,0.00608176521756729,0.0117096018735363,0.00589097091820527,0.00858704137392662,0.00505268937026773,1,0,1,0,0.0140515222482436,0.00644558476660586,1,
Oregon,2020-04-15,0,0,0,206,15,15,14,816,792,792,766,0,0,0,0,13,0,0,30,792,0,0,0,0,0,0,0,0,1,,,0.0189393939393939,0.00949328365445786,0.0189393939393939,0.00949328365445786,0.0176767676767677,0.0091772832264071,1,0,1,0,0.0164141414141414,0.00884913302341854,1,
