state,date,A5_1,A5_2,A5_3,A2,pos_RF,pos_XGB,pos_glm,pos_svm,pos_nn,count,symptomatic,infected,not_infected,vaccinated,unvaccinated,cli,cli_vaccinated,cli_unvaccinated,cli_local,count_local,reach,test_recent,tested_vaccinated,tested_unvaccinated,positive_recent,positive_vaccinated,positive_unvaccinated,positive_symptomatic,days_aggregated,p_infected,p_infected_CI,p_rf,p_rf_CI,p_XGB,p_XGB_CI,p_glm,p_glm_CI,p_nn,p_nn_CI,p_svm,p_svm_CI,p_cli,p_cli_CI,p_cli_local,p_cli_local_CI
Pennsylvania,2020-04-06,0,0,0,1187,39,41,30,3298,3196,3196,3048,0,0,0,0,47,0,0,167,3196,0,0,0,0,0,0,0,0,1,,,0.0122027534418023,0.00380633956729118,0.012828535669587,0.0039014814396604,0.00938673341677096,0.00334313579577041,1,0,1,0,0.0147058823529412,0.00417323839480885,1,
Pennsylvania,2020-04-07,0,0,0,3427,87,87,49,9466,9161,9161,8759,0,0,0,0,91,0,0,343,9156,0,0,0,0,0,0,0,0,1,,,0.00949677982752975,0.00198606189984707,0.00949677982752975,0.00198606189984707,0.00534876105228687,0.00149361498412682,1,0,1,0,0.00993341338281847,0.00203075768774836,1,
Pennsylvania,2020-04-08,0,0,0,3069,113,106,72,8778,8475,8475,8111,0,0,0,0,95,0,0,333,8469,0,0,0,0,0,0,0,0,1,,,0.0133333333333333,0.00244192788410159,0.0125073746312684,0.00236607358602599,0.00849557522123894,0.00195398830788448,1,0,1,0,0.0112094395280236,0.00224141535442851,1,
Pennsylvania,2020-04-09,0,0,0,2667,76,73,53,7419,7176,7176,6894,0,0,0,0,76,0,0,280,7173,0,0,0,0,0,0,0,0,1,,,0.0105908584169454,0.00236842925275209,0.0101727982162765,0.00232170364582371,0.00738573021181717,0.00198104277473271,1,0,1,0,0.0105908584169454,0.00236842925275209,1,
Pennsylvania,2020-04-10,0,0,0,1335,48,46,25,3792,3683,3683,3540,0,0,0,0,41,0,0,100,3682,0,0,0,0,0,0,0,0,1,,,0.0130328536519142,0.00366284329579646,0.0124898180830844,0.00358670847605955,0.00678794461037198,0.00265177924806097,1,0,1,0,0.01113222916101,0.00338849939025768,1,
Pennsylvania,2020-04-11,0,0,0,258,14,13,9,827,803,803,778,0,0,0,0,9,0,0,11,803,0,0,0,0,0,0,0,0,1,,,0.0174346201743462,0.00905268257695053,0.0161892901618929,0.0087289095820734,0.0112079701120797,0.00728125563879609,1,0,1,0,0.0112079701120797,0.00728125563879609,1,
Pennsylvania,2020-04-12,0,0,0,77,7,7,4,259,252,252,241,0,0,0,0,4,0,0,6,250,0,0,0,0,0,0,0,0,1,,,0.0277777777777778,0.0202898736244579,0.0277777777777778,0.0202898736244579,0.0158730158730159,0.0154313213710082,1,0,1,0,0.0158730158730159,0.0154313213710082,1,
Pennsylvania,2020-04-13,0,0,0,1219,42,43,27,3804,3689,3689,3495,0,0,0,0,49,0,0,129,3687,0,0,0,0,0,0,0,0,1,,,0.0113851992409867,0.00342355756798229,0.0116562754133912,0.00346359949881931,0.00731905665492003,0.00275059190319992,1,0,1,0,0.0132827324478178,0.00369431429157429,1,
Pennsylvania,2020-04-14,0,0,0,1714,76,77,48,5672,5478,5478,5242,0,0,0,0,56,0,0,186,5475,0,0,0,0,0,0,0,0,1,,,0.0138736765242789,0.00309741313147385,0.0140562248995984,0.00311743567023372,0.00876232201533406,0.0024679456008481,1,0,1,0,0.0102227090178897,0.0026637215194777,1,
Pennsylvania,2020-04-15,0,0,0,936,36,38,25,3668,3554,3554,3419,0,0,0,0,39,0,0,172,3549,0,0,0,0,0,0,0,0,1,,,0.0101294316263365,0.00329208563528814,0.0106921778277997,0.00338133490223227,0.00703432751828925,0.00274769035538659,1,0,1,0,0.0109735509285312,0.00342505006435191,1,
