state,date,A5_1,A5_2,A5_3,A2,pos_RF,pos_XGB,pos_glm,pos_svm,pos_nn,count,symptomatic,infected,not_infected,vaccinated,unvaccinated,cli,cli_vaccinated,cli_unvaccinated,cli_local,count_local,reach,test_recent,tested_vaccinated,tested_unvaccinated,positive_recent,positive_vaccinated,positive_unvaccinated,positive_symptomatic,days_aggregated,p_infected,p_infected_CI,p_rf,p_rf_CI,p_XGB,p_XGB_CI,p_glm,p_glm_CI,p_nn,p_nn_CI,p_svm,p_svm_CI,p_cli,p_cli_CI,p_cli_local,p_cli_local_CI
Rhode Island,2020-04-06,0,0,0,143,1,2,2,417,403,403,376,0,0,0,0,9,0,0,16,403,0,0,0,0,0,0,0,0,1,,,0.00248138957816377,0.00485739641948826,0.00496277915632754,0.00686084654945142,0.00496277915632754,0.00686084654945142,1,0,1,0,0.0223325062034739,0.0144264637043416,1,
Rhode Island,2020-04-07,0,0,0,441,8,9,4,1241,1203,1203,1143,0,0,0,0,10,0,0,23,1202,0,0,0,0,0,0,0,0,1,,,0.00665004156275977,0.0045928112340507,0.00748129675810474,0.00486937327819149,0.00332502078137988,0.00325303875465618,1,0,1,0,0.00831255195344971,0.00513062026076506,1,
Rhode Island,2020-04-08,0,0,0,412,6,6,7,1177,1124,1124,1066,0,0,0,0,13,0,0,43,1122,0,0,0,0,0,0,0,0,1,,,0.00533807829181495,0.0042598582820869,0.00533807829181495,0.0042598582820869,0.00622775800711744,0.00459911459307838,1,0,1,0,0.0115658362989324,0.0062506809179823,1,
Rhode Island,2020-04-09,0,0,0,385,11,5,6,983,947,947,905,0,0,0,0,10,0,0,69,947,0,0,0,0,0,0,0,0,1,,,0.0116156282998944,0.00682428867147713,0.00527983104540655,0.00461565751169808,0.00633579725448786,0.00505351500343973,1,0,1,0,0.0105596620908131,0.00651017882198545,1,
Rhode Island,2020-04-10,0,0,0,139,0,1,0,476,469,469,454,0,0,0,0,3,0,0,10,468,0,0,0,0,0,0,0,0,1,,,0,0,0.00213219616204691,0.00417457005478655,0,0,1,0,1,0,0.00639658848614073,0.00721510096252964,1,
Rhode Island,2020-04-11,0,0,0,69,3,0,2,116,111,111,106,0,0,0,0,2,0,0,24,111,0,0,0,0,0,0,0,0,1,,,0.027027027027027,0.0301672781726452,0,0,0.018018018018018,0.0247452513571082,1,0,1,0,0.018018018018018,0.0247452513571082,1,
Rhode Island,2020-04-12,0,0,0,78,3,0,2,146,141,141,132,0,0,0,0,3,0,0,28,141,0,0,0,0,0,0,0,0,2,,,0.0212765957446809,0.0238187843592015,0,0,0.0141843971631206,0.0195182924087626,1,0,1,0,0.0212765957446809,0.0238187843592015,1,
Rhode Island,2020-04-13,0,0,0,105,1,2,2,395,382,382,359,0,0,0,0,2,0,0,9,382,0,0,0,0,0,0,0,0,1,,,0.00261780104712042,0.00512407566892163,0.00523560209424084,0.00723702116584896,0.00523560209424084,0.00723702116584896,1,0,1,0,0.00523560209424084,0.00723702116584896,1,
Rhode Island,2020-04-14,0,0,0,124,8,1,3,384,363,363,347,0,0,0,0,5,0,0,11,363,0,0,0,0,0,0,0,0,1,,,0.0220385674931129,0.0151024471106945,0.00275482093663912,0.00539190756965446,0.00826446280991736,0.00931322362591377,1,0,1,0,0.0137741046831956,0.0119898753742109,1,
Rhode Island,2020-04-15,0,0,0,36,1,0,0,262,252,252,244,0,0,0,0,0,0,0,0,252,0,0,0,0,0,0,0,0,1,,,0.00396825396825397,0.00776218770429724,0,0,0,0,1,0,1,0,0,0,,
