state,date,A5_1,A5_2,A5_3,A2,pos_RF,pos_XGB,pos_glm,pos_svm,pos_nn,count,symptomatic,infected,not_infected,vaccinated,unvaccinated,cli,cli_vaccinated,cli_unvaccinated,cli_local,count_local,reach,test_recent,tested_vaccinated,tested_unvaccinated,positive_recent,positive_vaccinated,positive_unvaccinated,positive_symptomatic,days_aggregated,p_infected,p_infected_CI,p_rf,p_rf_CI,p_XGB,p_XGB_CI,p_glm,p_glm_CI,p_nn,p_nn_CI,p_svm,p_svm_CI,p_cli,p_cli_CI,p_cli_local,p_cli_local_CI
South Carolina,2020-04-06,0,0,0,796,25,27,11,1995,1949,1949,1845,0,0,0,0,28,0,0,59,1948,0,0,0,0,0,0,0,0,1,,,0.012827090815803,0.00499577500192986,0.0138532580810672,0.00518906255346801,0.00564391995895331,0.0033258569166072,1,0,1,0,0.0143663417136993,0.00528290779052726,1,
South Carolina,2020-04-07,0,0,0,2557,75,69,32,5993,5854,5854,5563,0,0,0,0,71,0,0,199,5851,0,0,0,0,0,0,0,0,1,,,0.0128117526477622,0.00288088546745319,0.0117868124359412,0.00276468235591739,0.00546634779637854,0.00188877446870917,1,0,1,0,0.0121284591732149,0.00280397917861288,1,
South Carolina,2020-04-08,0,0,0,2182,84,80,41,5539,5404,5404,5161,0,0,0,0,68,0,0,229,5398,0,0,0,0,0,0,0,0,1,,,0.0155440414507772,0.00329815103422395,0.0148038490007402,0.0032198756322816,0.00758697261287935,0.00231350747650292,1,0,1,0,0.0125832716506292,0.00297192227647347,1,
South Carolina,2020-04-09,0,0,0,1633,53,53,23,4572,4482,4482,4287,0,0,0,0,50,0,0,112,4476,0,0,0,0,0,0,0,0,1,,,0.0118250780901383,0.00316468936549824,0.0118250780901383,0.00316468936549824,0.00513163766175814,0.00209181352608282,1,0,1,0,0.0111557340473003,0.00307485889440553,1,
South Carolina,2020-04-10,0,0,0,947,36,36,21,2322,2270,2270,2179,0,0,0,0,26,0,0,88,2269,0,0,0,0,0,0,0,0,1,,,0.0158590308370044,0.00513927834677754,0.0158590308370044,0.00513927834677754,0.0092511013215859,0.00393834429758394,1,0,1,0,0.0114537444933921,0.00437731101979651,1,
South Carolina,2020-04-11,0,0,0,229,11,13,5,536,525,525,505,0,0,0,0,12,0,0,23,525,0,0,0,0,0,0,0,0,1,,,0.020952380952381,0.012251437193904,0.0247619047619048,0.0132927792489525,0.00952380952380953,0.00830798703059533,1,0,1,0,0.0228571428571429,0.0127837550786644,1,
South Carolina,2020-04-12,0,0,0,101,1,1,1,173,168,168,161,0,0,0,0,1,0,0,1,166,0,0,0,0,0,0,0,0,1,,,0.00595238095238095,0.0116316788813602,0.00595238095238095,0.0116316788813602,0.00595238095238095,0.0116316788813602,1,0,1,0,0.00595238095238095,0.0116316788813602,1,
South Carolina,2020-04-13,0,0,0,438,15,13,8,1328,1291,1291,1231,0,0,0,0,16,0,0,49,1291,0,0,0,0,0,0,0,0,1,,,0.0116189000774593,0.00584560807605101,0.0100697134004648,0.00544622815132869,0.00619674670797831,0.00428072224290178,1,0,1,0,0.0123934934159566,0.00603495187660558,1,
South Carolina,2020-04-14,0,0,0,643,13,20,6,1922,1871,1871,1798,0,0,0,0,22,0,0,52,1869,0,0,0,0,0,0,0,0,1,,,0.00694815606627472,0.00376384682376604,0.0106894708711919,0.00465967489402742,0.00320684126135756,0.00256184265854707,1,0,1,0,0.0117584179583111,0.0048844672918944,1,
South Carolina,2020-04-15,0,0,0,339,9,10,8,1229,1206,1206,1163,0,0,0,0,14,0,0,33,1206,0,0,0,0,0,0,0,0,1,,,0.00746268656716418,0.00485730594708159,0.00829187396351576,0.00511791088055617,0.0066334991708126,0.00458142447754939,1,0,1,0,0.0116086235489221,0.00604545892627792,1,
South Carolina,2020-04-16,0,0,0,101,9,11,6,1186,1177,1177,1127,0,0,0,0,16,0,0,21,1177,0,0,0,0,0,0,0,0,1,,,0.00764655904842821,0.00497652365629123,0.00934579439252336,0.00549704148550177,0.00509770603228547,0.00406852950156927,1,0,1,0,0.0135938827527613,0.00661545162366604,1,
South Carolina,2020-04-17,0,0,0,99,3,2,2,682,673,673,654,0,0,0,0,3,0,0,10,673,0,0,0,0,0,0,0,0,1,,,0.00445765230312036,0.0050329605167043,0.00297176820208024,0.00411246062311741,0.00297176820208024,0.00411246062311741,1,0,1,0,0.00445765230312036,0.0050329605167043,1,
South Carolina,2020-04-18,0,0,0,117,7,6,3,907,899,899,866,0,0,0,0,10,0,0,25,898,0,0,0,0,0,0,0,0,1,,,0.00778642936596218,0.00574566102687906,0.00667408231368187,0.00532242938356324,0.00333704115684093,0.00376984232106918,1,0,1,0,0.0111234705228031,0.00685582043049421,1,
South Carolina,2020-04-19,0,0,0,121,16,14,9,1040,1025,1025,980,0,0,0,0,13,0,0,27,1025,0,0,0,0,0,0,0,0,1,,,0.015609756097561,0.00758870843878009,0.0136585365853659,0.00710561853302397,0.00878048780487805,0.00571123988141182,1,0,1,0,0.0126829268292683,0.00685053083283921,1,
South Carolina,2020-04-20,0,0,0,106,15,21,7,1008,993,993,942,0,0,0,0,9,0,0,22,993,0,0,0,0,0,0,0,0,1,,,0.0151057401812689,0.00758646179705148,0.0211480362537764,0.0089488452520488,0.00704934541792548,0.00520369334736958,1,0,1,0,0.00906344410876133,0.00589444639093046,1,
South Carolina,2020-04-21,0,0,0,172,18,16,11,1031,1017,1017,976,0,0,0,0,14,0,0,45,1017,0,0,0,0,0,0,0,0,1,,,0.0176991150442478,0.00810374297821324,0.015732546705998,0.0076479262566312,0.0108161258603736,0.00635714320271954,1,0,1,0,0.0137659783677483,0.00716112320973155,1,
South Carolina,2020-04-22,0,0,0,128,9,8,7,1084,1073,1073,1040,0,0,0,0,13,0,0,36,1073,0,0,0,0,0,0,0,0,1,,,0.00838769804287046,0.00545683191765624,0.00745573159366263,0.00514716754846851,0.0065237651444548,0.00481699427797335,1,0,1,0,0.0121155638397018,0.0065459565286811,1,
South Carolina,2020-04-23,0,0,0,132,5,9,3,1098,1079,1079,1042,0,0,0,0,14,0,0,27,1078,0,0,0,0,0,0,0,0,1,,,0.0046339202965709,0.00405231378403207,0.00834105653382762,0.00542661570737838,0.00278035217794254,0.00314183003432231,1,0,1,0,0.0129749768303985,0.00675234689641928,1,
South Carolina,2020-04-24,0,0,0,128,6,5,6,1325,1313,1313,1258,0,0,0,0,8,0,0,21,1313,0,0,0,0,0,0,0,0,1,,,0.00456968773800457,0.00364808056544085,0.00380807311500381,0.00333150044832679,0.00456968773800457,0.00364808056544085,1,0,1,0,0.00609291698400609,0.00420921637466451,1,
South Carolina,2020-04-25,0,0,0,139,19,20,11,1565,1544,1544,1491,0,0,0,0,19,0,0,35,1542,0,0,0,0,0,0,0,0,1,,,0.0123056994818653,0.00549906520490164,0.0129533678756477,0.00564007174314181,0.00712435233160622,0.00419512172749339,1,0,1,0,0.0123056994818653,0.00549906520490164,1,
South Carolina,2020-04-26,0,0,0,169,9,9,6,1548,1537,1537,1477,0,0,0,0,11,0,0,38,1537,0,0,0,0,0,0,0,0,1,,,0.00585556278464541,0.00381434719608405,0.00585556278464541,0.00381434719608405,0.00390370852309694,0.00311745727615235,1,0,1,0,0.00715679895901106,0.00421415882213197,1,
South Carolina,2020-04-27,0,0,0,158,9,10,5,1474,1454,1454,1398,0,0,0,0,8,0,0,26,1453,0,0,0,0,0,0,0,0,1,,,0.0061898211829436,0.00403140712933655,0.00687757909215956,0.00424800557322946,0.00343878954607978,0.00300898952692399,1,0,1,0,0.00550206327372765,0.00380216203638127,1,
South Carolina,2020-04-28,0,0,0,189,12,15,9,1907,1879,1879,1812,0,0,0,0,22,0,0,50,1879,0,0,0,0,0,0,0,0,1,,,0.00638637573177222,0.00360180919851196,0.00798296966471527,0.00402370844390584,0.00478978179882916,0.00312176335887149,1,0,1,0,0.0117083555082491,0.00486379445361239,1,
South Carolina,2020-04-29,0,0,0,147,7,10,2,1241,1227,1227,1184,0,0,0,0,5,0,0,23,1227,0,0,0,0,0,0,0,0,1,,,0.00570497147514262,0.00421415186587399,0.00814995925020375,0.00503067818344308,0.00162999185004075,0.00225717010225506,1,0,1,0,0.00407497962510187,0.00356452653517058,1,
South Carolina,2020-04-30,0,0,0,224,15,20,4,1988,1965,1965,1890,0,0,0,0,26,0,0,26,1964,0,0,0,0,0,0,0,0,1,,,0.00763358778625954,0.0038482847005501,0.0101781170483461,0.00443791581486264,0.00203562340966921,0.00199284284378395,1,0,1,0,0.0132315521628499,0.00505219189128399,1,
South Carolina,2020-05-01,0,0,0,108,17,19,7,1405,1387,1387,1341,0,0,0,0,15,0,0,21,1387,0,0,0,0,0,0,0,0,1,,,0.0122566690699351,0.00579052770266206,0.0136986301369863,0.00611720801067109,0.00504686373467916,0.00372925398619821,1,0,1,0,0.0108147080028839,0.00544322246861491,1,
South Carolina,2020-05-02,0,0,0,132,11,11,5,1420,1399,1399,1359,0,0,0,0,10,0,0,22,1399,0,0,0,0,0,0,0,0,1,,,0.00786275911365261,0.00462820508244199,0.00786275911365261,0.00462820508244199,0.00357398141529664,0.00312707219771124,1,0,1,0,0.00714796283059328,0.00441440974796017,1,
South Carolina,2020-05-03,0,0,0,163,9,9,7,1406,1397,1397,1354,0,0,0,0,15,0,0,37,1396,0,0,0,0,0,0,0,0,1,,,0.00644237652111668,0.00419536228417197,0.00644237652111668,0.00419536228417197,0.00501073729420186,0.00370262647350956,1,0,1,0,0.0107372942018611,0.00540447027952788,1,
South Carolina,2020-05-04,0,0,0,147,12,13,7,1436,1420,1420,1367,0,0,0,0,13,0,0,42,1420,0,0,0,0,0,0,0,0,1,,,0.00845070422535211,0.00476110242910691,0.00915492957746479,0.00495375244068135,0.00492957746478873,0.00364280291455628,1,0,1,0,0.00915492957746479,0.00495375244068135,1,
South Carolina,2020-05-05,0,0,0,105,8,5,2,1414,1406,1406,1354,0,0,0,0,8,0,0,16,1405,0,0,0,0,0,0,0,0,1,,,0.00568990042674253,0.00393159423152774,0.00355618776671408,0.00311153134112609,0.00142247510668563,0.00197001104796455,1,0,1,0,0.00568990042674253,0.00393159423152774,1,
South Carolina,2020-05-06,0,0,0,123,15,14,8,1321,1308,1308,1261,0,0,0,0,8,0,0,29,1308,0,0,0,0,0,0,0,0,1,,,0.0114678899082569,0.00577007378845724,0.0107033639143731,0.00557657607335271,0.00611620795107034,0.00422525714365263,1,0,1,0,0.00611620795107034,0.00422525714365263,1,
South Carolina,2020-05-07,0,0,0,115,9,9,7,1318,1308,1308,1269,0,0,0,0,7,0,0,21,1307,0,0,0,0,0,0,0,0,1,,,0.00688073394495413,0.00447983795851656,0.00688073394495413,0.00447983795851656,0.00535168195718654,0.00395388599924659,1,0,1,0,0.00535168195718654,0.00395388599924659,1,
South Carolina,2020-05-08,0,0,0,35,5,7,2,390,386,386,369,0,0,0,0,4,0,0,9,385,0,0,0,0,0,0,0,0,1,,,0.0129533678756477,0.0112801434862836,0.0181347150259067,0.013311768581063,0.00518134715025907,0.00716222143542771,1,0,1,0,0.0103626943005181,0.0101024988838412,1,
South Carolina,2020-05-09,0,0,0,116,4,7,2,1004,995,995,962,0,0,0,0,12,0,0,16,995,0,0,0,0,0,0,0,0,1,,,0.00402010050251256,0.00393169927846948,0.00703517587939699,0.00519327071618621,0.00201005025125628,0.00278293518702797,1,0,1,0,0.0120603015075377,0.00678236021750542,1,
South Carolina,2020-05-10,0,0,0,117,9,8,2,1233,1219,1219,1172,0,0,0,0,7,0,0,24,1218,0,0,0,0,0,0,0,0,1,,,0.007383100902379,0.00480569796800272,0.00656275635767022,0.00453272736301279,0.00164068908941756,0.00227197118784649,1,0,1,0,0.00574241181296144,0.00424172845408788,1,
South Carolina,2020-05-11,0,0,0,178,15,15,10,1320,1301,1301,1258,0,0,0,0,11,0,0,15,1300,0,0,0,0,0,0,0,0,1,,,0.0115295926210607,0.00580093848372767,0.0115295926210607,0.00580093848372767,0.00768639508070715,0.00474564521634527,1,0,1,0,0.00845503458877786,0.00497534663783163,1,
South Carolina,2020-05-12,0,0,0,134.1,6,7,2,1253,1237,1237,1182,0,0,0,0,7,0,0,26,1237,0,0,0,0,0,0,0,0,1,,,0.00485044462409054,0.00387166875111189,0.00565885206143897,0.00418018129223076,0.00161681487469685,0.00223893774642592,1,0,1,0,0.00565885206143897,0.00418018129223076,1,
South Carolina,2020-05-13,0,0,0,65,8,6,7,1135,1124,1124,1078,0,0,0,0,8,0,0,6,1121,0,0,0,0,0,0,0,0,1,,,0.00711743772241993,0.00491445898585074,0.00533807829181495,0.0042598582820869,0.00622775800711744,0.00459911459307838,1,0,1,0,0.00711743772241993,0.00491445898585074,1,
South Carolina,2020-05-14,0,0,0,153,10,9,6,1480,1467,1467,1408,0,0,0,0,16,0,0,54,1465,0,0,0,0,0,0,0,0,1,,,0.00681663258350375,0.00421049054202053,0.00613496932515337,0.00399579258809875,0.00408997955010225,0.00326590579537744,1,0,1,0,0.010906612133606,0.00531491860338965,1,
South Carolina,2020-05-15,0,0,0,152,13,12,7,1664,1654,1654,1583,0,0,0,0,13,0,0,47,1653,0,0,0,0,0,0,0,0,1,,,0.00785973397823458,0.00425569798657917,0.00725513905683192,0.0040899879888782,0.00423216444981862,0.00312853236952373,1,0,1,0,0.00785973397823458,0.00425569798657917,1,
South Carolina,2020-05-16,0,0,0,145,7,10,1,1691,1673,1673,1616,0,0,0,0,13,0,0,22,1673,0,0,0,0,0,0,0,0,1,,,0.00418410041841004,0.00309307676156956,0.00597728631201435,0.0036936037646065,0.000597728631201435,0.00117117640985485,1,0,1,0,0.00777047220561865,0.00420755595029359,1,
South Carolina,2020-05-17,0,0,0,124,11,12,9,1823,1803,1803,1730,0,0,0,0,9,0,0,27,1802,0,0,0,0,0,0,0,0,1,,,0.00610094287298946,0.00359434571206214,0.00665557404326123,0.00375312403039619,0.00499168053244592,0.00325302180981929,1,0,1,0,0.00499168053244592,0.00325302180981929,1,
South Carolina,2020-05-18,0,0,0,156,10,11,6,1784,1772,1772,1725,0,0,0,0,9,0,0,29,1772,0,0,0,0,0,0,0,0,1,,,0.00564334085778781,0.00348783126779767,0.00620767494356659,0.00365703010291532,0.00338600451467269,0.00270472733073045,1,0,1,0,0.00507900677200903,0.00330978608343854,1,
South Carolina,2020-05-19,0,0,0,139,9,9,5,1309,1300,1300,1249,0,0,0,0,13,0,0,66,1300,0,0,0,0,0,0,0,0,1,,,0.00692307692307692,0.00450731010141485,0.00692307692307692,0.00450731010141485,0.00384615384615385,0.00336475113997349,1,0,1,0,0.01,0.00540871393251183,1,
South Carolina,2020-05-20,0,0,0,292,18,15,10,2294,2269,2269,2203,0,0,0,0,23,0,0,129,2269,0,0,0,0,0,0,0,0,1,,,0.00793301013662406,0.00365023098463144,0.00661084178052005,0.00333440948426554,0.00440722785368004,0.0027255519399672,1,0,1,0,0.0101366240634641,0.004121593355068,1,
South Carolina,2020-05-21,0,0,0,149,10,14,8,1848,1838,1838,1767,0,0,0,0,15,0,0,31,1838,0,0,0,0,0,0,0,0,1,,,0.00544069640914037,0.00336293076391965,0.00761697497279652,0.0039747174847928,0.0043525571273123,0.00300954172459789,1,0,1,0,0.00816104461371056,0.00411309550945114,1,
South Carolina,2020-05-22,0,0,0,120,15,13,7,1663,1653,1653,1571,0,0,0,0,16,0,0,23,1652,0,0,0,0,0,0,0,0,1,,,0.00907441016333938,0.00457131752867545,0.00786448880822747,0.00425826231262365,0.00423472474289171,0.00313042098414837,1,0,1,0,0.00967937084089534,0.0047197950634535,1,
South Carolina,2020-05-23,0,0,0,121,4,6,4,1700,1687,1687,1616,0,0,0,0,14,0,0,30,1687,0,0,0,0,0,0,0,0,1,,,0.002371072910492,0.00232085239690413,0.003556609365738,0.00284076264848024,0.002371072910492,0.00232085239690413,1,0,1,0,0.00829875518672199,0.00432899870062191,1,
South Carolina,2020-05-24,0,0,0,171,13,14,8,1736,1717,1717,1639,0,0,0,0,18,0,0,62,1717,0,0,0,0,0,0,0,0,1,,,0.0075713453698311,0.00410014409371099,0.0081537565521258,0.00425367191794945,0.0046592894583576,0.00322113311870393,1,0,1,0,0.0104834012813046,0.00481754289498224,1,
South Carolina,2020-05-25,0,0,0,372,15,14,7,1876,1858,1858,1793,0,0,0,0,14,0,0,221,1858,0,0,0,0,0,0,0,0,1,,,0.00807319698600646,0.00406900125376838,0.00753498385360603,0.00393209500747407,0.00376749192680301,0.00278568339805382,1,0,1,0,0.00753498385360603,0.00393209500747407,1,
South Carolina,2020-05-26,0,0,0,134,15,16,7,1898,1887,1887,1817,0,0,0,0,12,0,0,16,1884,0,0,0,0,0,0,0,0,1,,,0.00794912559618442,0.00400671814224332,0.00847906730259671,0.00413701528850166,0.00370959194488606,0.00274295185872188,1,0,1,0,0.00635930047694754,0.00358658807218011,1,
South Carolina,2020-05-27,0,0,0,153,11,14,5,1929,1917,1917,1831,0,0,0,0,21,0,0,25,1916,0,0,0,0,0,0,0,0,1,,,0.00573813249869588,0.00338121441978782,0.00730307772561294,0.00381152114725972,0.00260824204486176,0.00228319953773171,1,0,1,0,0.0109546165884194,0.00465954741660965,1,
South Carolina,2020-05-28,0,0,0,143,15,17,12,1772,1757,1757,1687,0,0,0,0,16,0,0,37,1757,0,0,0,0,0,0,0,0,1,,,0.00853727945361412,0.00430189844367916,0.00967558338076266,0.00457709085893483,0.00682982356289129,0.003851046720307,1,0,1,0,0.00910643141718839,0.00444170617173906,1,
South Carolina,2020-05-29,0,0,0,92,10,9,3,1664,1653,1653,1584,0,0,0,0,10,0,0,18,1653,0,0,0,0,0,0,0,0,1,,,0.00604960677555959,0.00373815747244232,0.00544464609800363,0.00354740661866122,0.00181488203266788,0.00205183016414271,1,0,1,0,0.00604960677555959,0.00373815747244232,1,
South Carolina,2020-05-30,0,0,0,110,7,10,2,1551,1541,1541,1474,0,0,0,0,14,0,0,22,1541,0,0,0,0,0,0,0,0,1,,,0.0045425048669695,0.00335742123369492,0.00648929266709929,0.00400896004853519,0.00129785853341986,0.0017975394922768,1,0,1,0,0.009085009733939,0.0047372648877328,1,
South Carolina,2020-05-31,0,0,0,93,9,10,3,1512,1502,1502,1447,0,0,0,0,11,0,0,17,1500,0,0,0,0,0,0,0,0,1,,,0.00599201065246338,0.00390296224870459,0.0066577896138482,0.00411270542089586,0.00199733688415446,0.00225789964766186,1,0,1,0,0.00732356857523302,0.00431199606965608,1,
South Carolina,2020-06-01,0,0,0,147,16,18,7,1736,1725,1725,1651,0,0,0,0,13,0,0,24,1724,0,0,0,0,0,0,0,0,1,,,0.00927536231884058,0.00452371738118734,0.0104347826086957,0.00479531846873956,0.00405797101449275,0.00300002615937763,1,0,1,0,0.00753623188405797,0.00408120113002517,1,
South Carolina,2020-06-02,0,0,0,116,7,9,4,1620,1609,1609,1543,0,0,0,0,10,0,0,17,1609,0,0,0,0,0,0,0,0,1,,,0.00435052827843381,0.00321583902186704,0.00559353635798633,0.00364414182620803,0.00248601615910503,0.00243322090422218,1,0,1,0,0.00621504039776259,0.00384006218026737,1,
South Carolina,2020-06-03,0,0,0,181,13,16,11,1652,1640,1640,1584,0,0,0,0,20,0,0,82,1640,0,0,0,0,0,0,0,0,1,,,0.00792682926829268,0.00429188198520902,0.00975609756097561,0.00475702378327206,0.00670731707317073,0.00395038300022153,1,0,1,0,0.0121951219512195,0.00531196034240159,1,
South Carolina,2020-06-04,0,0,0,181,14,13,9,1660,1648,1648,1582,0,0,0,0,15,0,0,104,1647,0,0,0,0,0,0,0,0,1,,,0.00849514563106796,0.00443100585520346,0.00788834951456311,0.00427113043685423,0.00546116504854369,0.00355813983183928,1,0,1,0,0.00910194174757281,0.00458512312011269,1,
South Carolina,2020-06-05,0,0,0,141,16,18,7,1571,1558,1558,1490,0,0,0,0,17,0,0,62,1558,0,0,0,0,0,0,0,0,1,,,0.0102695763799743,0.00500609502653087,0.0115532734274711,0.00530632106575254,0.00449293966623877,0.00332086965628472,1,0,1,0,0.0109114249037227,0.0051584911650699,1,
South Carolina,2020-06-06,0,0,0,166,10,12,6,1142,1132,1132,1092,0,0,0,0,12,0,0,20,1132,0,0,0,0,0,0,0,0,1,,,0.0088339222614841,0.00545098364774721,0.0106007067137809,0.00596592906242892,0.00530035335689046,0.00422983348755945,1,0,1,0,0.0106007067137809,0.00596592906242892,1,
South Carolina,2020-06-07,0,0,0,173,14,12,7,1704,1685,1685,1611,0,0,0,0,9,0,0,15,1685,0,0,0,0,0,0,0,0,1,,,0.00830860534124629,0.00433411545337116,0.00712166172106825,0.00401501180664707,0.00415430267062315,0.00307109486227177,1,0,1,0,0.00534124629080119,0.0034802183700446,1,
South Carolina,2020-06-08,0,0,0,140,10,9,4,1634,1620,1620,1551,0,0,0,0,7,0,0,27,1616,0,0,0,0,0,0,0,0,1,,,0.00617283950617284,0.00381406866325712,0.00555555555555556,0.00361946677309532,0.00246913580246914,0.00241671948200371,1,0,1,0,0.00432098765432099,0.00319405046010129,1,
South Carolina,2020-06-09,0,0,0,119,16,20,11,1415,1403,1403,1348,0,0,0,0,16,0,0,31,1401,0,0,0,0,0,0,0,0,1,,,0.0114041339985745,0.0055559689034472,0.0142551674982181,0.00620279848818489,0.00784034212401996,0.00461506205167162,1,0,1,0,0.0114041339985745,0.0055559689034472,1,
South Carolina,2020-06-10,0,0,0,170,20,20,10,1727,1712,1712,1641,0,0,0,0,16,0,0,32,1710,0,0,0,0,0,0,0,0,1,,,0.0116822429906542,0.00508988098734827,0.0116822429906542,0.00508988098734827,0.0058411214953271,0.00360970930016474,1,0,1,0,0.00934579439252336,0.00455790601610681,1,
South Carolina,2020-06-11,0,0,0,147,17,13,11,1737,1723,1723,1638,0,0,0,0,15,0,0,34,1722,0,0,0,0,0,0,0,0,1,,,0.00986651189785258,0.00466696075590065,0.00754497968659315,0.0040859204427297,0.00638421358096344,0.00376069746713991,1,0,1,0,0.00870574579222287,0.00438641519735321,1,
South Carolina,2020-06-12,0,0,0,171,14,14,7,1912,1902,1902,1829,0,0,0,0,18,0,0,63,1902,0,0,0,0,0,0,0,0,1,,,0.00736067297581493,0.00384146901841924,0.00736067297581493,0.00384146901841924,0.00368033648790747,0.002721359700921,1,0,1,0,0.00946372239747634,0.00435119978049367,1,
