state,date,A5_1,A5_2,A5_3,A2,pos_RF,pos_XGB,pos_glm,pos_svm,pos_nn,count,symptomatic,infected,not_infected,vaccinated,unvaccinated,cli,cli_vaccinated,cli_unvaccinated,cli_local,count_local,reach,test_recent,tested_vaccinated,tested_unvaccinated,positive_recent,positive_vaccinated,positive_unvaccinated,positive_symptomatic,days_aggregated,p_infected,p_infected_CI,p_rf,p_rf_CI,p_XGB,p_XGB_CI,p_glm,p_glm_CI,p_nn,p_nn_CI,p_svm,p_svm_CI,p_cli,p_cli_CI,p_cli_local,p_cli_local_CI
South Dakota,2020-04-06,0,0,0,174,7,7,4,402,387,387,369,0,0,0,0,11,0,0,20,387,0,0,0,0,0,0,0,0,1,,,0.0180878552971576,0.0132776880751259,0.0180878552971576,0.0132776880751259,0.0103359173126615,0.01007653055503,1,0,1,0,0.0284237726098191,0.0165566286678255,1,
South Dakota,2020-04-07,0,0,0,362,16,15,3,923,906,906,875,0,0,0,0,15,0,0,41,904,0,0,0,0,0,0,0,0,1,,,0.0176600441501104,0.00857651376848265,0.0165562913907285,0.00830883770488148,0.0033112582781457,0.00374076388837473,1,0,1,0,0.0165562913907285,0.00830883770488148,1,
South Dakota,2020-04-08,0,0,0,375,13,11,2,930,910,910,882,0,0,0,0,8,0,0,36,910,0,0,0,0,0,0,0,0,1,,,0.0142857142857143,0.0077099915169974,0.0120879120879121,0.00710006281498927,0.0021978021978022,0.0030425934404306,1,0,1,0,0.00879120879120879,0.00606504831416404,1,
South Dakota,2020-04-09,0,0,0,284,8,7,2,778,758,758,734,0,0,0,0,8,0,0,25,758,0,0,0,0,0,0,0,0,1,,,0.0105540897097625,0.00727478073047623,0.00923482849604222,0.00680946937597935,0.00263852242744063,0.00365191094339389,1,0,1,0,0.0105540897097625,0.00727478073047623,1,
South Dakota,2020-04-10,0,0,0,137,6,5,2,348,342,342,329,0,0,0,0,5,0,0,13,341,0,0,0,0,0,0,0,0,1,,,0.0175438596491228,0.0139140703816612,0.0146198830409357,0.0127206377294771,0.00584795321637427,0.00808096802403862,1,0,1,0,0.0146198830409357,0.0127206377294771,1,
South Dakota,2020-04-11,0,0,0,155,6,5,2,424,417,417,402,0,0,0,0,6,0,0,13,416,0,0,0,0,0,0,0,0,2,,,0.0143884892086331,0.0114298503614574,0.0119904076738609,0.0104466638121667,0.00479616306954436,0.00663106148378875,1,0,1,0,0.0143884892086331,0.0114298503614574,1,
South Dakota,2020-04-12,0,0,0,171,6,5,2,447,440,440,424,0,0,0,0,7,0,0,13,439,0,0,0,0,0,0,0,0,3,,,0.0136363636363636,0.0108365132473099,0.0113636363636364,0.00990372806239293,0.00454545454545455,0.00628522934307129,1,0,1,0,0.0159090909090909,0.0116912795346471,1,
South Dakota,2020-04-13,0,0,0,146,4,3,2,445,433,433,416,0,0,0,0,3,0,0,17,432,0,0,0,0,0,0,0,0,1,,,0.0092378752886836,0.00901103939246907,0.0069284064665127,0.00781287905945088,0.0046189376443418,0.00638660239333038,1,0,1,0,0.0069284064665127,0.00781287905945088,1,
South Dakota,2020-04-14,0,0,0,123,3,3,0,376,368,368,353,0,0,0,0,4,0,0,12,368,0,0,0,0,0,0,0,0,1,,,0.00815217391304348,0.00918720532626573,0.00815217391304348,0.00918720532626573,0,0,1,0,1,0,0.0108695652173913,0.0105939288172849,1,
South Dakota,2020-04-15,0,0,0,64,2,2,3,237,235,235,226,0,0,0,0,7,0,0,12,234,0,0,0,0,0,0,0,0,1,,,0.00851063829787234,0.0117446277429188,0.00851063829787234,0.0117446277429188,0.0127659574468085,0.0143532720806705,1,0,1,0,0.0297872340425532,0.0217351549747747,1,
South Dakota,2020-04-16,0,0,0,25,3,3,2,197,193,193,190,0,0,0,0,3,0,0,5,192,0,0,0,0,0,0,0,0,1,,,0.0155440414507772,0.0174521748457741,0.0155440414507772,0.0174521748457741,0.0103626943005181,0.0142870909353872,1,0,1,0,0.0155440414507772,0.0174521748457741,1,
South Dakota,2020-04-17,0,0,0,13,2,2,0,114,114,114,106,0,0,0,0,1,0,0,2,114,0,0,0,0,0,0,0,0,1,,,0.0175438596491228,0.0240998768411264,0.0175438596491228,0.0240998768411264,0,0,1,0,1,0,0.0087719298245614,0.0171170940046306,1,
South Dakota,2020-04-18,0,0,0,27,2,2,1,151,147,147,138,0,0,0,0,4,0,0,4,147,0,0,0,0,0,0,0,0,1,,,0.0136054421768707,0.0187271240736186,0.0136054421768707,0.0187271240736186,0.00680272108843537,0.0132876602992285,1,0,1,0,0.0272108843537415,0.0263008693124522,1,
South Dakota,2020-04-19,0,0,0,39,3,3,2,193,184,184,174,0,0,0,0,3,0,0,19,184,0,0,0,0,0,0,0,0,1,,,0.016304347826087,0.0182987435747807,0.016304347826087,0.0182987435747807,0.0108695652173913,0.0149820778122195,1,0,1,0,0.016304347826087,0.0182987435747807,1,
South Dakota,2020-04-20,0,0,0,54,1,1,0,179,177,177,169,0,0,0,0,1,0,0,5,177,0,0,0,0,0,0,0,0,1,,,0.00564971751412429,0.011041918196944,0.00564971751412429,0.011041918196944,0,0,1,0,1,0,0.00564971751412429,0.011041918196944,1,
South Dakota,2020-04-21,0,0,0,13,4,4,0,184,181,181,176,0,0,0,0,0,0,0,1,181,0,0,0,0,0,0,0,0,1,,,0.0220994475138122,0.0214164191270245,0.0220994475138122,0.0214164191270245,0,0,1,0,1,0,0,0,1,
South Dakota,2020-04-22,0,0,0,25,0,0,0,201,200,200,193,0,0,0,0,5,0,0,6,200,0,0,0,0,0,0,0,0,1,,,0,0,0,0,0,0,1,0,1,0,0.025,0.0216374165225911,1,
