state,date,A5_1,A5_2,A5_3,A2,pos_RF,pos_XGB,pos_glm,pos_svm,pos_nn,count,symptomatic,infected,not_infected,vaccinated,unvaccinated,cli,cli_vaccinated,cli_unvaccinated,cli_local,count_local,reach,test_recent,tested_vaccinated,tested_unvaccinated,positive_recent,positive_vaccinated,positive_unvaccinated,positive_symptomatic,days_aggregated,p_infected,p_infected_CI,p_rf,p_rf_CI,p_XGB,p_XGB_CI,p_glm,p_glm_CI,p_nn,p_nn_CI,p_svm,p_svm_CI,p_cli,p_cli_CI,p_cli_local,p_cli_local_CI
Tennessee,2020-04-06,0,0,0,1183,52,48,33,2989,2723,2723,2617,0,0,0,0,36,0,0,98,2723,0,0,0,0,0,0,0,0,1,,,0.0190965846492839,0.00514061696135612,0.017627616599339,0.00494264183629925,0.0121189864120455,0.00410969639044507,1,0,1,0,0.0132207124495042,0.00429004366558527,1,
Tennessee,2020-04-07,0,0,0,3104,102,98,60,7957,7167,7167,6851,0,0,0,0,88,0,0,314,7160,0,0,0,0,0,0,0,0,1,,,0.0142318961908748,0.00274219385498684,0.0136737826147621,0.00268864840387402,0.00837170364169108,0.00210940886686954,1,0,1,0,0.0122784986744803,0.00254958371533714,1,
Tennessee,2020-04-08,0,0,0,2704,105,92,68,7337,6574,6574,6286,0,0,0,0,90,0,0,218,6566,0,0,0,0,0,0,0,0,1,,,0.0159720109522361,0.00303051729261684,0.0139945238819592,0.00283956600643467,0.0103437785214481,0.00244576669776486,1,0,1,0,0.0136902951019166,0.00280896481456174,1,
Tennessee,2020-04-09,0,0,0,2117,90,75,49,5629,5042,5042,4826,0,0,0,0,60,0,0,284,5038,0,0,0,0,0,0,0,0,1,,,0.0178500595001983,0.00365473087158938,0.0148750495834986,0.00334134670068299,0.00971836572788576,0.00270783783479949,1,0,1,0,0.0119000396667989,0.00299310061243607,1,
Tennessee,2020-04-10,0,0,0,1212,40,40,24,2985,2674,2674,2571,0,0,0,0,33,0,0,97,2670,0,0,0,0,0,0,0,0,1,,,0.0149588631264024,0.004600911373463,0.0149588631264024,0.004600911373463,0.00897531787584144,0.00357465838519859,1,0,1,0,0.012341062079282,0.00418453454201527,1,
Tennessee,2020-04-11,0,0,0,244,14,16,6,704,624,624,604,0,0,0,0,9,0,0,20,623,0,0,0,0,0,0,0,0,1,,,0.0224358974358974,0.0116198398337484,0.0256410256410256,0.0124017504301475,0.00961538461538462,0.007656690092863,1,0,1,0,0.0144230769230769,0.00935470333063919,1,
Tennessee,2020-04-12,0,0,0,76,2,3,2,238,221,221,215,0,0,0,0,1,0,0,4,221,0,0,0,0,0,0,0,0,1,,,0.00904977375565611,0.0124852354193911,0.0135746606334842,0.0152562766239173,0.00904977375565611,0.0124852354193911,1,0,1,0,0.00452488687782806,0.0088485278249618,1,
Tennessee,2020-04-13,0,0,0,692,26,24,12,2281,2052,2052,1956,0,0,0,0,28,0,0,56,2050,0,0,0,0,0,0,0,0,1,,,0.0126705653021443,0.00483936579862091,0.0116959064327485,0.00465180662158039,0.00584795321637427,0.00329904138110691,1,0,1,0,0.01364522417154,0.00501956781654797,1,
Tennessee,2020-04-14,0,0,0,765,26,25,13,2102,1877,1877,1785,0,0,0,0,26,0,0,64,1874,0,0,0,0,0,0,0,0,1,,,0.0138518913159297,0.00528739267999524,0.013319126265317,0.00518611541499858,0.00692594565796484,0.00375185730346364,1,0,1,0,0.0138518913159297,0.00528739267999524,1,
Tennessee,2020-04-15,0,0,0,339,20,20,11,1288,1171,1171,1126,0,0,0,0,18,0,0,29,1170,0,0,0,0,0,0,0,0,1,,,0.0170794192997438,0.00742105086055016,0.0170794192997438,0.00742105086055016,0.00939368061485909,0.00552507382814039,1,0,1,0,0.0153714773697694,0.00704634096833323,1,
