state,date,A5_1,A5_2,A5_3,A2,pos_RF,pos_XGB,pos_glm,pos_svm,pos_nn,count,symptomatic,infected,not_infected,vaccinated,unvaccinated,cli,cli_vaccinated,cli_unvaccinated,cli_local,count_local,reach,test_recent,tested_vaccinated,tested_unvaccinated,positive_recent,positive_vaccinated,positive_unvaccinated,positive_symptomatic,days_aggregated,p_infected,p_infected_CI,p_rf,p_rf_CI,p_XGB,p_XGB_CI,p_glm,p_glm_CI,p_nn,p_nn_CI,p_svm,p_svm_CI,p_cli,p_cli_CI,p_cli_local,p_cli_local_CI
Texas,2020-04-06,0,0,0,1058,50,40,19,2862,2806,2807,2645,0,0,0,0,50,0,0,133,2806,0,0,0,0,0,0,0,0,1,,,0.0178126113288208,0.00489314242848196,0.0142500890630566,0.00438448963063207,0.00676879230495191,0.00303324616552498,0.999643747773424,0.000698117147372293,1,0,0.0178126113288208,0.00489314242848196,1,
Texas,2020-04-07,0,0,0,2778,87,77,35,7018,6915,6915,6549,0,0,0,0,94,0,0,219,6904,0,0,0,0,0,0,0,0,1,,,0.0125813449023861,0.00262703704425501,0.0111352133044107,0.00247325972354721,0.00506146059291396,0.00167258445311458,1,0,1,0,0.0135936370209689,0.00272927794618083,1,
Texas,2020-04-08,0,0,0,2325,79,70,28,6180,6082,6082,5791,0,0,0,0,74,0,0,191,6080,0,0,0,0,0,0,0,0,1,,,0.0129891483064781,0.0028456152828265,0.0115093719171325,0.00268063061494275,0.00460374876685301,0.00170129133978846,1,0,1,0,0.0121670503123972,0.00275523907600552,1,
Texas,2020-04-09,0,0,0,1779,65,56,25,4996,4918,4918,4703,0,0,0,0,67,0,0,178,4914,0,0,0,0,0,0,0,0,1,,,0.0132167547783652,0.00319173722213841,0.0113867425782839,0.00296528742031294,0.00508336722244815,0.00198757221352535,1,0,1,0,0.013623424156161,0.00323980105932099,1,
Texas,2020-04-10,0,0,0,830,19,21,5,2411,2365,2366,2256,0,0,0,0,28,0,0,60,2366,0,0,0,0,0,0,0,0,1,,,0.00803043110735418,0.00359632826114466,0.00887573964497041,0.00377926244157147,0.00211327134404057,0.00185037169434846,0.999577345731192,0.000828212065593136,1,0,0.0118343195266272,0.0043573981999893,1,
Texas,2020-04-11,0,0,0,204,6,7,0,585,571,571,557,0,0,0,0,3,0,0,11,570,0,0,0,0,0,0,0,0,1,,,0.010507880910683,0.00836361008742075,0.0122591943957968,0.00902573338680955,0,0,1,0,1,0,0.00525394045534151,0.00592964541452244,1,
Texas,2020-04-12,0,0,0,87,2,4,2,188,182,182,172,0,0,0,0,6,0,0,42,182,0,0,0,0,0,0,0,0,1,,,0.010989010989011,0.0151458014560121,0.021978021978022,0.0213000687819962,0.010989010989011,0.0151458014560121,1,0,1,0,0.032967032967033,0.0259401789723681,1,
Texas,2020-04-13,0,0,0,975,41,36,11,2808,2762,2762,2632,0,0,0,0,32,0,0,82,2762,0,0,0,0,0,0,0,0,1,,,0.0148443157132513,0.00450991938490528,0.0130340333091962,0.00422986742611687,0.00398262128892107,0.00234884423604958,1,0,1,0,0.0115858073859522,0.00399088204889534,1,
Texas,2020-04-14,0,0,0,2490,104,91,36,7232,7112,7113,6769,0,0,0,0,86,0,0,214,7108,0,0,0,0,0,0,0,0,1,,,0.0146211162659918,0.00278941786225677,0.0127934767327429,0.00261168014082133,0.00506115563053564,0.00164909139738371,0.999859412343596,0.000275527373306052,1,0,0.012090538450724,0.00253982082814924,1,
Texas,2020-04-15,0,0,0,1065,59,53,18,4557,4477,4478,4313,0,0,0,0,61,0,0,153,4477,0,0,0,0,0,0,0,0,1,,,0.0131755247878517,0.00333971928016383,0.011835640911121,0.00316749931381485,0.00401965163019205,0.00185321428447951,0.999776686020545,0.00043763848339489,1,0,0.0136221527467619,0.00339508439381389,1,
Texas,2020-04-16,0,0,0,611,44,40,20,4366,4289,4289,4143,0,0,0,0,55,0,0,141,4286,0,0,0,0,0,0,0,0,1,,,0.0102588015854512,0.00301563799988195,0.00932618325950105,0.00287665237177715,0.00466309162975052,0.00203888202403774,1,0,1,0,0.0128235019818139,0.00336721458012598,1,
Texas,2020-04-17,0,0,0,401,32,32,10,2817,2770,2771,2648,0,0,0,0,31,0,0,108,2771,0,0,0,0,0,0,0,0,1,,,0.0115481775532299,0.00397799568437446,0.0115481775532299,0.00397799568437446,0.00360880548538434,0.0022326801213924,0.999639119451462,0.000707185238610056,1,0,0.0111872970046914,0.00391606084255,1,
Texas,2020-04-18,0,0,0,417,25,23,10,3063,3021,3021,2908,0,0,0,0,27,0,0,79,3019,0,0,0,0,0,0,0,0,1,,,0.00827540549486925,0.00323044917002539,0.00761337305527971,0.00309957204523428,0.0033101621979477,0.00204822367081499,1,0,1,0,0.00893743793445879,0.00335606051468933,1,
Texas,2020-04-19,0,0,0,428,33,29,14,3487,3430,3430,3296,0,0,0,0,35,0,0,87,3430,0,0,0,0,0,0,0,0,1,,,0.00962099125364431,0.00326671806606598,0.00845481049562682,0.00306414438582138,0.00408163265306122,0.00213368281720012,1,0,1,0,0.0102040816326531,0.00336326294496793,1,
Texas,2020-04-20,0,0,0,480,37,29,13,3557,3504,3504,3361,0,0,0,0,40,0,0,120,3504,0,0,0,0,0,0,0,0,1,,,0.0105593607305936,0.00338438473582544,0.00827625570776256,0.00299970362682413,0.00371004566210046,0.00201302211164271,1,0,1,0,0.0114155251141553,0.00351739289596593,1,
Texas,2020-04-21,0,0,0,360,40,43,16,3481,3425,3425,3321,0,0,0,0,39,0,0,56,3424,0,0,0,0,0,0,0,0,1,,,0.0116788321167883,0.00359804474133045,0.0125547445255474,0.00372887870564224,0.00467153284671533,0.00228365618377643,1,0,1,0,0.0113868613138686,0.00355330926000211,1,
Texas,2020-04-22,0,0,0,442,44,35,17,3811,3749,3750,3603,0,0,0,0,46,0,0,123,3749,0,0,0,0,0,0,0,0,1,,,0.0117333333333333,0.00344651549347435,0.00933333333333333,0.00307761734306064,0.00453333333333333,0.00215008012709153,0.999733333333333,0.000522587370289186,1,0,0.0122666666666667,0.00352302393936966,1,
Texas,2020-04-23,0,0,0,500,42,43,21,3913,3846,3846,3698,0,0,0,0,53,0,0,100,3846,0,0,0,0,0,0,0,0,1,,,0.0109204368174727,0.00328457414915335,0.0111804472178887,0.0033230093377642,0.00546021840873635,0.00232894664016518,1,0,1,0,0.0137805512220489,0.00368437245953181,1,
Texas,2020-04-24,0,0,0,536,44,38,18,4447,4363,4364,4212,0,0,0,0,36,0,0,98,4363,0,0,0,0,0,0,0,0,1,,,0.0100824931255729,0.0029640750095218,0.00870760769935839,0.0027564875419264,0.00412465627864345,0.00190152522805567,0.999770852428964,0.000449069525935168,1,0,0.00824931255728689,0.00268358808263183,1,
Texas,2020-04-25,0,0,0,640.01,53,57,23,5353,5265,5265,5062,0,0,0,0,58,0,0,94,5263,0,0,0,0,0,0,0,0,1,,,0.0100664767331434,0.00269643941052052,0.0108262108262108,0.00279526793937135,0.0043684710351377,0.00178140617765576,1,0,1,0,0.0110161443494777,0.00281941050360666,1,
Texas,2020-04-26,0,0,0,548,47,48,21,5740,5643,5644,5410,0,0,0,0,46,0,0,100,5644,0,0,0,0,0,0,0,0,1,,,0.00832742735648476,0.00237079589076983,0.00850460666194189,0.00239567033417269,0.00372076541459958,0.00158840509892287,0.999822820694543,0.00034723429204813,1,0,0.00815024805102764,0.00234564857303306,1,
Texas,2020-04-27,0,0,0,599,53,55,14,5551,5475,5475,5299,0,0,0,0,47,0,0,125,5474,0,0,0,0,0,0,0,0,1,,,0.00968036529680365,0.00259351997466946,0.0100456621004566,0.00264151385999971,0.00255707762557078,0.00133774092001048,1,0,1,0,0.00858447488584475,0.00244365985508505,1,
Texas,2020-04-28,0,0,0,777,64,56,25,6648,6565,6565,6336,0,0,0,0,62,0,0,159,6564,0,0,0,0,0,0,0,0,1,,,0.00974866717440975,0.00237670929907705,0.00853008377760853,0.00222457547323882,0.00380807311500381,0.00148989229390595,1,0,1,0,0.00944402132520944,0.00233963827286111,1,
Texas,2020-04-29,0,0,0,606,44,42,18,4606,4527,4527,4351,0,0,0,0,39,0,0,164,4524,0,0,0,0,0,0,0,0,1,,,0.00971946101170753,0.00285787386551452,0.00927766732935719,0.00279278959752801,0.00397614314115308,0.0018331952340032,1,0,1,0,0.00861497680583168,0.0026920993111944,1,
Texas,2020-04-30,0,0,0,639.1,56,55,16,6660,6555,6556,6323,0,0,0,0,49,0,0,122,6554,0,0,0,0,0,0,0,0,1,,,0.00854179377669311,0.00222761618936805,0.00838926174496644,0.00220780697697219,0.0024405125076266,0.0011943690452894,0.999847467968273,0.000298934487522201,1,0,0.00747406955460647,0.00208486585661955,1,
Texas,2020-05-01,0,0,0,560.6,36,31,12,5120,5042,5043,4859,0,0,0,0,41,0,0,105.6,5041,0,0,0,0,0,0,0,0,1,,,0.00713860797144557,0.00232356424463179,0.00614713464207813,0.00215725267833595,0.00237953599048186,0.0013447217224565,0.999801705334126,0.000388611867877073,1,0,0.00813008130081301,0.00247844000689474,1,
Texas,2020-05-02,0,0,0,539,43,40,22,5082,4992,4992,4813,0,0,0,0,49,0,0,100,4989,0,0,0,0,0,0,0,0,1,,,0.00861378205128205,0.00256347555670383,0.00801282051282051,0.00247318463475872,0.00440705128205128,0.00183749328554254,1,0,1,0,0.00981570512820513,0.00273482518871372,1,
Texas,2020-05-03,0,0,0,574,52,48,21,5083,5005,5006,4801,0,0,0,0,55,0,0,179,5003,0,0,0,0,0,0,0,0,1,,,0.0103875349580503,0.00280861037666406,0.00958849380743108,0.00269951473906404,0.0041949660407511,0.001790416418612,0.999800239712345,0.000391483862021156,1,0,0.0109868158210148,0.0028876172732347,1,
Texas,2020-05-04,0,0,0,592,41,43,20,5025,4946,4946,4753,0,0,0,0,38,0,0,112,4945,0,0,0,0,0,0,0,0,1,,,0.0082895268904165,0.00252684357253637,0.00869389405580267,0.00258721247946878,0.00404367165386171,0.00176859797965291,1,0,1,0,0.00768297614233724,0.00243338596201483,1,
Texas,2020-05-05,0,0,0,496,43,40,24,4924,4842,4842,4658,0,0,0,0,38,0,0,73,4837,0,0,0,0,0,0,0,0,1,,,0.00888062783973565,0.00264253358794149,0.00826104915324246,0.0025494822160466,0.00495662949194548,0.00197810769343049,1,0,1,0,0.00784799669558034,0.00248544530837872,1,
Texas,2020-05-06,0,0,0,579,38,35,13,4749,4678,4678,4502,0,0,0,0,43,0,0,175,4676,0,0,0,0,0,0,0,0,1,,,0.00812312954253955,0.00257222262189981,0.00748182984181274,0.0024693982089647,0.00277896536981616,0.00150853456293585,1,0,1,0,0.00919196237708423,0.00273474515658122,1,
Texas,2020-05-07,0,0,0,498,39,43,11,4540,4477,4477,4299,0,0,0,0,37,0,0,103,4477,0,0,0,0,0,0,0,0,1,,,0.00871119052937235,0.00272203309983405,0.00960464596828233,0.00285692948766998,0.00245700245700246,0.00145018414084962,1,0,1,0,0.00826446280991736,0.00265191620123014,1,
Texas,2020-05-08,0,0,0,209,7,8,2,1225,1206,1206,1165,0,0,0,0,9,0,0,54,1206,0,0,0,0,0,0,0,0,1,,,0.00580431177446103,0.00428731843010507,0.0066334991708126,0.00458142447754939,0.00165837479270315,0.00229644141547299,1,0,1,0,0.00746268656716418,0.00485730594708159,1,
Texas,2020-05-09,0,0,0,405,22,24,8,3719,3673,3673,3544,0,0,0,0,21,0,0,51,3673,0,0,0,0,0,0,0,0,1,,,0.00598965423359652,0.00249536428759737,0.00653416825483256,0.00260560903233816,0.00217805608494419,0.00150764357581925,1,0,1,0,0.00571739722297849,0.00243832577940478,1,
Texas,2020-05-10,0,0,0,478,39,34,12,4086,4017,4017,3852,0,0,0,0,28,0,0,164,4017,0,0,0,0,0,0,0,0,1,,,0.00970873786407767,0.00303221531079472,0.00846402788150361,0.00283295682068552,0.00298730395817775,0.00168766881946866,1,0,1,0,0.00697037590241474,0.00257280207450078,1,
Texas,2020-05-11,0,0,0,428,37,31,16,4766,4706,4706,4528,0,0,0,0,25,0,0,74,4704,0,0,0,0,0,0,0,0,1,,,0.00786230344241394,0.00252338202887901,0.00658733531661709,0.00231122305623986,0.00339991500212495,0.00166309332106402,1,0,1,0,0.00531236719082023,0.00207687104531709,1,
Texas,2020-05-12,0,0,0,540,45,42,17,4449,4382,4383,4231,0,0,0,0,41,0,0,188,4381,0,0,0,0,0,0,0,0,1,,,0.0102669404517454,0.00298429613023177,0.00958247775496235,0.00288410072131052,0.00387862194843714,0.00184016688665302,0.999771845767739,0.000447123062912678,1,0,0.00935432352270135,0.00284988754259694,1,
Texas,2020-05-13,0,0,0,487.6,35,37,23,3457,3404,3404,3271,0,0,0,0,31,0,0,135,3403,0,0,0,0,0,0,0,0,1,,,0.0102820211515864,0.00338881836159904,0.0108695652173913,0.00348326233829337,0.00675675675675676,0.00275201164519133,1,0,1,0,0.0091069330199765,0.00319119087460276,1,
Texas,2020-05-14,0,0,0,400,27,32,13,4618,4557,4558,4383,0,0,0,0,25,0,0,84,4557,0,0,0,0,0,0,0,0,1,,,0.00592365072400176,0.00222774523248124,0.00702062308029838,0.00242392330198027,0.00285212812637122,0.00154819346407184,0.999780605528741,0.000429958089099383,1,0,0.00548486178148311,0.00214412190446314,1,
Texas,2020-05-15,0,0,0,633,40,36,20,5230,5145,5146,4933,0,0,0,0,44,0,0,213,5145,0,0,0,0,0,0,0,0,1,,,0.00777302759424796,0.00239946168317047,0.00699572483482316,0.00227722067773181,0.00388651379712398,0.00169999528545666,0.999805674310144,0.000380834345046822,1,0,0.00855033035367276,0.00251559071790929,1,
Texas,2020-05-16,0,0,0,606,43,36,23,5246,5181,5181,4995,0,0,0,0,42,0,0,245,5177,0,0,0,0,0,0,0,0,1,,,0.00829955607025671,0.00247035279711563,0.00694846554719166,0.002261890843642,0.00443929743292801,0.00181022387918122,1,0,1,0,0.00810654313839027,0.00244169636484301,1,
Texas,2020-05-17,0,0,0,512,39,38,16,5336,5261,5261,5047,0,0,0,0,32,0,0,101,5260,0,0,0,0,0,0,0,0,1,,,0.00741303934613191,0.00231790896697743,0.00722296141417981,0.00228821827368735,0.00304124691123361,0.00148791586988979,1,0,1,0,0.00608249382246721,0.00210101884785284,1,
Texas,2020-05-18,0,0,0,637,41,46,22,5304,5237,5237,5054,0,0,0,0,47,0,0,235,5236,0,0,0,0,0,0,0,0,1,,,0.00782890968111514,0.00238699071528636,0.00878365476417796,0.00252713626748397,0.00420087836547642,0.0017517120882133,1,0,1,0,0.00897460378079053,0.00255421139496756,1,
