state,date,A5_1,A5_2,A5_3,A2,pos_RF,pos_XGB,pos_glm,pos_svm,pos_nn,count,symptomatic,infected,not_infected,vaccinated,unvaccinated,cli,cli_vaccinated,cli_unvaccinated,cli_local,count_local,reach,test_recent,tested_vaccinated,tested_unvaccinated,positive_recent,positive_vaccinated,positive_unvaccinated,positive_symptomatic,days_aggregated,p_infected,p_infected_CI,p_rf,p_rf_CI,p_XGB,p_XGB_CI,p_glm,p_glm_CI,p_nn,p_nn_CI,p_svm,p_svm_CI,p_cli,p_cli_CI,p_cli_local,p_cli_local_CI
Virginia,2020-04-06,0,0,0,1119,35,36,10,2770,2761,2761,2609,0,0,0,0,51,0,0,107,2760,0,0,0,0,0,0,0,0,1,,,0.012676566461427,0.00417297159944888,0.0130387540746107,0.00423138931207039,0.00362187613183629,0.00224075191501257,1,0,1,0,0.0184715682723651,0.00502247998295615,1,
Virginia,2020-04-07,0,0,0,3224,79,82,18,8104,8068,8068,7705,0,0,0,0,79,0,0,324,8063,0,0,0,0,0,0,0,0,1,,,0.00979176995537928,0.00214861702650666,0.0101636093207734,0.00218862237997512,0.0022310361923649,0.00102951682719003,1,0,1,0,0.00979176995537928,0.00214861702650666,1,
Virginia,2020-04-08,0,0,0,2834.1,73,77,22,7350,7318,7318,6951,0,0,0,0,94,0,0,219,7311,0,0,0,0,0,0,0,0,1,,,0.00997540311560536,0.00227687982156851,0.0105220005465974,0.00233778258785473,0.00300628587045641,0.00125433412113694,1,0,1,0,0.0128450396283137,0.00257995587773903,1,
Virginia,2020-04-09,0,0,0,2131,43,48,9,6083,6050,6050,5751,0,0,0,0,50,0,0,140,6045,0,0,0,0,0,0,0,0,1,,,0.00710743801652893,0.00211679145063684,0.00793388429752066,0.00223554616812544,0.00148760330578512,0.000971159810339993,1,0,1,0,0.00826446280991736,0.00228126457439217,1,
Virginia,2020-04-10,0,0,0,1114,29,34,7,3043,3022,3022,2907,0,0,0,0,31,0,0,85,3017,0,0,0,0,0,0,0,0,1,,,0.00959629384513567,0.00347583184939882,0.0112508272667108,0.00376041828793844,0.00231634679020516,0.00171395367378522,1,0,1,0,0.0102581072137657,0.00359248906142373,1,
Virginia,2020-04-11,0,0,0,349,8,8,3,759,753,753,728,0,0,0,0,9,0,0,12,753,0,0,0,0,0,0,0,0,1,,,0.0106241699867198,0.00732282670378274,0.0106241699867198,0.00732282670378274,0.00398406374501992,0.00449932003812604,1,0,1,0,0.0119521912350598,0.00776181610688606,1,
Virginia,2020-04-12,0,0,0,64,3,4,0,209,207,207,195,0,0,0,0,3,0,0,17,206,0,0,0,0,0,0,0,0,1,,,0.0144927536231884,0.0162805204409245,0.0193236714975845,0.0187529928248423,0,0,1,0,1,0,0.0144927536231884,0.0162805204409245,1,
Virginia,2020-04-13,0,0,0,860,24,28,7,2596,2585,2585,2456,0,0,0,0,22,0,0,51,2585,0,0,0,0,0,0,0,0,1,,,0.00928433268858801,0.00369715518382081,0.0108317214700193,0.00399026417961774,0.00270793036750484,0.00200330809711262,1,0,1,0,0.00851063829787234,0.00354113850233276,1,
Virginia,2020-04-14,0,0,0,1088,23,28,7,2783,2772,2772,2643,0,0,0,0,29,0,0,168,2771,0,0,0,0,0,0,0,0,1,,,0.0082972582972583,0.00337683266366554,0.0101010101010101,0.00372245384236883,0.00252525252525253,0.00186833538851279,1,0,1,0,0.0104617604617605,0.00378765273773998,1,
Virginia,2020-04-15,0,0,0,380,18,22,11,1727,1718,1718,1649,0,0,0,0,26,0,0,56,1716,0,0,0,0,0,0,0,0,1,,,0.010477299185099,0.00481475358291112,0.0128055878928987,0.00531664442867613,0.00640279394644936,0.0037716071893998,1,0,1,0,0.0151338766006985,0.00577298202302028,1,
Virginia,2020-04-16,0,0,0,211,19,21,7,1749,1740,1740,1666,0,0,0,0,18,0,0,43,1738,0,0,0,0,0,0,0,0,1,,,0.0109195402298851,0.00488305318161721,0.0120689655172414,0.00513064309031268,0.00402298850574713,0.0029742160982616,1,0,1,0,0.0103448275862069,0.00475419558839497,1,
Virginia,2020-04-17,0,0,0,115,13,13,7,1111,1104,1104,1063,0,0,0,0,15,0,0,31,1104,0,0,0,0,0,0,0,0,1,,,0.0117753623188406,0.00636324335098453,0.0117753623188406,0.00636324335098453,0.00634057971014493,0.00468216608360843,1,0,1,0,0.0135869565217391,0.00682895184618746,1,
Virginia,2020-04-18,0,0,0,179,18,19,7,1297,1288,1288,1246,0,0,0,0,18,0,0,36,1287,0,0,0,0,0,0,0,0,1,,,0.0139751552795031,0.0064108026756232,0.0147515527950311,0.00658388002013872,0.00543478260869565,0.00401511400714981,1,0,1,0,0.0139751552795031,0.0064108026756232,1,
Virginia,2020-04-19,0,0,0,139,9,8,2,1457,1453,1453,1415,0,0,0,0,12,0,0,27,1452,0,0,0,0,0,0,0,0,1,,,0.00619408121128699,0.00403417302329413,0.00550584996558844,0.00380477155947172,0.00137646249139711,0.00190633127815964,1,0,1,0,0.00825877494838266,0.00465342033143935,1,
Virginia,2020-04-20,0,0,0,217,16,17,5,1583,1575,1575,1523,0,0,0,0,15,0,0,20,1574,0,0,0,0,0,0,0,0,1,,,0.0101587301587302,0.00495233828365425,0.0107936507936508,0.00510311600829265,0.00317460317460317,0.0027781908856813,1,0,1,0,0.00952380952380953,0.00479661854853813,1,
