state,date,A5_1,A5_2,A5_3,A2,pos_RF,pos_XGB,pos_glm,pos_svm,pos_nn,count,symptomatic,infected,not_infected,vaccinated,unvaccinated,cli,cli_vaccinated,cli_unvaccinated,cli_local,count_local,reach,test_recent,tested_vaccinated,tested_unvaccinated,positive_recent,positive_vaccinated,positive_unvaccinated,positive_symptomatic,days_aggregated,p_infected,p_infected_CI,p_rf,p_rf_CI,p_XGB,p_XGB_CI,p_glm,p_glm_CI,p_nn,p_nn_CI,p_svm,p_svm_CI,p_cli,p_cli_CI,p_cli_local,p_cli_local_CI
Wisconsin,2020-04-06,0,0,0,1066.3,31,31,12,2738,2555,2555,2432,0,0,0,0,40,0,0,88,2554,0,0,0,0,0,0,0,0,1,,,0.012133072407045,0.00424509346393328,0.012133072407045,0.00424509346393328,0.00469667318982387,0.00265109650654044,1,0,1,0,0.0156555772994129,0.00481349721275502,1,
Wisconsin,2020-04-07,0,0,0,2575,89,90,36,7243,6687,6687,6415,0,0,0,0,85,0,0,219,6685,0,0,0,0,0,0,0,0,1,,,0.0133094063107522,0.00274664331803145,0.0134589502018843,0.00276182147983819,0.0053835800807537,0.00175386366365221,1,0,1,0,0.012711230746224,0.00268502497123636,1,
Wisconsin,2020-04-08,0,0,0,2317,66,72,33,6858,6387,6387,6125,0,0,0,0,80,0,0,195,6381,0,0,0,0,0,0,0,0,1,,,0.0103334899013621,0.00248009079086872,0.0112728980742132,0.00258914064505635,0.00516674495068107,0.00175826079291126,1,0,1,0,0.0125254423046814,0.00272746462025146,1,
Wisconsin,2020-04-09,0,0,0,1990,66,73,42,5610,5203,5203,4991,0,0,0,0,65,0,0,172,5197,0,0,0,0,0,0,0,0,1,,,0.0126849894291755,0.00304084373443672,0.0140303670959062,0.00319585793021342,0.00807226600038439,0.00243141407775462,1,0,1,0,0.0124927926196425,0.00301801282146511,1,
Wisconsin,2020-04-10,0,0,0,1052,39,39,21,2761,2510,2510,2429,0,0,0,0,32,0,0,144,2508,0,0,0,0,0,0,0,0,1,,,0.0155378486055777,0.00483844919288428,0.0155378486055777,0.00483844919288428,0.00836653386454183,0.003563359211455,1,0,1,0,0.0127490039840637,0.00438897542351498,1,
Wisconsin,2020-04-11,0,0,0,216,6,7,2,605,544,544,525,0,0,0,0,10,0,0,31,544,0,0,0,0,0,0,0,0,1,,,0.0110294117647059,0.00877640193472615,0.0128676470588235,0.00947078340141979,0.00367647058823529,0.00508585978364416,1,0,1,0,0.0183823529411765,0.0112880875722347,1,
Wisconsin,2020-04-12,0,0,0,47,0,2,0,150,138,138,134,0,0,0,0,2,0,0,13,138,0,0,0,0,0,0,0,0,1,,,0,0,0.0144927536231884,0.0199394839136082,0,0,1,0,1,0,0.0144927536231884,0.0199394839136082,1,
Wisconsin,2020-04-13,0,0,0,542,21,18,8,1861,1743,1743,1676,0,0,0,0,17,0,0,30,1743,0,0,0,0,0,0,0,0,1,,,0.0120481927710843,0.00512186622596178,0.0103270223752151,0.00474605550103701,0.00458978772231784,0.0031731948693387,1,0,1,0,0.00975329890992542,0.00461367360167899,1,
Wisconsin,2020-04-14,0,0,0,705,27,29,17,2398,2230,2230,2140,0,0,0,0,28,0,0,53,2229,0,0,0,0,0,0,0,0,1,,,0.0121076233183857,0.0045392063615603,0.0130044843049327,0.00470218613601424,0.00762331838565022,0.00360998971096835,1,0,1,0,0.0125560538116592,0.0046214522423407,1,
Wisconsin,2020-04-15,0,0,0,336,15,15,6,1373,1280,1280,1216,0,0,0,0,20,0,0,57,1278,0,0,0,0,0,0,0,0,1,,,0.01171875,0.00589554595293623,0.01171875,0.00589554595293623,0.0046875,0.00374191118946902,1,0,1,0,0.015625,0.00679412303000436,1,
Wisconsin,2020-04-16,0,0,0,122,18,14,9,1244,1170,1170,1128,0,0,0,0,17,0,0,41,1170,0,0,0,0,0,0,0,0,1,,,0.0153846153846154,0.00705231643156436,0.011965811965812,0.00623034696931264,0.00769230769230769,0.0050061823300544,1,0,1,0,0.0145299145299145,0.00685659365932053,1,
Wisconsin,2020-04-17,0,0,0,84,9,6,6,810,749,749,728,0,0,0,0,9,0,0,23,749,0,0,0,0,0,0,0,0,1,,,0.0120160213618158,0.00780301566982737,0.00801068090787717,0.00638403701690548,0.00801068090787717,0.00638403701690548,1,0,1,0,0.0120160213618158,0.00780301566982737,1,
Wisconsin,2020-04-18,0,0,0,218,7,10,4,837,774,774,747,0,0,0,0,13,0,0,121,773,0,0,0,0,0,0,0,0,1,,,0.00904392764857881,0.00666934758398357,0.0129198966408269,0.00795579033451591,0.00516795865633075,0.00505140288854669,1,0,1,0,0.0167958656330749,0.00905316956070003,1,
Wisconsin,2020-04-19,0,0,0,105,13,11,5,1055,995,995,955,0,0,0,0,14,0,0,37,995,0,0,0,0,0,0,0,0,1,,,0.0130653266331658,0.00705571272283114,0.0110552763819095,0.00649691764526527,0.0050251256281407,0.00439355501975305,1,0,1,0,0.014070351758794,0.0073183300424839,1,
Wisconsin,2020-04-20,0,0,0,94,11,6,6,1071,1003,1003,976,0,0,0,0,12,0,0,23,1003,0,0,0,0,0,0,0,0,1,,,0.0109670987038883,0.00644538509077126,0.00598205383848455,0.00477221383924414,0.00598205383848455,0.00477221383924414,1,0,1,0,0.0119641076769691,0.00672859117675638,1,
Wisconsin,2020-04-21,0,0,0,88,13,14,6,1012,948,948,918,0,0,0,0,12,0,0,12,948,0,0,0,0,0,0,0,0,1,,,0.0137130801687764,0.0074030906380948,0.0147679324894515,0.00767844081263763,0.00632911392405063,0.00504820126828633,1,0,1,0,0.0126582278481013,0.00711646196271367,1,
Wisconsin,2020-04-22,0,0,0,136,12,11,7,1189,1113,1113,1074,0,0,0,0,14,0,0,28,1112,0,0,0,0,0,0,0,0,1,,,0.0107816711590297,0.00606721838075939,0.00988319856244385,0.00581155676736807,0.00628930817610063,0.00464442472084077,1,0,1,0,0.0125786163522013,0.00654738996702767,1,
Wisconsin,2020-04-23,0,0,0,118,18,20,13,1172,1095,1095,1050,0,0,0,0,14,0,0,55,1094,0,0,0,0,0,0,0,0,1,,,0.0164383561643836,0.00753131853679949,0.0182648401826484,0.00793133223180462,0.0118721461187215,0.00641522981386747,1,0,1,0,0.0127853881278539,0.00665432145901877,1,
Wisconsin,2020-04-24,0,0,0,106,17,18,9,1339,1237,1237,1206,0,0,0,0,16,0,0,33,1237,0,0,0,0,0,0,0,0,1,,,0.0137429264349232,0.00648780693498627,0.0145513338722716,0.00667316167539977,0.00727566693613581,0.00473602492881756,1,0,1,0,0.0129345189975748,0.00629667626003775,1,
Wisconsin,2020-04-25,0,0,0,151,13,19,6,1564,1470,1470,1422,0,0,0,0,20,0,0,52,1470,0,0,0,0,0,0,0,0,1,,,0.00884353741496599,0.00478600933033565,0.0129251700680272,0.00577407732561667,0.00408163265306122,0.0032592543396154,1,0,1,0,0.0136054421768707,0.00592203660972057,1,
Wisconsin,2020-04-26,0,0,0,155,9,7,5,1521,1423,1423,1383,0,0,0,0,5,0,0,41,1423,0,0,0,0,0,0,0,0,1,,,0.00632466619817287,0.00411895170965726,0.00491918482080112,0.00363514205986736,0.00351370344342937,0.0030744246850128,1,0,1,0,0.00351370344342937,0.0030744246850128,1,
Wisconsin,2020-04-27,0,0,0,144,11,10,7,1612,1525,1525,1477,0,0,0,0,15,0,0,24,1523,0,0,0,0,0,0,0,0,1,,,0.00721311475409836,0.00424719895675767,0.00655737704918033,0.00405088245994313,0.00459016393442623,0.00339256542172754,1,0,1,0,0.00983606557377049,0.00495310379173885,1,
Wisconsin,2020-04-28,0,0,0,180,17,18,8,1872,1739,1739,1687,0,0,0,0,13,0,0,32,1738,0,0,0,0,0,0,0,0,1,,,0.0097757331799885,0.00462423346444714,0.0103507763082231,0.00475691515915425,0.00460034502587694,0.0031804768987796,1,0,1,0,0.00747556066705003,0.00404846873638134,1,
Wisconsin,2020-04-29,0,0,0,148,14,14,3,1383,1294,1294,1257,0,0,0,0,15,0,0,32,1294,0,0,0,0,0,0,0,0,1,,,0.0108191653786708,0.00563658005009529,0.0108191653786708,0.00563658005009529,0.00231839258114374,0.00262041710107862,1,0,1,0,0.0115919629057187,0.00583213513404426,1,
Wisconsin,2020-04-30,0,0,0,195,8,10,4,1918,1789,1789,1731,0,0,0,0,9,0,0,33,1787,0,0,0,0,0,0,0,0,1,,,0.00447177193963108,0.00309178676237114,0.00558971492453885,0.00345478125245408,0.00223588596981554,0.00218867706026119,1,0,1,0,0.00503074343208496,0.00327841430489249,1,
Wisconsin,2020-05-01,0,0,0,100,6,4,3,1415,1335,1335,1278,0,0,0,0,11,0,0,14,1334,0,0,0,0,0,0,0,0,1,,,0.00449438202247191,0.00358809809849402,0.00299625468164794,0.00293187341745188,0.00224719101123596,0.00254003050411841,1,0,1,0,0.00823970037453184,0.00484916015102341,1,
Wisconsin,2020-05-02,0,0,0,99,11,12,4,1367,1273,1273,1231,0,0,0,0,7,0,0,12,1273,0,0,0,0,0,0,0,0,1,,,0.00864100549882168,0.00508430394894611,0.00942655145326002,0.00530827790969284,0.00314218381775334,0.00307444191399165,1,0,1,0,0.00549882168106834,0.00406229406575557,1,
Wisconsin,2020-05-03,0,0,0,117,14,17,8,1493,1396,1396,1358,0,0,0,0,10,0,0,26,1395,0,0,0,0,0,0,0,0,1,,,0.0100286532951289,0.00522682552083414,0.0121776504297994,0.0057534263411783,0.00573065902578797,0.0039596763542865,1,0,1,0,0.00716332378223496,0.00442386207947949,1,
Wisconsin,2020-05-04,0,0,0,123,13,13,8,1528,1431,1431,1382,0,0,0,0,15,0,0,45,1430,0,0,0,0,0,0,0,0,1,,,0.00908455625436758,0.00491584784261485,0.00908455625436758,0.00491584784261485,0.00559049615653389,0.00386310118753847,1,0,1,0,0.010482180293501,0.00527674243982491,1,
Wisconsin,2020-05-05,0,0,0,114,6,5,2,1470,1371,1371,1313,0,0,0,0,8,0,0,11,1370,0,0,0,0,0,0,0,0,1,,,0.00437636761487965,0.00349408816936982,0.00364697301239971,0.00319081967040192,0.00145878920495988,0.00202026635251591,1,0,1,0,0.00583515681983953,0.00403166863723253,1,
Wisconsin,2020-05-06,0,0,0,83,4,5,3,1410,1326,1326,1279,0,0,0,0,7,0,0,9,1326,0,0,0,0,0,0,0,0,1,,,0.00301659125188537,0.00295174290595864,0.00377073906485671,0.0032989004935464,0.00226244343891403,0.00255725098387377,1,0,1,0,0.0052790346907994,0.00390035576819304,1,
Wisconsin,2020-05-07,0,0,0,116,11,10,7,1347,1272,1272,1236,0,0,0,0,2,0,0,10,1272,0,0,0,0,0,0,0,0,1,,,0.00864779874213837,0.00508828360953769,0.00786163522012579,0.00485341135089644,0.00550314465408805,0.0040654788570713,1,0,1,0,0.00157232704402516,0.00217738026525135,1,
Wisconsin,2020-05-08,0,0,0,41,1,1,1,413,384,384,370,0,0,0,0,5,0,0,18,384,0,0,0,0,0,0,0,0,1,,,0.00260416666666667,0.00509742261576271,0.00260416666666667,0.00509742261576271,0.00260416666666667,0.00509742261576271,1,0,1,0,0.0130208333333333,0.0113385067155635,1,
Wisconsin,2020-05-09,0,0,0,102.1,10,7,2,1099,1033,1033,987,0,0,0,0,8,0,0,20,1033,0,0,0,0,0,0,0,0,1,,,0.00968054211035818,0.0059708398900778,0.00677637947725073,0.00500288257110502,0.00193610842207164,0.00268066126679907,1,0,1,0,0.00774443368828654,0.0053456994138357,1,
Wisconsin,2020-05-10,0,0,0,127,11,9,7,1344,1258,1258,1219,0,0,0,0,18,0,0,46,1258,0,0,0,0,0,0,0,0,1,,,0.00874403815580286,0.00514466023996539,0.00715421303656598,0.00465725055641896,0.00556438791732909,0.00411059608439571,1,0,1,0,0.014308426073132,0.00656257416494027,1,
Wisconsin,2020-05-11,0,0,0,129,14,17,6,1380,1286,1286,1242,0,0,0,0,12,0,0,30,1286,0,0,0,0,0,0,0,0,1,,,0.0108864696734059,0.0056714513578256,0.0132192846034215,0.00624226080657912,0.00466562986003111,0.00372449373562491,1,0,1,0,0.00933125972006221,0.00525486998374298,1,
