state,date,ww_conc
Alabama,23-Jun-2021,1
Alabama,30-Jun-2021,3
Alabama,07-Jul-2021,3
Alabama,14-Jul-2021,8
Alabama,21-Jul-2021,14
Alabama,28-Jul-2021,19
Alabama,04-Aug-2021,35
Alabama,11-Aug-2021,53
Alabama,18-Aug-2021,58
Alabama,16-Feb-2022,24
Alabama,23-Feb-2022,16
Alabama,02-Mar-2022,11
Alabama,09-Mar-2022,8
Alabama,16-Mar-2022,8
Alabama,23-Mar-2022,8
Alabama,30-Mar-2022,8
Alabama,06-Apr-2022,14
Alabama,13-Apr-2022,12
Alabama,20-Apr-2022,16
Alabama,27-Apr-2022,17
Alabama,04-May-2022,16
Alabama,11-May-2022,24
Alabama,18-May-2022,29
Alabama,25-May-2022,52
Alabama,08-Jun-2022,59
Arizona,15-Apr-2020,1
Arizona,23-Jun-2021,7
Arizona,30-Jun-2021,5
Arizona,07-Jul-2021,5
Arizona,14-Jul-2021,5
Arizona,21-Jul-2021,14
Arizona,28-Jul-2021,27
Arizona,04-Aug-2021,38
Arizona,11-Aug-2021,46
Arizona,18-Aug-2021,35
Arizona,09-Feb-2022,32
Arizona,16-Feb-2022,38
Arizona,23-Feb-2022,28
Arizona,02-Mar-2022,24
Arizona,09-Mar-2022,30
Arizona,16-Mar-2022,16
Arizona,23-Mar-2022,10
Arizona,30-Mar-2022,13
Arizona,06-Apr-2022,21
Arizona,13-Apr-2022,34
Arizona,20-Apr-2022,34
Arizona,27-Apr-2022,31
Arizona,04-May-2022,49
Arizona,11-May-2022,71
Arizona,18-May-2022,77
Arizona,25-May-2022,93
Arizona,01-Jun-2022,110
Arizona,08-Jun-2022,98
Arkansas,09-Jun-2021,29
Arkansas,16-Jun-2021,43
Arkansas,23-Jun-2021,57
Arkansas,30-Jun-2021,91
Arkansas,07-Jul-2021,158
Arkansas,14-Jul-2021,108
Arkansas,21-Jul-2021,154
Arkansas,28-Jul-2021,225
Arkansas,04-Aug-2021,287
Arkansas,11-Aug-2021,315
Arkansas,18-Aug-2021,185
Arkansas,26-Jan-2022,168
Arkansas,02-Feb-2022,289
Arkansas,09-Feb-2022,181
Arkansas,16-Feb-2022,69
Arkansas,23-Feb-2022,33
Arkansas,02-Mar-2022,37
Arkansas,09-Mar-2022,27
Arkansas,16-Mar-2022,20
Arkansas,23-Mar-2022,17
Arkansas,30-Mar-2022,30
Arkansas,06-Apr-2022,38
Arkansas,13-Apr-2022,40
Arkansas,20-Apr-2022,42
Arkansas,27-Apr-2022,40
Arkansas,04-May-2022,72
Arkansas,11-May-2022,82
Arkansas,18-May-2022,91
Arkansas,25-May-2022,87
Arkansas,01-Jun-2022,109
Arkansas,08-Jun-2022,75
California,20-May-2020,1
California,03-Jun-2020,6
California,10-Jun-2020,1
California,17-Jun-2020,4
California,24-Jun-2020,2
California,01-Jul-2020,1
California,08-Jul-2020,1
California,15-Jul-2020,2
California,22-Jul-2020,3
California,05-Aug-2020,1
California,12-Aug-2020,6
California,19-Aug-2020,4
California,26-Aug-2020,4
California,02-Sep-2020,4
California,09-Sep-2020,4
California,16-Sep-2020,4
California,23-Sep-2020,2
California,30-Sep-2020,2
California,07-Oct-2020,1
California,14-Oct-2020,1
California,21-Oct-2020,3
California,28-Oct-2020,3
California,04-Nov-2020,5
California,11-Nov-2020,9
California,18-Nov-2020,14
California,25-Nov-2020,20
California,02-Dec-2020,26
California,09-Dec-2020,27
California,16-Dec-2020,34
California,23-Dec-2020,25
California,30-Dec-2020,10
California,06-Jan-2021,29
California,13-Jan-2021,25
California,20-Jan-2021,15
California,27-Jan-2021,12
California,03-Feb-2021,2
California,10-Feb-2021,2
California,17-Feb-2021,1
California,24-Feb-2021,1
California,07-Apr-2021,1
California,02-Jun-2021,1
California,09-Jun-2021,4
California,16-Jun-2021,11
California,23-Jun-2021,12
California,30-Jun-2021,18
California,07-Jul-2021,30
California,14-Jul-2021,33
California,21-Jul-2021,49
California,28-Jul-2021,79
California,04-Aug-2021,95
California,11-Aug-2021,110
California,18-Aug-2021,109
California,25-Aug-2021,4
