id,Country,2020-01-25,2020-02-01,2020-02-08,2020-02-15,2020-02-22,2020-02-29,2020-03-07,2020-03-14,2020-03-21,2020-03-28,2020-04-04,2020-04-11,2020-04-18,2020-04-25,2020-05-02,2020-05-09,2020-05-16,2020-05-23,2020-05-30,2020-06-06,2020-06-13,2020-06-20,2020-06-27,2020-07-04,2020-07-11,2020-07-18,2020-07-25,2020-08-01,2020-08-08,2020-08-15,2020-08-22,2020-08-29,2020-09-05,2020-09-12,2020-09-19,2020-09-26,2020-10-03,2020-10-10,2020-10-17,2020-10-24,2020-10-31,2020-11-07,2020-11-14,2020-11-21,2020-11-28,2020-12-05,2020-12-12,2020-12-19,2020-12-26,2021-01-02,2021-01-09,2021-01-16,2021-01-23,2021-01-30,2021-02-06,2021-02-13,2021-02-20,2021-02-27,2021-03-06,2021-03-13,2021-03-20,2021-03-27,2021-04-03,2021-04-10,2021-04-17,2021-04-24,2021-05-01,2021-05-08,2021-05-15,2021-05-22,2021-05-29,2021-06-05,2021-06-12,2021-06-19,2021-06-26,2021-07-03,2021-07-10,2021-07-17,2021-07-24,2021-07-31,2021-08-07,2021-08-14,2021-08-21,2021-08-28,2021-09-04,2021-09-11,2021-09-18,2021-09-25,2021-10-02,2021-10-09,2021-10-16,2021-10-23,2021-10-30,2021-11-06,2021-11-13,2021-11-20,2021-11-27,2021-12-04,2021-12-11,2021-12-18,2021-12-25,2022-01-01,2022-01-08,2022-01-15,2022-01-22,2022-01-29,2022-02-05,2022-02-12,2022-02-19,2022-02-26,2022-03-05,2022-03-12,2022-03-19,2022-03-26,2022-04-02,2022-04-09,2022-04-16,2022-04-23,2022-04-30,2022-05-07,2022-05-14,2022-05-21,2022-05-28
0,Washington,-0,-0,0,1,7,29,82,177,303,414,464,448,393,341,315,311,318,337,369,418,489,585,720,959,1273,1640,2042,2263,2176,1866,1600,1451,1335,1280,1148,998,1040,1154,1213,1446,2277,3729,5654,7777,8999,8608,7199,5621,4568,4474,4747,4675,4322,3812,3151,2450,1937,1724,1874,2211,2371,2415,2499,2607,2887,3305,3477,3194,2771,2563,2441,2156,1812,1594,1458,1484,1927,2768,3995,6102,9006,11591,13230,14081,14207,13661,12704,11576,10388,9217,8173,7229,6318,5538,4955,4597,4419,4427,5081,7503,12671,20236,28509,34646,36390,33233,26004,17493,10434,5876,4000,3608,3332,3144,3226,3541,4054,4679,5612,6852,7980,8830,9266
1,Illinois,0,0,0,0,3,28,156,521,1233,2257,3443,4715,6006,7148,8024,8428,8090,7093,5742,4359,3332,2874,2925,3311,3853,4374,4758,4767,4403,4143,4131,4337,4612,4660,4817,5627,7068,9037,12172,17238,23397,28309,30533,30448,28916,26572,23732,20277,16877,14934,14102,13078,11474,9777,8775,8342,8240,8652,9483,10983,13814,18182,23421,27790,29597,29160,27429,24291,20092,15681,11343,7482,4734,3424,3412,4186,5534,7664,10444,13278,15457,16259,15381,13198,10752,9211,8089,6813,5972,5568,5488,5856,6406,6881,7864,10104,12821,15328,17993,21812,28810,38119,45566,47353,41931,31806,21246,12868,7551,4777,3348,2591,2300,2337,2660,3491,5792,10630,19050,31941,47405,60772,67046
2,California,1,1,1,3,11,45,163,480,1059,1792,2553,3257,3810,4245,4620,4971,5412,5994,6770,7980,9938,12746,16065,19293,21225,20198,17198,15236,14618,14246,13393,10756,7412,5836,5616,5523,5488,5775,6898,9023,12070,16353,20472,23481,28736,38153,49990,63539,75277,80079,78050,69225,54272,38377,25947,18056,13484,10486,8218,6724,5943,5407,4901,4488,4191,3829,3358,3337,3865,4591,5185,5430,6073,7310,8811,13308,24275,40634,58569,74076,84365,88731,85817,74672,58642,43490,32260,24215,18145,13694,11024,10498,11047,11049,10473,9862,9600,10514,14865,28491,52809,80940,108980,127969,127054,110774,87134,63341,45105,32905,25454,21172,19095,17814,17982,20908,26328,33867,42345,51137,62122,73797,79827
3,Arizona,0,0,0,0,0,1,9,31,70,120,168,210,246,288,336,385,454,587,839,1274,1883,2556,3182,3813,4377,4736,4746,4090,3011,1996,1297,1052,1041,1015,985,1023,1120,1280,1590,2114,2681,3158,3923,5291,7131,9061,10567,11694,12753,13504,13510,12477,10531,8362,6463,4886,3663,2815,2233,1797,1468,1277,1228,1249,1276,1277,1258,1219,1144,1047,960,908,897,925,1015,1162,1354,1742,2406,3343,4470,5500,6253,6648,6563,6129,5725,5464,5128,4768,4665,4857,5289,5821,6314,6728,6879,6659,6360,6827,9004,12814,19206,28412,34411,31120,21893,13677,8334,5084,3601,3385,3856,5078,6381,6186,4765,3985,4750,6817,9910,13587,15813
4,Massachusetts,0,0,0,2,9,50,199,561,1206,2124,3183,4109,4639,4657,4224,3529,2770,2073,1490,1038,736,571,503,499,535,593,656,707,744,757,732,694,672,689,758,856,971,1137,1400,1807,2375,3025,3750,4743,5956,7104,8010,8409,8333,8300,8419,7910,6628,5284,4098,3126,2496,2163,2063,2187,2441,2727,2924,2926,2678,2224,1715,1256,890,665,553,476,409,350,332,436,773,1418,2323,3306,4136,4670,4981,5272,5717,6420,7214,7767,8104,8470,8868,9220,9744,11101,13752,17239,21157,25372,29333,34581,45474,62211,75520,74639,59370,39132,22795,13051,8098,5527,4148,3649,3944,4912,6481,8586,10880,13297,16416,20316,23470,24147,23549
5,Wisconsin,0,0,0,0,1,7,33,91,178,272,355,430,516,620,737,854,950,1000,994,957,944,1025,1234,1542,1868,2123,2223,2155,1985,1819,1836,2156,2806,3733,4544,4980,5325,5977,7322,9336,11538,13245,14003,13893,13041,11685,10044,8331,6907,5845,5086,4581,4043,3391,2839,2371,1947,1638,1456,1424,1818,2664,3614,4360,4623,4482,4151,3606,2841,2015,1303,814,523,349,254,226,309,579,1046,1643,2270,2794,3152,3412,3720,4203,4868,5552,5978,5948,5553,5155,5085,5431,6062,6760,7355,7831,8320,9224,11465,15156,18650,20289,19121,15269,10637,6834,4131,2457,1553,1096,915,915,1044,1292,1679,2227,2910,3590,4103,4395,4493
6,Texas,0,0,0,0,3,22,110,331,711,1222,1768,2292,2831,3372,3846,4163,4482,5224,6652,9153,13017,17982,23665,29087,32940,34946,35892,36006,34506,30641,24700,18767,15119,13967,13541,12671,11735,11737,13641,16924,19989,22775,26420,31039,36115,40885,45127,50748,57984,62891,62974,58093,49965,42369,35910,30013,24870,20256,16940,14369,11726,9982,9366,9179,9067,8771,8071,7038,5898,4970,4429,4087,3797,3655,3878,4871,7145,11403,17884,25913,34187,41339,47179,52135,55341,54453,48421,39307,30347,23326,18813,16149,13764,11447,9802,9163,9906,13181,21807,41041,75091,118666,157036,175901,168417,139028,101522,67867,42739,27003,19076,15925,14797,13949,12918,11854,11039,10801,11271,12144,13058,14112,14817
7,Nebraska,0,0,0,0,0,1,2,5,12,28,54,105,187,275,341,370,362,328,289,251,216,190,185,198,227,289,358,411,446,454,454,468,514,574,739,1023,1364,1751,2236,3089,4205,5414,6323,6447,5994,5099,4140,3404,2903,2631,2429,2180,1881,1611,1365,1166,1020,882,799,812,889,992,1061,1079,975,792,628,454,309,224,156,115,97,98,116,148,202,294,432,576,808,1113,1359,1609,1735,1707,1694,1655,1600,1554,1547,1586,1705,1901,2002,2065,2152,2139,2055,2169,2930,4367,6174,7593,7544,6196,4248,2330,1108,540,299,193,142,118,115,148,187,227,289,332,321,313,277
8,Utah,0,0,0,0,0,3,13,42,88,140,187,224,250,271,289,305,332,388,477,597,736,877,1013,1126,1181,1163,1084,967,858,779,717,693,747,883,1108,1383,1646,1903,2170,2512,3001,3539,3993,4346,4524,4495,4391,4370,4516,4721,4761,4422,3688,2857,2187,1711,1388,1167,1009,901,832,790,763,748,732,699,671,709,765,753,722,733,782,820,831,858,940,1074,1266,1468,1670,1886,2090,2308,2513,2638,2661,2594,2483,2399,2400,2465,2553,2627,2644,2613,2532,2385,2269,2635,4197,6745,9111,10548,10402,8635,6436,4390,2600,1424,836,575,473,442,450,513,677,1005,1517,2101,2668,3209,3516
9,Oregon,0,0,0,0,1,2,9,30,78,138,175,177,165,161,170,175,160,142,160,242,371,498,610,717,815,880,907,896,844,758,664,588,530,507,541,611,684,749,822,967,1248,1646,2081,2482,2782,2888,2729,2375,2159,2145,2072,1844,1496,1174,973,835,693,570,497,468,497,590,734,936,1196,1432,1534,1466,1270,1032,827,679,577,484,389,347,399,547,810,1212,1725,2228,2592,2744,2685,2496,2242,1987,1857,1846,1844,1804,1653,1415,1304,1382,1467,1460,1401,1515,2306,3883,5732,7223,7735,7068,5663,4039,2583,1550,933,595,423,356,374,477,659,899,1167,1429,1641,1779,1842
